	Small modern quiet rooms but awesome location	My hubby and I took advantage of his miles for a night away from the kids. The location is amazing right in the middle of 5th ave shopping, tons of restaurants, and walking distance to many areas if u enjoy walking that is, hello this is NYC.The rooms r small no doubt about it but they r very modern, clean, and quiet. U can hear people in the hallways.I have seen rooms in fancy NYC hotels that r rundown and noisy so this is bliss. The staff r very nice. There is parking at a indoor lot (right side) on 46th between 5th and 6th ave which u can get a discount from staying at the hotel.	
Nov 24 2009 	just OK	For the price, it is hard to beat the location of this hotel. The rooms are the smallest I have ever had in the city &amp; I have stayed at many places. It is clean, it is quiet, and it is very convenient.	
Nov 22 2009 	Good Enough	Small hotel. 6 rooms per floor. smallest hotel room I have ever been in. the king bed took up most of the space. we were there for only one night, so it did not matter. the room was cleanpicked the hotel for the location. near the show we were seeing and the restaurant we were going to. Free breakfast was adequate. very small lobby. and very busy.no parking on site.	
Nov 18 2009 	Smallish but clean and conveinient	The title sums it up. I don't have another hotel to compare it to, but it met my needs.	
Nov 9 2009 	Unexpectedly great property	I normally stay in much more upmarket properties than Holiday Inn Express but this time decided to take a risk on this well-located and priced property and was happily surprised. The lobby and breakfast area are quite cramped, but the staff is friendly and professional. Lots of choice at breakfast, including yogurt, pastries (lots and lots of pastries, which I don't eat), bananas, oatmeal (instant), pre-made omelettes (again, not too appealing), hot beverages, and milk and juices. Free computers (including internet) and printer at the lower level (the staff describes this as a &quot;business center&quot;), convenient for printing your boarding pass, etc. Free wifi in the hotel as well. My room was small but otherwise just about perfect: very nicely and efficiently fitted room with all sorts of premium touches: in-room coffee maker (including green tea), heavy wooden hangers in the wardrobe, very good lighting in the room, mirror at the desk, comfortable bed with very soft linens, TV with lots and lots of stations (including foreign language). Bathroom immaculately clean and beautifully fitted (if small), with great water pressure and pretty much instant hot water supply. Full array of toiletries, with offer of complimentary other items if you've forgotten them (and I'd forgotten a razor, so just picked one up at the front desk, where I was also offered shaving cream which I didn't need). Only two elevators, so a bit of a crush in the late afternoon, but they are at least very fast once you're in them. Some noise from people in the hallway, but otherwise very quiet.	
Nov 1 2009 	Wonderful place to stay in NYC	We were very impressed with this hotel - they let us check in early and leave late - staff were incredibly friendly and accomodating (Randy the bellboy was very helpful and didn't appear to expect tipping every time we saw him but just enjoyed his job which we were very impressed with). We had a spacious suite on the 10th floor - it was overlooking office blocks and was very quiet and absolutely spotless. Location perfect for sightseeing. Free internet access on the lower ground floor and breakfast was a bonus.Everything else has been said in the other reviews - but we will certainly be returning to this hotel!	
Oct 8 2009 	Perfect Location for two girls on the town!	I took my daughter for surprise 5-day trip to NYC for her 16th birthday. I actually got reservations at the Holiday Inn Express through Priceline, so it was a really good deal. We LOVED staying at this hotel. The location is absolutely perfect - right off 5th Avenue for sightseeing and shopping. Just the right distance between the Empire State and Central Park. Really close to all the subway lines. The rooms were small - aren't they all in NYC? - but nicely furnished, clean and comfortable. The free hi-speed allowed us to blog our whole trip! The staff were very friendly and helpful - no city snobbery in sight! We had an truly wonderful time. It was so easy to see everything and get to everything from this hotel. We could easily stop off to drop off purchases or change clothes between activities. I would stay here from now on if I ever travel to the NYC again, unless of course I win the lottery and can afford The Plaza! :)	
Oct 6 2009 	Fantastic value Excellent location	I was a first time visitor to New York and I stayed at the hotel for one week. The free breakfast which was included was very convenient. The hotel also has free internet. The hotel is very close to time square, the visitor information center, local bus tour companys, the subway system and most Broadway theaters. It is also within walking distance of 5th avenue shopping, the UN, the Chrysler building and Grand Central station. The front desk staff were very helpful.	
Sep 20 2009 	Ok	I booked this hotel from the rave reviews posted on tripadvisor. Upon arrival, the receptionist was quite abrupt and not friendly. But it seemed that new yorkers I have met there adopt this sort of nature. The room I was given was near the emergency fire exit stairs. And the room smelt like cigarettes. I requested a non-smoking room and told the staff but said that it was a non-smoking room. But I told them it was not because I can smell it, and then she replieds that there was not 100% guarantee of my request. I wanted to move to a new room which was non-smoking but the staff would not allow me to move. They offered to &quot;spray&quot; the room to get rid of the smoke. That ended not happening. I had given up trying to ask for a non-smoking room and left it as that. The room was very small. The toiletbowl was not clean properly when I came, but other than that it was quite clean. it had good cable TV which was good. The continental breakfast was fantastic but not much space to eat. Food was scrambed eggs, sausage, boiled egg, yoghurt, cereal, toasts, bagels, pastries etc... There was free internet but because there are so many people in the hotel, i had to wait for ages for it as there were only two computers. It was difficult to sleep because i was near the fire exit, so heard the door slam quite a bit and I was near the elevator so heard many noises. Because hotels are so expensive in New York, this would be the suitable alternative but I would not go there again for the price I paid which is 240 dollars a night. I would try to find another hotel.	
Aug 30 2009 	Awesome hotel would definitely stay again	This hotel is in the perfect location.. very close to Times Square, Rockefeller Center, Grand Central etc. I traveled with 3 college friends and we never felt unsafe in the area at any time. The staff always greeted us with a smile and were very helpful. When we asked for towels at the desk, they were delivered almost immediately. There is a nice continental breakfast in the morning, with more food options than most continental breakfasts I've had. The rooms are a little on the small side, but that should be expected in NYC, and we were out sightseeing the majority of the time anyways. The beds were very comfortable and the room wasn't noisy. If you're interested in a nearby bar/pub, there were about 3 or 4 very nice irish pubs in between the hotel and Times Square. If I ever go back to NYC I will definitely be staying here again.	
Aug 20 2009 	Convenient to everything	This hotel is in a great location for seeing many of the attractions of Manhattan. It is close to Times Square, Rockefeller Center, and shopping on 5th avenue. Other attractions are only a short subway or taxi ride away. The hotel itself is a typical HIE with clean rooms, free internet, and free breakfast. The only difference, as noted by other reviewers, is that the rooms are pretty small and the lobby area is fairly small. We did not have a problem getting a table in the morning for breakfast, but the breakfast area is not as roomy as a normal HIE hotel. The staff was very helpful and friendly. Overall, we found this to be a great hotel for the price and an absolutely fantastic location for our long weekend vacation away from the kids.	
Aug 13 2009 	Small smelly rooms	The rooms seem clean but are very small ; same for bathroomsnot alot of place to move around in roomOur real problem was that the room smell bad; like urine. We tried to switch rooms but head the same problem. The reception could not really help out as it was late and we had a baby with us we decide to stay for 1 night. In the morning the reception confirmed it was bad filters that need to be changed in the AC; but did nothing to compensate our unconfortable stay.Other than that the location was great but if you need parking plan to walk about 1.5 blocks as it is not close, very expensive and with an extremely rude staff	
Aug 5 2009 	Good Value - Great Location	Stayed here for one night with my daughter and a friend. The room was small as expected, but completely adequate for the three of us. We were impressed with the cleanliness of the rooms and the comfort of the beds. We were on the 4th floor right next to the elevator, but never heard noise from the elevator or the street. The breakfast was very crowded in the morning, but you could use a tray to bring it up to your room. We just grabbed some juice and a danish and were on our way.The best part of this hotel is the location. Just off of 5th Ave. for shopping, a few blocks from Rockefeller Center, Grand Central and Times Square.We would definitely stay here again.	
Jul 28 2009 	very small room and very crowded breakfast bar in the morning.	The rooms are very small for the money and even though breakfast is included in the stay, the breakfast area gets very crowded during morning. This is in the main lobby so you also keep bumping into travellers checking out. Overall not very impressed.	
Jul 20 2009 	Fine value great location	The hotel is at 5th Avenue and 45th st. There is a deli/store across the street and one two doors down. We had a clean bedroom with king sized bed. The room is very small, but we spent three nights so unpacked our case and put it in a corner. This is the best thing in such a small room. There is a hanging wardrobe and three large drawers as well as two nightstands, desk and storage in nightstands and on top of wardrobe. You need to organize a bit to make it comfortable but we were fine. There is NO safe. There was no noise from street or outside our room, but the air conditioner was noisy. The bed was very comfortable and the linens extremely good. They supply a breakfast downstairs and it is a bit cramped when busy but is adequate. During the day it makes a useful place to sit after you have checked out. Wi-fi is free and fairly fast. The location is really great - walk to Times Square and most other places. Will definitely stay here again. We booked through the Holiday Inn website with no problems except they were full and our choice was a bit limited.	
Jul 14 2009 	Be careful booking through Hotwire!!	I booked through Hotwire. I indicated we were 3 adults. They booked us in a one bed room. The hotel never noticed that in the reservation it does say 3 adults. I even phoned holiday inn express to clarify this 1 week prior to departure. The hotel was full for 4 days and they brought us a sleeping bag instead of a roll in bed. Camping? at this hotel yes! at least for one of us. I paid more than 700 dollars and stayed for 4 days like this. I opened a case with Holiday Inn customer service. Nothing. No refunds. Same with hotwire. I am still waiting for another refund from them for another mistake. No news yet. Now I am in Boston. Hotwire and Holiday inn in the same situation. Booked in a single bed room. Fortunately there were other rooms available this time. Again, Holiday Inn front desk person told me that when you get discounted rates you can't pre select your room. That's why despite of my 3 phone calls before arrival, the room was still single one because that is what hotwire did 3 times! I would not use them when you are more than 2 adults. Period. Still... waiting for the other reund... and I don't think Holiday Inn will compense me in any way. Here you have the pictures.	
Jun 24 2009 	Awful HOTEL!!	I pre-booked this hotel with 4 people and non-smoking room. I got there and had a King Size bed and smoking room. I could not get my money back and they would not put us in a different room. Parking stated $35 per day but that is only for the first day and the parking is around the corner from the hotel.	
Jun 24 2009 	Great for overnight stay	We spent the first part of our holiday in another hotel which provided a bigger room for 4 people. On our return to New York for our last night we stayed in this hotel. The Hotel is in a great spot, clean and pleasant staff. The only negatives were the size of the breakfast room which was really far too small to accomodate the amount of traffic and our room size. We could only open 2 suitcases at a time and then could not walk past each other without one person backing into the bathroom to allow the other past. Also couldn't open the door with case open.This is impossible to see on the internet when booking. It was just by luck that our longer stay was in a bigger room. It's a shame one can't get dimensions of rooms before booking. I don't know if all rooms for 4 people are that size but for longer than an overnight stay it would be really uncomfortable. Not wanting to finish on a negative note we also booked through the Hotel Reception a car to the airport which was good value, arrived at Hotel on time even a little early and our driver was a very pleasant chap.	
Jun 22 2009 	Location location location a good value hotel that offers a bit extra.	This was our first visit to New York and being unfamiliar with the area needed somewhere to stay that was value for money, functional and within a reasonable walking distance of all the tourist destinations. Thankfully, this was a first class choice based on the original criteria. Yes, there were some blips (very minor), but this is to be expected as I did not expect five star service for two star costs. However, all issues were always promptly sorted out by efficient staff, who, in the majority were courteous and polite. I would never expect, or want, gushing service in America, especially in New York and with one or two exceptions (reception staff - not the whole team - one or two individuals ), most staff were fine and helpful. If you are looking for a base in New York that will not break the bank, is clean, comfortable and safe, I would doubt that you could beat this hotel.	
Jun 20 2009 	perfectly fine - excellent location	I brought a group of college students to NY and we stayed here. The service was great - everyone was very friendly. The rooms are tight, but nicely updated and clean. Breakfast was included - and its a decent breakfast - eggs, bacon, etc. not just stale bagels like some places. i recommend it.	
Jun 18 2009 	Very disappointed	Customer service is very poor here.No smiles and no warm greeting. Almost unhappy to see you there.No wake up call recieved when asked for one. No extra pillows when asked.Had to ask again the next day.Asked to have sheets changed cause my friend spilt some thing on the sheet. I took the old sheets off the bed and the housekeeping made the bed with the dirty sheets.They brought clean sheets after I complained and housekeeping said they would help ME make the beds.The manager said the next day housekeeping said they didn't do that with the sheets.So what is he calling me and my family liars?Made us feel very unwelcome . Choose some where else. I wish I had.	
