	Clean and friendly	I arrived in New York by train and the hotel is located only a couple blocks from Penn Station, so the location was convenient. The price was reasonable for staying in the city. The room was clean (always my top priority).The front desk staff was very friendly. Breakfast was included with the room and included a buffet with cereal, fruit, bread, pastries, coffee, eggs, etc. It was busy during the breakfast rush, but I had no problem finding a table. The wireless was free and worked great in my room.My only complaint is the noise level in the room. I could hear everything in the hallway. My neighbor was in and out of her room all night and I could hear the door open and slam shut every time.	
Nov 25 2009 	Convenient Clean and Comfortable	Stayed here for a night. Small room, but had everything we needed. It's amazing how everything fitted in that small room. Breakfast was complimentary and good. Free WIFI available. Only con was that the vending machine did not work. The receptionist was helpful and gave me change for my dollar to see if that worked. They even hold your bags for you, which was really convenient for us as we checked out in the morning and took a tour of NY.The parking lot that they validate the parking for is about 2 blocks from the hotel - $24.00 for a day - Central parking. There is a parking lot right next to the Hotel - Icon parking, and is about $30 a day.	
Nov 22 2009 	Basketball trip	Our reservations were messed up at the Penn, so tried the Holiday Inn Express MSG. Just a couple of blocks away and although the room is small, it was clean and the bathroom looked to be newly renovated. Price was right and you get a decent breakfast. Overall was satisfied with experience.	
Nov 17 2009 	very good -remember you are in NY	I liked in stay here. The room is really short but remember: you are at ny!! The price is good, you have a free continental breakfast and you are so close to Macys, Empire state and others attractions! I payed U$140 dollars for 4 people with breakfast! Its amazing..	
Nov 15 2009 	Fantastic hotel spotless brilliant service.	We stayed here for 3 nights in October. The staff on the reception desk were all unfailingly helpful and polite, happy to answer any queries. Our room was compact, but spotless. A small bathroom with shower/bath, but also exceptionally clean. The hotel is ideally situated for walking to the major sights, many places to eat nearby.Would recommend and happily stay there again. We were both very impressed and felt it offered excellent value for money.The only negative would the lifts....2 lifts for a 10(ish?) story, very bust hotel made for long waits to and from our room.	
Nov 9 2009 	Location Location!	I just got back from an overnight trip at the Showboat to see Daughtry at the Trump Taj Mahal--- Trump was too much money - got a GREAT deal with the Showboat - and did not have to go outside to get to the Trump Arena!!!! Room was very large !!!! View overlooking the ocean!!!! Big bathroom with separate room for toilet!!! Downside - internet was $11.60/day....walls a little thin, but not too noisy.Staff was very helpful -would def stay here again!	
Nov 6 2009 	Be prepared to hear everything in the hall...	Nice hotel, and great location. Courteous staff. Nice breakfast.Allow me to explain the layout of this hotel, as it was very different than what I had expected. The hotel has a VERY small footprint. There were only 10 rooms on our floor.Upon our arrival, my husband needed to sleep. I found that I could hear every conversation that took place in the hallway, as well as the elevator opening and closing. I heard children cry in another room, as well as friends who had just arrived, and described in detail their plans for the evening. It was remedied slightly with a towel against the bottom of the door. We had a fan in our luggage to provide some white noise which helped, but without it, well.... It would have made for long nights.	
Nov 5 2009 	Amazing impeccable service in a beautiful hotel	We stayed here after the New York Marathon. The hotel appeared to be at 100% capacity, but you would never have known that from the service. Every single person we encountered treated us like royalty. Gloria at the front desk was especially helpful and gracious. The housekeeping staff was friendly and helped us find a great Mexican restaurant in the area. The breakfast staff was busy, but kind and deferential. I can't properly convey how overwhelmed we were with the staff's care. It felt much more like a 5-star hotel than a HIE.Breakfast was great and ample. We went during the thick of it. There are 48 chairs arranged around 16 tables in groups of 2, 3, or 4. I counted because it was a concern after reading some of the previous comments. It was the expanded HIE menu including biscuits and gravy, sausage, and pre-made omelets. These were quickly refilled as necessary. Coffee is available 24 hours. Priority Club members can have their breakfast delivered, if they like.The hotel is located a block from the #1 line, or 2.5 blocks from Madison Square Garden/Penn Station. It's a block the other way from the Fashion Institute of Technology. The neighborhood is okay and felt safe walking alone at night; there was a crazy on the street, but it's New York and there are crazies on most blocks. There is a parking lot next door, $28/day, I think. Taxis frequently come by, and can be arranged at the front desk.The business center consists of 3 computers in the lobby. They are at standing level with couches near them. I brought a chair over, which didn't seem to be a problem. There is a nice and fairly large fitness center in the basement, where the ice machine and vending machines are also located.The rooms are compact, as you'd expect in NYC. They were very plush, immaculate, and had upscale furnishings and bedding. Two doubles fit, and still allowed room for a desk, table, and tv area. There is no view to speak of, except for from the top floor (ask for it, if you're a PC member). The price was great; about half as much as most of the other hotels in NYC. I don't know why, and I'm certainly not complaining!Though we have family a short train ride away, we've decided that this hotel is so reasonable and wonderful that we'll always stay here instead.	
Nov 3 2009 	Not bad for the price!	The room was a little small but always clean. Good AC. Staff was always very helpful. Wanted to be near the Garden and we were. Just have to make sure when you come back in to your room that the maid staff has replenished everything they were supposed to. Not big on waking up early for breakfast, but for those who are, they had a full assortment including eggs, sausage, bacon etc. Easily saved $ for those who eat early. Would definitely stay there again.	
Oct 11 2009 	Great bargain for a NYC hotel	I don't usually stay in hotels in NYC, because I usually stay at my friend's apartment. But I needed a room for one night because of some scheduling conflicts. I got a great deal on this room and the location was ideal, just a few blocks from Penn Station. The staff was great. I got there around noon and they were able to let me check in right away. I had to very quickly get back to Penn Station to take a train to Long Island, so I was most grateful to them. The room was nice, clean and comfortable. I don't recall there being any sort of street noise. I believe all Holiday Inn Expresses have free internet and breakfast, which makes for a great bargain.If, for some reason, I again find myself needing a room in NYC, I will certainly consider this hotel again.	
Oct 9 2009 	Excellent Stay Will Definitely Be Returning!	The Holiday Inn @ Maddison Square Garden was one of the best stays in NYc I have had. I have stayed at many hotels in the city and this one was the best location and service for the money. Times Square, Herald Square, the Empire State Building and Chelsea are all within walking distance. So is Central Park if you don't mind a bit more of a stroll. If your more in the mood for taking the subway to get where you need to go, you can jump on within a block or 2 in either direction. Only a few minutes ride to Times Square and from there you can catch the subway to just about anywhere you could want to go. The hotel itself is in great condition. The rooms were big enough to have 2 queen size beds and my sister was still able to sleep on the floor in between them. The hotel was ok with having a 5th person in the room, but was just unable to provide a cot due to fire regulations. There is a nice continental breakfast in the morning, so if your on a budget it saves you having to pay for breakfast. I would definitely stay here again, and would reccomend it to anyone wanting to stay in the city.Oh yeah, there is also free wi-fi and a fitness room if your interested.	
Oct 4 2009 	Get to Breakfast Early	New York hotels within the range of the 'average' traveller are expensive with small rooms. Bottom line. The Holiday Inn Express was reasonably priced with decent sized rooms and incl. breakfast.Breakfast is quite literally a bun fight. GET THERE EARLY or you will be waiting aimlessly for a table and the food will be well and truely picked over. That being said, it's great value for NYC and a nice quality hotel.	
Sep 25 2009 	Great location	Stayed there for a week in September. Rooms are small but clean and bed are comfy. Gary the Manager was F-A-B-U-L-O-U-S!!! The best I have ever encountered! Could not do enough for us! We have stayed in HI hotels for years and no one is a great as Gary. The hotel is within a 20 min walk to Times Square. Close the Pen Station. Free internet in Foyer. Breakfast can get busy so go early, or take the food back to your room. But for a short stay in NYC. Great value and great service.	
Sep 21 2009 	Comfortable hotel - great location	We stayed in this hotel for a weekend in NYC. The location is excellent, within walking distance of Penn Station (we had taken the train) and several subway lines. And the price really couldn't be beat (it probably helps that we booked our room about 3 months in advance).Our room was small, but had all the usual amenities of the hotel brand, including free Internet. We didn't spend much time in our room anyway. Still, a comfy bed and nice shower go a long way. And the room was immaculate. One minor complaint is that the hallway can get noisy; I could hear people talking loudly in one of the rooms while waiting for the elevator. Free breakfast is a nice addition at this price point, though we did opt to eat at a restaurant one morning so we could enjoy a &quot;real&quot; New York breakfast. I'd definitely stay here again.	
Sep 13 2009 	Great Location	This was our first trip to NYC and we decided upon this hotel due to location and value. It was in a really good location- close to all the touristy things that we wanted to do. Time's Square was really close, Madison Square Garden was around the corner and the subway was easy assessible. The hotel offered a really low rate in this city of expensive hotels. It was adequate for our needs. Rooms small, but from what I have heard this is standarded for most hotels in NYC. FREE breakfast was included. The breakfast area was crowded, but it was free, so we just waited patiently. The only problem we experienced was the hotel ran out of linens-no towels or wash clothes. When I called they sent someone who gave me 2 wash clothes and told me that we would have to &quot;share&quot;. We survived and overall it was a pleasant trip. If you are a luxury traveler, I doubt this would be the place for you, but for those of us who spend limited amount of time in a hotel during a vacation this was perfect!	
Sep 3 2009 	Good value for money in New York	Nothing wrong with this hotel. Great location being close to Empire State Building , Penn Station and subways , Madison Sq. Garden. Contrary to a previous reviewer's comment there are more than six tables for breakfast. There are probably around twelve tables plus more tables outside which some may consider preferable. Yes, it does get busy around 8 to 8.30 a.m. Why don't you go down at 7.45 ? There is a good selection of food including cereals, hard-boiled eggs, yoghurts, bread and bagels for toasting, pastries, ready-made omelettes and sausage patties, fruit and probably more besides.There are three computers in the lobby with free use of internet. All the other hotels we stayed at during our trip charged for their &quot;Business Center&quot;.The bedroom and bathroom were fine and perfectly clean.The price for midtown Manhattan was more than fair given the fact that breakfast and internet use were included .	
Aug 23 2009 	Holiday Inn - works out fine for NYC trip	The four of us stayed in a single room - room was small, but worked out fine. Was close to bus and subway lines. Breakfast was OK. I found the staff to be very helpful and friendly. A real plus was the outside tables in front of the Hotel where we could eat our takeout and just people watch.	
Aug 14 2009 	Nice hotel with a central location	We stayed here with my PC points and got a nice room. Location was nice.Breakfast was a complete chaos !!! There were roughly six table for all hotel quests which lead to compleate chaos and I ended eating my breakfast while waiting for the elevator to get back to our room.I'm happy I didn't pay any actual money for the stay !Concierge was nice though we felt a bit ripped-off when trying to get a taxi to the airport when he suggested renting a driver &amp; car instead of getting a taxi.All in all not a nice memory of this hotel.	
