	Clean room friendly helpful staff	We recently stayed at this hotel for 2 nights. The rooms were clean and well maintained but quite small. As we were out and about most of the time and only there to sleep for 2 nights it wasn't a problem.The staff were friendly and very helpful. We had a few queries and they were very attentive and helped us sort everything out.The location was good. It was in a quiet location but within easy walking distance to Midtown.I would definately stay at this hotel again.	
Nov 24 2009 	Great value -- will definitely stay again	This hotel was a quick 2-block walk from Penn Station, and an easy mile walk to Times Square. It was clean, the room was plenty big given that it's New York City, and the staff were helpful (and checked our bags for us the entire day after we checked out). We're writing this review in response to others we read on TripAdvisor before our stay -- people seemed to complain about the speed and availability of elevators in the hotel. They must have fixed that, because we never waited -- ever. I can't believe you can still get such a great value in NYC!!	
Nov 24 2009 	Good Hotel Great Location	Stayed here for 4 nights with teenage son, brilliant.5 mins walk to Empire State Building.Food in bar is fab, huge portions. Ideal.Good idea to book NY limos from the airport saves waiting, driver in arrival area.Rooms are OK, 2 large double beds, ask for a high level flooe with Empire view	
Nov 14 2009 	Good hotel - good location	We stayed here for 3 nights at the beginning of November. The hotel is in a good location - 10 mins walk from Penn Station and Macy's and just a little bit further and you are in Times Square. The hotel has all amenities you would need when staying on a short trip - rooms are good, comfortable and clean. Our room was on the 8th floor at the front of the building. Bathroom was kept very clean and had a good hot shower. There was room enough for your clothes and a good flat screen TV which had loads of channels - which sometimes can be lacking in the cheaper hotels. We had stayed in California in the summer and this was a big problem. In terms of location you are never far away from everything, shopping, subway, buses, sights etc etc. Would recommend the hotel - but it may not be for someone who wants more amenities on site - it is a room and that's it. Would agree with a previous comment about the lifts - only 2 for the whole building and we did have to wait 15 mins for a lift on the day we were leaving as one was not working - so imagine it could be a problem.	
Oct 17 2009 	Excellent if looking for a place to sleep	3 men in same room wasn´t the best idea, but we needed just a clean, safe place to sleep 3 nights in NYC. We were in 2nd floor without any troubles or noise.Great location in the middle of Manhattan. Lovely and caretaking service.	
Oct 13 2009	The staff were very helpful and polite	The hotel was fine so we decided to stay the first night for our dinner. We had a steak for 2 with veg and 2 bottles of local beer. I was amazed at the cost. They charged $115. Some other members of the party had breakfast and was charged $48 for coffee and toast for 2.	
Oct 10 2009 	Seeing NCY	Great room! Great price. Parking was a problem. Staff very nice. Great Location	
Oct 5 2009 	I won't be rushing back to say here.	This hotel, like many of the newer &quot;budget&quot; hotels, must have been designed by a cost accountant who edited an architect's designs with a scalpel. Start with the elevators. Two elevators to serve 25 floors and not even a service elevator?!? Are you kidding me? Everybody gets to wait - including the cleaning staff - because the cost accountant put no value on the convenience of the guests.As for the rooms, they could not get a millimeter smaller in size. Because if they could have, they would have, and the floors would have had an extra room on them as a result!Just getting into the bathroom and closing the door is an exercise in contortions. You won't feel pampered when staying in this hotel, that's for sure.Unlike others, I did not find the double beds to be comfortable. They felt like the cheapest ones that the cost accountant could find.I did find the staff to be both friendly and helpful. The location is pretty good, too: Away from the hubbub of Times Square but still within a fairly easy walk of it. Close to Union Square and the West Village. Chelsea, where the hotel is found, is a pleasant neighborhood as well.	
Oct 3 2009 	Great location Great Hotel	We stayed here for my Mother 80th Birthday in Sept 2008.The hotel is located in an area known as the &quot;Garment District&quot;. This is a great location as the Metro is just around the corner, you are close to diners, delis, and there is a pharmacy just around the corner.The staff in the hotel were really helpful and enthusiastic - even when it ewas busy!!we had rooms on a high floor and the views were super. September - Octobr are good months in NY as the temperatures are dropping and the city is busy with business. Best advice - buy some comfy trainers and just walk your legs off!!	
Sep 19 2009 	Very clean and quiet good location.	The room and the bathroom were little but very clean and comfortable. Good location, easy and quick to go either up-town and down-town Manhattan: 3 metro's stations nearby and walkable distance to the Empire, Flatiron, 5th Avenue. Quiet district but not so many restaurants and/or pub nearyby.	
Sep 18 2009 	incredible views truly the city that never sleeps!	This hotel is in a fantastic location minutes from macy's, empire state building, madison square garden etc, perfect for exploring. The view from the room was truly breathtaking, looking out towards the empire state and chrysler buildings, however there were no curtains provided, so the room didn't get very dark and it was difficult to get much sleep! The room was an ok size and was clean and comfortable, however despite our trip being at the end of the summer, it was still rather expensive, particularly as we didn't get any meals. Overall, pricey but worth it!	
Sep 15 2009 	Great Stay	My friend and I visited New York City last week. We stayed at this hotel and it was a pleasant stay. Check in was quick and the staff were very helpful. We ate in the resturant three times and food was very good. This hotel is in a very good location. We walked to several areas almost every day. It was very clean. The staff was very helpful in getting us a car to the airport on day to leave. Check out was smooth. Highly recommend this hotel. Rooms are small, but we were only in them for a short time.	
Sep 12 2009 	A little gem in the heart of the city	Following an accumulation of Airmiles and Priority Club points (and Platinum Status) I had planned a &quot;free&quot; trip to NYC from the UK. Having stayed before I knew roughly where I wanted to stay around my main highlight a trip to the new Yankee Stadium. The choice was between this and Crowne Plaza Times Square having stayed at the CP before. With this being a new hotel the decision was on the basis of this and the fact the internet was free (and unlike other reviews speed was adequate).Arrived at JFK so took the LIRR to Penn Station and made the short walk down 7th to the Hotel. Arrived at 1pm but was offered my room immediately - even though this was a freebie - 1901 a King Bed with a &quot;view&quot; of the Empire State Building. At the end of the stay I was also offered a late check out - excellent service and status reccognition by the hotel.Having stayed in New York before I expect small room unless you pay the earth. The room here was of a perfect size. In a hotel I want a bed , a desk, TV and bathroom. All of these were provided and excellent. Must say this is the first hotel I have stayed in that provided a HD Tv that actually had HD channels (in fact almost a full cable line up of SD and HD channels). No complaints about he bathroom - good shower a a toilet and basin. Nothing more but what else did I want to do in there ?The local area provides a good mix of shops (CVS, Wholefoods, Duanne Read, Best Buy) and places to each (from Subway, Starbucks and Macdonald to good restaurants) all with a few blocks. The subway was close by along with key bus routes - but did walk to Empire State, Rockafella Centre, Times Square and Union Square all within 20 to 30 mins.Overall a wonderfull hotel and goes straight to the top of my personal list of manhattan hotels	
Sep 12 2009 	Great hotel keep it in perspective!	We stayed at this hotel for 6 nights towards the end of August and we have to say we were very impressed overall. Prior to arrival we were in touch with the hotel about having some parcels delivered before we arrived, the manager took charge of the requests and kept us and his very attentive staff informed so they were there when we arrived.Lets get this in perspective, this is a hotel on Manhattan island, right in the middle of things and therefore space was always going to be limited. When you compare it with the hotels at four times the price you may have a case for saying the rooms are small, but realistically, for the location, price and the amount of time you will spend in them they are just fine. I will say its likely to be the bathroom that has caused most of the 'small room comments' as it is on the small side, but again its perfectly usable.Our room wasn't ready as we were there early (around 1pm) but we were able to leave our bags and set off stright away, advised to come back around 3pm when they expected the room to be ready for us. The room we had was an 'upgrade' from the standard room we would normally get for our rate, we had a 19th floor Empire State building view room which, whilst the same size room (all rooms are similar at this property, there are no suites etc, just standard rooms (seems to becoming more common with franchised IGH properties)) was better due to the open air feeling and the lack of brick wall outside the window.The room was good, sure it wasn't huge, but like central London hotels, size costs money and realistically when you can get this hotel for $100 a night if you are smart about booking it really can't be beaten. The elevators have caused people to comment, sure sometimes there are long queues, but this seemed to only be when they had large parties checking in or out of the hotel, other than that we really didn't have any issues during our stay.The internet was free, a great bonus considering some IHG locations charge up to $20 an hour for access in Europe, it wasn't the fastest thing on the planet but it was fast enoguh for our needs and greatly helped us to be sure we filled our days as best as possible. There are free PC's n the business center in the basement too, when you can print off tickets etc for free - excellent facilities overall in this department.We didn't eat breakfast or any food in the hotel during our stay for many different reasons. The hotel food wasn't cheap, the breakfast wasn't cheap and it wasn't in the nicest of locations. The doors into the Bar/Restaurant are very 'office like' and the layout of the facilities aren't inviting. The bar itself is 'lit' poorly with battery powered LED lights too dim for the size of the room. The cafe desperately needs to have tables and chairs outside, for some reason during our stay these were piled up outside and unusuable - maybe they were packed away for the winter, although with temperatures around 83/85 on our stay they could have been useful.Over all though, Peter (the hotel manager) and his team have a good little hotel here which we wouldn't hesitate from staying in again, nothing was too much trouble and it was great value overall. Highly Recommended.	
