	Charged over 108 USD for a phone call!	Unfortunately i had a relative pass away and urgently needed to use the phone to call home. I did - there was no information or due warning regarding the potential extortion price of one phone call. One 12 minute call and i could have stayed in a better hotel for night.When i asked to speak to the manager he was no avaliable and would not be avaliable tomorrow either. I walked out upset with yet another crampy hotel service.The way i was spoken to was a joke, i walked out and vowed to write a review to inform everybody else of my wrong doing... i should have brought a phone card, but at a urgent matter arose i thought best to deal with the situation at hand.I would tell this manager, you cant charge this price, without due information avaliable on hand, as was the price listed in all the other US hotels, i stayed in..	
Nov 22 2009 	Why spend more?	If you're going to New York City and want to spend money to see the sights (rather than your hotel room) Hotel 31 is the perfect answer. Yes, the room was a bit small, but it was clean, quiet, had a tv, safe, and sink. The bathroom was just down the hall, was very clean, and always available. The location is hard to beat - the Empire State Building is about 8 blocks away, the subway 2 blocks away, and some good, moderately priced restaurants nearby. The staff was helpful. I will definitely stay there when I visit New York again, which will hopefully be soon.	
Nov 22 2009 	Very clean and nice.	I just stayed in Hotel 31 for three nights. I had a comfy room with nice beds and a bathroom in the hallway wich was never busy. From my window I saw a typical NY backyard, but that was ok and charming, especially since i also had a perfect wiev of Empire State Building.The location is great, the room was very clean, the bathroom too. The bed was made every day, clean towels etc.I will most certainly recommend this hotel to people who come to NY to see the city, great value for the money.The pizzeria at the corner of 31st and Lexington had great beer and pizza and nice atmosphere, only two minutes from the entrance of the hotel.I'll be back.(Fun fact: I also stayed at Millenium hotel in Times sq. during my week in NY, but that &quot;nice&quot; hotel was not as clean as Hotel 31!)	
Nov 6 2009 	In need of refurb	The gentleman who checked me in was very helpful and had a great knowledge of the surrounding area. The room, however, was dated with a hard bed. The bathroom was nothing special. This place needs a serious refurb. I would recommend it to couples who wanna save money and have a little privacy.	
Nov 1 2009 	Terrible bed contaminated with ticks	Dear potential guests of Hotel 31, on East 31st Street between Park Avenue And Lexington, I hope this comment and photo evidence help you make the best hotel choice.There I was searching on the web, for affordable hotels two week before my trip to New York. Hotel 31 on East 31st Street, between Lexington and Park Avenue often appeared as a choice. It seemed perfect. This hotel is in a pleasant neighborhood and close to my customers. I was to stay in NY, for one week and luckily I was able to get a room for four nights--the weekend was booked. Room 711 on the 7th floor with shared bathrooms, a small bedroom with a queen sized bed and a beige sink to the left side, with window view to the Chrysler building. Not bad I thought. New York excites me; it gives me lots of energy when I am there. My first two days were very productive and by the end of the day I was eager to return to Hotel 31 to rest. However from the 3rd night on my nightly rest became torture, some agonizing itching forced me to wake up several times through the night. Something was biting me… at first I thought—mosquitoes! I turn the light on, looked around, closed the window and went back to bed. But then again the next night a few hours after getting in bed, this awful feeling would wake me up tormenting me. This time the window had stayed closed, so I decided to do a thorough inspection of the room. I turned pillows in-side-out, turned covers and sheets off the bed, I was enraged, and it became such an obsession to find out what was keeping me from sleeping that I even turned the mattress to the side. And to my surprise I was able to trace little droppings of what appear to be blood… bringing me to a little insect hidden on the corner of the wood bed frame. I trapped this little insect with a paper napkin and squeezed it, blood oozed all over the napkin. I was afraid and disgusted. My body had huge swollen red spots every place I got bitten. The swelling and pain lasted more than a week. The very same morning I took photos of the bed and this (bed insect, tick, parasite or whatever it was) and went straight to the front desk. When I show the evidence to the person in charged, immediately took the insect, and in an alarmed manner told me…he would have to switch me from room, because they had to fumigate room 711on the 7th floor. But I am not sure if fumigation was actually done, I did not witness any moving or sign posting--otherwise the whole building would have been emptied. Nevertheless, I am still scratching to death traumatized from these nasty bites, and feeling afraid of having brought some of these insects home. Moreover, even though I extended my stay and pay the full price for the weekend no excuses were presented by Hotel 31 on East 31st Street. I am a guest that will never come back. Next time I rather sleep on a new mattress Hotel 31.	
Oct 29 2009 	WOW We will be back!!!	We loved the Hotel! The staff and location were excellent and it was really clean!!!!	
Oct 23 2009 	We will be back!!!	Clean and cozy. Close to everything. And you cannot beat the price. Cheers.	
Oct 18 2009 	Perfect NYC Hotel	We were only spending one night in NYC and we didn't want to pay an outrageous amount of money. Hotel 31 was the prefect solution. If you're looking for a budget hotel then Hotel 31 is it. It's clean, the staff is friendly and the location is excellent. We selected a room with a shared bathroom. I figured for one night I could manage it. It really wasn't bad at all. The bathroom was clean and I never had any problem getting in. It was always available. The staff was also really friendly and willing to help in any way they could.	
Oct 18 2009 	Basic but central	Fine as a base for exploring NY and not wanting to pay too much - although every hotel room in NY is very expensive! Rooms were clean and shared bathrooms no problem - always clean and usually empty. Reception staff very helpful.	
Oct 9 2009 	Cannot Beat this Location for the Price!	We were pleasantly surprised with the location of this hotel, and were relatively happy with its appearance. When travelling to NYC, this is a great place if you plan on being out and about most of the day and night and just want a decent place to sleep at night. We had a private bath, but the shower was truly just a trickle of water.....not worth the extra. The shared baths in the hallways looked fine to use.	
Oct 8 2009 	The hotel staff were helpful hotel room was clean.	I thought the hotel was located in a great location.To get to the subway station,if you go to the left as you exit the hotel to the next corner, turn to the right and there is the subway station. We had a shared bath and in 5 days there were only two occasions that the closest one was occupied. I went to the other bathroom on our floor and it was available. There is a sink in the room to brush your teeth and was your face before bed. The elevator is small and takes a long time, but we believe in exercise so we took the stairs as we left and came back so late in the day the elevator was usually not occupied!! Loved NY City!	
Oct 8 2009 	Good value and great location	The hotel was in a great location, right by 33rd st metro station. One stop away from Grand Central station. The rooms were a decent size and the ensuite bathroom was nice and clean. The price ($200 per night between 4 of us) was fine. Downside was that the hallways absolutely stank of smoke, which was pretty grim in the morning. And the shared bathrooms had no soap or hand towels which is pretty gross.	
Oct 6 2009 	Clean comfortable and safe	The room was clean, comfortable and very adequate for a budget rate. The shared bathroom was always available and very clean, and the building had an old style charm to it. The east midtown location is ideal for traveling to the other Manhattan spots and the #6 subway is but a few blocks away. Only negatives might be the poor indirect lighting in the room.	
Sep 22 2009 	Adequate clean budget hotel	Myself and 3 friends stayed at this hotel for 3 nights over Labor Day weekend in '09. We were in town for the US Open and wanted a place to stay that had good subway connections, good location, and was comfortable to stay in as we were not there during the day. Hotel 31 was all of the above. When we got there the owner told us he had only one room with a shared bath available instead of two. He promptly gave us another room with a private bath for the same price. He told us we would have to move the next day when the cheaper room became available. When we returned after a long day of watching tennis he said we could stay in the same room for no extra charge. The rooms were very clean as were the shared baths on the hall. The location is right next to the Empire State building and one block from the subway. Also, Times Square is only a short walk. There is a great Italian restaurant right down the street on the corner I would highly recommend for pizza and lasagna. The only thing we could never figure out was the TV statons which seemed to be completely different in the two rooms. I would definately recommend Hotel 31 based on its value and location.	
Sep 22 2009 	Can't beat $99 in NYC	An interesting budget hotel with a retro feel. The queen room with shared bath that we had reserved was unavailable at our late check-in, so they moved us to a double bed with private bath. At $99 a night in Manhattan, all I ask is that a hotel be clean and safe and in a relatively convenient location. And the hotel met all conditions. It has an interesting feel with the old-fashioned elevators, high ceilings and wood mouldings. Linens are inexpensive; wallpaper is peeling in places, etc., but I was pleased to have regular hotel room amenities including hygiene products, hairdryer, coffee maker, etc.. Again, my expectations were low at a rate of $99.We got a particularly good rate on this visit and I might try another place if the price differential were less in Hotel 31's favor, but I would also stay here again. I used the shared bathrooms on the main floor (before we checked in) and my only complaint is that there is no soap or hand towels in the shared bathrooms for washing one's hands. While they provide this in the room, it would be nice to have some wall-mounted hand washing amenities so that you don't have to carry it back and forth (or go without if you are just using the main floor bathroom).	
