	Amazing Service!	I was so happy with the overall value of this hotel. The service was incredible - the location was awesome - and the rooms were comfy!!! I loved the breakfast in the mornings - great coffee!! The free internet service was extremely helpful.... There was a complimentary bottle of Perseco and chocolates in the room.... Wine at night.. awh....The room was pretty good size - for NY, especially. They offered passes to the gym, but who wants to do that on vacation? I found NO complaints at all with this hotel. We could walk to 30 Rock and to Central Park. Subways are only a few blocks away... and 5th Avenue is only 1 block away! It doesn't get better than that.	
Nov 14 2009 	wonderful	Spent 4 nights at the hotel. At first slightly disappointed in room size (not the 350 sq ft that is advertised) and bathroom was also small. Not a fan of pedestal sinks (put my stuff on the table in the hall next to the bathroom). Also lighting not the best for makeup application. By the end of our stay I thought all this was trivial compared to the yummy healthy breakfasts, afternoon wine and cheese, fabulous service (really nice and helpful staff members), fabulous king size bed (and I'm picky about mattresses), down comforter and pillows, excellent internet service in room, and overall genteel, quiet feel of the hotel. We keep windows open at night and could hear street noise (even from the top floor) but not too bad. Location turned out to be very good. Walked to MOMA and theater, subway close by and basically very central. I didn't want to leave. And yes, would (and will) definitely stay there again.	
Nov 12 2009 	Shabby chic	Enjoyed our stay at the Hotel Elysee. It is conveniently located but being on a side street made hailing a cab a bit more of a challenge. The first night we were there the street noise almost drove me insane but it seemed quieter on the weekend nights. The bed and bedding was lovely. The afternoon wine was nice; breakfast was quite adequate and included. I wish it had had more than one elevator.The Hotel has a European feel to it and some carpets need to be replaced but otherwise it is quite pleasant.	
Nov 1 2009 	Excellent experience in NYC	We came to NYC to celebrate my birthday. The Hotel Elysee provided an excellent experience! The hotel is very welcoming and provides a great atmosphere with a very helpful staff. It was a very nice surprise to find a complementary bottle of wine and chocolates in my room upon arrival, congratulating me on my birthday. There is an excellent eye for detail. I would recommend this hotel to anyone, especially for special occasions or when just you want to enjoy the city!	
Oct 30 2009 	Safe small and feels like being at home away from home.	I have stayed at the Hotel Elysee exclusively for the last 8 years. I love the location and the homey feel to this small hotel. The only downside is the rather small bathrooms. I especially love the daily breakfast served in the living room style common room above the lobby.	
Oct 28 2009 	Loved this place	We spent 7 nights at Hotel Elysee. The room was fantastic, spacious and very comfortable on the 15th floor (I think they upgraded us). Staff were very pleasant and helpful. Breakfast with fresh fruit was a bonus, as was the wine and cheese each Monday to Friday evening (wish they did it on Saturday and Sunday as well). We loved the location and made good use of the subway and our feet. The Monkey Bar was lively and food was good - but there is a lot of good food in NYC (pity about the extra kilos). Our stay was great - and Hotel Elysee made it even better.	
Oct 28 2009 	Lovely staff free use of computer and nice breakfast.	The hotel has a kind of European ambiance-one efficient elevator, small, intimate.	
Oct 15 2009 	Diamond in the rough	Excellent location to central park, shopping on 5th ave., metro stop etcQuaint, cozy, and perfect retreat after the hustle and bustle of Manhattan.	
Oct 15 2009 	Service oriented charm in sweet location with a few snags	NYC room sizes and prices must be taken into account when making an assessment. For what we paid for our room, we could have been at the Ritz in Chicago. POSITIVES:  Our room, while not large, had room for two chairs, two windows that opened, an armoire (w/flat screen), a cabinet-enclosed refrig, a king sized bed--flanked by a desk (with a mirror over it) on one side and an end table at the other. What I loved loved LOVED was how you entered into a foyer that faced a large mirrored, double-doored closet. Once you've entered the room, you could choose to walk a step and half to your right and enter the compact, single-sinked bathroom; or you could turn to your left and walk 3 steps to the threshold of the actual bedroom, which had a helty door. To compensate for the small bathroom size, I avoided shutting the bathroom door and instead closed the bedroom door. In so doing, I had the hallway in front of the closet and the sense of space it provided to add to the bathroom's actual square footage.The bathroom uses its space. Shelves male up for the lack of counter space and the small window makes up for the lack of a fan--pretty much.Another plus is the attention to the guest. We needed assistance when are smoke alarm battery started beeping on evening. My husband called the desk, and gentleman was ringing our doorbell within 3 minutes. He must have run up the stairs. it was like magic how quick he got to our door. And yes, I sid doorbell--a nice touch!The soaps and the lines were well appreciated also.We loved the breakfasts!!! Service providers toasted bagels and bread and cleared away dirty dishes quickly. The convivial atmosphere--couches over looking 54th w/other patrons--made for easy conversation and relaxation. The fresh fruit was fantastic.The wine and cheese was fabulous, and we enjoyed it on the Friday (no saturdy or sunday service).The desk and door personal were swift and unobtrusive.NEGATIVES:1. The internet was totally unreliable. We tried the wireless and the plug-in both. ON occasion we could stream video, but 9 times out of 10 we couldn't get past the browser. Huge Bummer! 2.. The carpets were stained throughout the room--pretty unappealing and unacceptable.3. The mattress is less than luxurious. At best the mattress is acceptable, just about.4. The above three issues make this less than a luxury experience, and the shame is that these are very fixable issues, all things considered.5. The computer in the business center was not helpful as we could not get our boarding passes on it and had to get the front desk to print them. Virus?ALL IN ALL:At over 400 dollars a night plus TAXES, stained carpets and unreliable internet should simply not be issues. A dreamy versus barely acceptable mattress should be a given in this hotel, as well.On the other hand, the Monkey Bar next door was a fun place for a drink and the positives were well appreciated.We opted for a room facing the &quot;quiet&quot; street, and I liked the view and the little bit of light that we really needed. Jack hammers were not appreciated. however.I would stay here again now that i know what to look at and for.My husband is dubious about a repeat visit though.	
Oct 15 2009 	Unexpected Luxury and amazing staff!	My girlfriend chose this hotel for us to meet up in New York. She's from Rome and when we arrived I could see why she chose it. It is very European in appearance and service. The clientele is much older, we are in our mid thirties and I think we were the youngest couple in the entire hotel. I would have chosen a larger hotel like one of the W hotels or the Westin in Times Square. She loved the place from the minute we arrived. We were upgraded to a suite because we were celebrating her birthday. The suite was very large, very traditional. The bed was extremely comfortable and the shower had great water pressure. The desk staff was very helpful and they knew the neighborhood and city very well. They recommended Ben Benson's for steak, it was out of this world. We had theatre tickets the next night and they told us to try Montenapo a new Italian restaurant. The pasta there was absolutely fantastic. They were also very helpful with directions and giving advice, like using the subway to go to Battery Park instead of taking a taxi. The hotel also has the Monkey Bar. We stopped in one night for a drink before we headed out - it was very crowded but we told the host we were guests at the hotel and he went out of his way to find us a table. The bar was fantastic, great cocktails and a great atmosphere. You should see the vintage wall paintings! All in all, we had a great time in New York. Even though I generally don't choose small hotels, I was very pleased with our stay. Already, we are choosing dates to return to the Elysee in January.	
Oct 12 2009 	What a hugh room!	I booked Hotel Elysee because of the other comments. We've only been to NYC one other time, 10 years ago, and stayed at a Sheraton, also in midtown, and had a room we could barely turn around in, plus it was expensive! We were simply floored when we saw our room in the Hotel Elysee. It was probably 20' x 30', with a view on 3 sides (no brick walls); seating area with couch, chairs, coffee table with a live orchid on it. There was also a fireplace, desk and chair, and the best king sized bed ever. The bathroom was also a very nice size with nice amenities. They also have a wonderful breakfast room, with a great continental breakfast. We had just gotten off of the Crown Princess crossing the north Atlantic, and the hotel's pastries were far superior to the ship's. They also serve cookies in the afternoon, and wine and cheese in the evening. All complimentary. The location of the hotel is also great--just north of Park Ave. on N 54th St. Close to everything and in a very nice neighborhood.	
