	I am not sticking my neck out here---great hotel.....lol	Stayed here for 2 nights. Excellent staff,especially the breakfast and wine and cheese staff.Front desk staff very good also. I agree with the Irish girls,Dos Caminos ,is a good restaurant just around the corner.You are in a very good location and can walk everywhere.You cannot go wrong with this hotel,the value of the breakfast and wine and cheese makes up for the extra dollars you spend.	
Nov 25 2009 	A decent place to stay	We stayed in a one bedroom terrace suite on the 10th floor - it was a lovely well equipped room. Others we spoke to on lower floors said that the traffic noise stopped them sleeping - so make sure you go for a high floor.The breakfast was basic but lovely - cereals, fruit, breads.The location was very good, theres a fantastic place to eat right next door.Our room wasn't ready when we got there, we were told to come back at 3. When we did we were told to go up, the cleaner was still there so we had to wait longer - that was my only little grumble. The doorman are very polite and helpful. I would recommend, but i'd probably try somewhere different if i was to return to NY.	
Nov 25 2009 	Great find!	This will be my destination hotel every time I visit NYC. The Giraffe is intimate, beautifully decorated, friendly. The rooms are well appointed and the free wine and cheese in the evening and breakfast in the morning make this the full package. I only hesitate to tell more people because I want it all for myself	
Nov 24 2009 	My favorite hotel in New York	I loved the Giraffe. We only stayed one night and got some kind of promotional rate on a room, but they upgraded us -- for free -- to suite. The facilities were immaculate, the service was fantastic, and the breakfast was delicious. On the way home, I forgot a poster I bought, and the hotel called me on my cell phone before I could call them. They even Fedexed it to me for free. This is a great hotel.	
Nov 21 2009 	Wonderful stay during a wonderful vacation! New York at its best.	Thank you very much for a suberb stay. Lovely family hotel with few rooms situated in the middle of everything...	
Nov 19 2009 	Unique and Consistently Excellent	I spent four nights at Giraff over a long weekend. I was disappointed that my intended traveling companion had to cancel, so I was prepared to find fault. However, everyone was so helpful and efficient when I arrived that I couldn't find any. My room and amenities were as requested. The balcony was a fun addtion to the ambiance.Nearby Madison Square Park is a little jewel. Go watch the dogs play and you'll have a great day for sure.The breakfast buffet was a wonderful convenience and offered wonderful variety. The wine and cheese party in the evening was a welcome stop on the way in or out.It has some restrictions on amenites such as room service - they get you takeout from a restaurant. So I just went up the block and ate at each of the restaurants they use - the food was excellent. Those who are not used to staying in a boutique or niche hotel might find that disconcerting, bu it is easily mde up by the relaxed atmosphere and personal attention to service. Employees quickly recognize and acknowledge you in all areas. The maid and I had a fun chat on the elevator.The free internet access was a plus and you really feel welcome in the lobby - newspapers and a laptop you can borrow to check your mail.Hotel Giraffe is farther downtown than I have usually stayed, but I would definitely book there again or recommend to any friends.	
Nov 18 2009 	All in all a great find	I am a NYC native, with a lot of my family still residing here. I was bringing my boyfriend for the first time.First, the location is excellent. Especially for us, since my dad only lives 4 blocks away! Second: This hotel is so quiet, which is hard to find in a hotel situated on one of the busiest avenues in the city. We never heard any other guest during our 8 day stay.We loved the roof top terrace, and used it often. The complimentary breakfast was a nice touch, with sufficient options, although we only managed to have it a couple of the days we were there. The wine and cheese reception is also very nice, with a choice of one red, one white, and Prosecco, as well as a variety of cheese and cracker options, finished off with a crudites offering. The staff was accommodating, but never intrusive. Housekeeping did a wonderful job every day, and never interrupted us while we were still in our room. The only minor complaint we had was the trouble with the keys and getting into our room. 90% of the time, it would take several, sometimes up to 15 swipes to get into our room. But, as I said it is a very minor complaint. Also, we would have appreciated a little more water pressure! All in all, it is a gem of a hotel in a great location. We can't wait to return!	
Nov 18 2009 	Pleasant surprise in the land of money grabbers!	The hotel was a bargain in a great section (lower Park, near Little India). The staff were very pleasant, the room smaller but fresh and very clean, the evening get-together more akin to a B and B than a Manhattan hotel, and breakfast was satisfactory. Parking was $34 or so a day, a bargain for Manhattan. Nice area to walk, too. This place was a find!	
Nov 16 2009 	A gem!	What is there not to like about the Hotel Giraffe?The location is very convenient and in a great area of the city. We enjoyed the hotel's evening wine and cheese social. They even had someone playing the beautiful black grand piano in the elegant lobby. Our breakfast was pleasant every morning. They offered assorted cereals, fresh fruit, eggs, pastries, yogurt, bagels with cream cheese and peanut butter and juices. The morning hostess would prepare our coffee as ordered and got our mornings off to a great start. The lobby had four different stacks of newspapers to read there or take up to your room.Our room had a Juliet balcony that we loved standing out on and watching the sights. We had a great view of the start of the Veteran's Day Parade. The room was spotlessly clean every day and freshened in the evening.The staff was eager to help with restaurants, sights and directions. We took advantage of their help and knowledge of the city. This was the most pleasant boutique-styled hotel we have had the pleasure of visiting.	
Nov 16 2009 	excellent stay	On Park Ave, and 26th St., the hotel is in a very convenient location. Upon arrival, we were upgraded to a junior suite due to availability, at virtually no additional cost. The rooms were nicely decorated, calm, with a touch of high tech; nice LCD TV in the living area and wireless computer access. The room was comfortable, with a very small balcony overlooking Park Ave. (great view). The bedroom was average size (big for NYC accomodations) and the bathroom was nicely done with large space available for toiletries. The hotel looks like it has had some refreshing, and it left a favorable impression.Complimentary contintnetal style breakfast in the main lounge was great way to start the day, and the evening wine and cheese bar there was a very nice, and welcome, touch. Price was excellent for the location and time of year; total charges were under $300 per night.I will be a return visitor.	
Nov 13 2009 	A Great Find	After hours scrutinising all hotel reviews, we finally decided on Hotel Giraffe for our first visit to New York and we were not disappointed. The location is great, handy for Empire State Building, Macys etc. Staff were great, lovely breakfast, good choice of croissants, bagels etc. Cheese and wine is a bonus if you manage back in time for it. Would recommend this hotel to anyone planning a trip to NYC. Hope to return to this hotel on my next visit.	
