	Great hotel great location!	I stayed here for 5 nights with my dad from November 14th-20th. Check in was quick and easy, we were given a room on the 10th floor with a view of the Empire State Building. The rooms were of good size, we had a twin bedroom and were pleased with the size. There was also an electronic safe in the cupboard that was free to use and the rooms were cleaned everyday. Breakfast was fine - we thought we would probably have to go out and buy breakfast as it was only continental but there was plenty of choice and always enough food to go around. It was a buffet style breakfast with muffins, cereal, toast, youghurt, bagels etc and tea and coffee which you could help yourself to throughtout the day and night. The hotel was great location wise - down the road to macy's and empire state and about a 5-10 minute walk to times square. Beware though it IS the city that never sleeps - I don't think I had a night where I slept straight through without being woken up by a binman at 3am or noisy people coming back to their hotels. Our window was also broken the first night which meant the noise was awful but the staff did fix it straight away the next day so I have no complaints with that.The hotel also sell tickets to most attractions for exactly the same price as the attractions themseleves which is handy and means no queuing!! The staff are friendly and are really helpful, they reccommended a boat trip that we didn't even know about and it was fantastic. We did all of the main attractions and walked to most of them. People are quick to tell you to get in a taxi to get everywhere when you can walk it in 10 minutes!! We walked to central park from the hotel and to John Lennon's old house but people couldn't understand why we walked the 20 minutes to get there... The only place we did get the underground to was to Ground Zero and you can walk from there to the Statue of Liberty dock in around ten minutes if that.When you get given the map everything seems really far away... but it's not. Save yourself some money and walk, it really doesn't take that long and there is so much traffic on the roads it's not worth getting in a taxi.The security over there is immense so be prepared to be prodded and poked! It's good considering everything that has happened and makes you think that Britain should be the same. For Top of the Rock, Empire and Statue of Liberty you get searched and go through metal detectors etc before you can go up, understandable and makes you feel more secure plus it doesn't actually take that long.Coming to and from the airport we booked with Supershuttle.com before we went. Excellent service, you can tip when you book (tipping is a huge thing over there and most places if you go out and eat will actually add their own tip on..then ask if you want to leave anymore!!). We shared the ride with about 4 other couples and it did take about an hour to get to the hotel but it gave us time to take in the sights and sounds so we didn't mind at all. Going home we were the last to get picked up and the ride took about 20 mins! It's cheaper than getting a taxi they have a flat rate of about $43 one way. One final thing... I have to reccommend Keen's steak house. It is literally round the block from the hotel and was the best meal I've had!! It was expensive but well worth it. Don't go around 5/6pm though all the businessmen go there for their dinner and it gets stupidly busy. We went on a Sunday and it was quiet. Lovely place, excellent staff and fab food.	
Nov 17 2009 	Well-located near Pennsylvania Station	The Hotel Metro on West 35th Street in New York City was well-located for us since we traveled to New York City on Amtrak. The staff was courteous, friendly and helpful. The room was clean and attractive, but the bathroom was very, very, small. The best feature of the hotel was its breakfast buffet, good bagels, fresh fruit and coffee. Prices are never fixed at the hotel. They vary from season to season. It seems to be the favorite stopping place of UK visitors who arrive en masse!	
Nov 17 2009 	Great Hotel for a Great City	We spent a week in the Hotel metro for my 30th birthday 3rd november till the 10th. Apart from the great new york traffic on the way to the hotel the trip was nothing sort of outstanding. The hotel staff were great espcially Ann who i organised tickets with before we went and all these were waiting for us when we got there. Stayed on the 9th floor with a great view of the empire state building. Rooms were clean on arrival and cleaned every day. The breakfast was a bouns and the restaraunt/ living room was never really to busy. Not a thing to complain about why would i we made the whole experince worth while and this hotel helped our trip a little more worth while. Would highly recommend and defo gonna stay there again. And don't expect much sleep because this city truly never sleeps.	
Nov 4 2009 	GREAT HOTEL IN PERFECT LOCATION.	stayed at the metro for a week in june 2009 and loved it.this was our 5th time in new york but the first time at this hotel, but we would definately stay there again.book with confidence, you will not be dissapointed.	
Nov 4 2009 	ROOM POSITION	Room was overlooking building site. When I asked to change it I was told no other rooms. Carpets were stained and threadbare Staff wrere not friendly with the exception of Matthew the doorman who had a loverly manner,Stayed here before and thought I would never return. However, was told hotel had a makeover since and thought I would come backNever AgainK	
Nov 4 2009 	Excellent hotel	We stayed for a week at this art deco hotel &amp; loved it. We were upgraded to a suite on 12th floor, which was great &amp; very clean. Complementary breakfasts were excellent, very good choices &amp; coffe/tea available free all day. Receptionists &amp; doormen were extremely helpful &amp; very friendly.Hotel is well situated for sightseeing, we walked miles also used the metro &amp; metro &amp; bus to United Nations (metro card reqd for bus). Walk across Brooklyn Bridge is fantastic, as is view from Empire State Building. You need to visit Empire State early as queues can be long but this is no problem as hotel is so close .We loved everything about this hotel &amp; would stay again.	
Nov 1 2009 	Smal but perfectly formed......	We stayed at the hotel Metro for the first time in August, for the Depeche Mpde concerts at MSG. The room was small - the bathroom door couldnt open fully as it hit the bed, but everything was in perfect working order and very clean. The roof terrace is an amazing suntrap and nice for an afternoon dirnk. Maceys is right at the end of the street, Madison Square just a few blocks and Times Square and Central Park within walking distance. The staff were all polite and really helpful -they all seemed please that it wasnt our first time in New York but our first time with them....we are now trying to book again for a late November trip and would definitely stay at the Metro again. Very pleaseant and a good trip	
Oct 30 2009 	Lovely boutique hotel close to everything	We stayed a long weekend at Hotel Metro and were most pleasantly surprised with the accommodations and service. Accommodations were very clean and decor 1940's &quot;trendy&quot; so one felt like it was stepping back in time. Free continental breakfast and library area nice way to connect with others. Roof top terrace is beautiful with a stunning view of the Empire State Building. Only drawback: size of the room and bed. Room was teeny, tiny and bed was full size, we're used to at least a queen size as it was my teenage daughter and me. However, when in NYC, we rarely stay in the room except to sleep, so wasn't a huge drawback. Will definitely stay again!	
Oct 29 2009 	Watch out for the cockroaches!!	Please...save yourself some money and grief by not staying at this hotel!On the last day of my stay I discovered an extremely large cockraoch in my room (actually on my bed!). My brother and his fiancee proceeded to tell me they had also seen them on the roofdeck (we were staying on the 12th floor).On complaining to the front desk they proceeded to ask me &quot;what do you want us to do about it?&quot; and the manager refused to even speak to me until I absolutely insisted he come out from hiding under the desk. He then proceeded to tell me that there was no formal comlaints procedure and he could not authorise any kind of refund or compensation. This was changeover day - the busiest day of the week!I consequently left a polite letter of complaint to the senior manger and still am waiting for a reply 3 weeks later...I won't hold my breath!Probably the worst customer experience I have ever encountered and poorly trained staff who clearly did not know how to handle a complaint. Having worked in the tourist industry myself this is certainly not the way to go!A total shambles and would not want any one else to go through the same nasty experience. Also makes me wonder where else they are lurking in this hotel if they are on the 12th floor and the roof deck...don't even want to think about the kitchen...	
Oct 28 2009 	Very disappointed with package	The Hotel was good, clean, tidy, friendly and good service, breakfast was fine. Location great for sightseeing, all in all good. Beware if you book through an agent i:e B A and are offered a Mini Double room @ £200 00+ a night. We did!!! Luckily we had a very sympathetic receptionist who after the first night was able to upgrade us to a far nicer room. Please do not take this as a mar on the hotel as they only sell these rooms to agents not directly to the general public. I would return to the Metro but would book direct in future.	
Oct 24 2009 	Not perfect but not bad!	My sister recommended this hotel after staying there a couple of years ago and we found it ideal for our week-long sight-seeing holiday. On check-in we were advised that we had been upgraded to a room with two double beds on the 12th floor (one below the penthouse) and we were surprised how spacious it was as we had heard that rooms in NYC could be a little on the small side. The decor of the room was quite dated and the lighting dim but it was very clean and the beds extremely comfortable. The room was well equiped with a safe, iron and ironing board and minibar but be aware that the items in the minibar and box on the top are on a sensor - if they are removed for more than 20 seconds you are charged!Whilst the complimentary breakfast was a nice touch, with decent orange juice, coffee, toast, muffins &amp; pastries, bagels, cereals, etc, the rooms provided were a little cramped and overstuffed with chairs which could not be used due to lack of space. The cups, plates and cutlery provided were all plastic and the toaster was awkwardly located in a corner and always crowded - could have done with another. However, it was convenient and saved us having to go out and look for somewhere to eat each morning.The location of the hotel was fantastic - behind the Empire State Building with Macys half a block away and Times Square seven blocks away (about 10min walk) and the views from the rooftop terrace were amazing.We will be going back to NYC within the next few years as a week just wasn't enough to see all we wanted to see but we will definitely consider staying at the Metro again.	
