	A very good choice	The Stanford is well situated in Korea town, close to Macy's and good shopping. Although we were in NYC on business we also had some downtime so we were able to enjoy the delights that the city had to offer. The rooms are on the small side, and there is only one elevator but this did not present a huge problem for us. The bathroom was clean and the sheets and towels smelled freshly laundered. We were at the back of the hotel so we overlooked other windows but this did not present a problem either as it was quieter than being street side. If you craned your neck you could just about see the sky so you were able to see what the weather was doing and dress accordingly. Breakfast was bagels, doughnuts and other carby things - buns, rolls, toast etc, but this was ok too. The staff were very helpful and pleasant. As this is in mid-town we did struggle to find restaurants other than Korean ones which stayed open late.	
Nov 24 2009 	Great value great location	Amazing location! A couple blocks from Penn Station, 1 block from the subway, and near lots of shopping. Being right in Korea Town was great too. Hotel was nice and clean. Room was a little small and bathroom needed renovating but for the price and location we thought it was a great bargain. Room had a nice view and wasn't noisy at all.Would stay here again!	
Nov 24 2009 	perfect stay	we spent 3 nights in this hotel and I can honestly say we were not disappointed. Ideal location, comfy beds, quiet and safe, all staff courteous. Always helpful with queries. It was truly our home from home and we will return. Highly recommend. Thank you !	
Nov 22 2009 	Decrepit rooms view to a brick wall 	Room furniture was very old and in bad conditions, location is excelent. Personnel at front desk not very friendly - all chinese - and didn't solve problems at breakfast.Rom had mini bar empty and Air conditioner didn't work only heater.	
Nov 6 2009 	very pleasant stay for us	we arrived oct 27th and stayed for 3 nights.front desk was very kind and well as the bellhop,room 308 was roomy and spotless,great location and price was well worth it. 5 min walk to penn station,1 min walk to subway entrance,nyc was rockin and the stanford had a cool vibe about it.thank you new york.hope i can return someday.	
Nov 3 2009 	Adequate accommodation in New York	We booked a one bedroom suite with 2 Queen Beds, and lounge area (the sofa bed was in poor condition and unusable). The room was very spacious and the bathroom recently renovated. Location was excellent - 34th St subway access 1 minute from the hotel; Speedy's salad bar on opposite corner (highly recommended for healthy &amp; cheap eats); Macy's, JC Penney; Old Navy; H &amp; M; Gap; &amp; K-Mart all around the corner and very quick to walk to.Room included complimentary breakfast although we were surprised that there was a $10 charge to take your breakfast up to your room! Wi-fi is offered at a $10 charge per day. There are 2 internet computers on the 2nd level - very handy for printing boarding passes ($0.25 per page).Overall, it's a no frills hotel in New York. Very good price for the month of October (I think we paid around $330 per night), where everywhere else was wanting $400+ per night for a standard room.	
Nov 1 2009 	Don't Bother	Having read the previous reviews, I was very disappointed with this hotel.Not only was it the most expensive we had ever stayed in, in New York, but the lift was slow (and at one time broke down), there was no tea/coffee facilities in the room, the airconditioning was unsatisfactory, but the worse thing by far was the lack of natural light in the room.The room was a good size, but the only window was the size of a bathroom window and overlooked a giant black pipe, meaning the room was permanently dark.The good points about the hotel were the location and the cleanliness. However, I would definitely not return	
Oct 30 2009 	This is a great place to stay in New York City	I have stayed in many places in NYC and this is the place I return to. It is very convenient and within walking distance of Penn Station. It is clean, in good condition, and reasonably priced. It is down the street from Macy's.	
Oct 7 2009 	Great Location - good price	Our first trip to NYC &amp; was a little uneasy deciding on a place to stay - turned out to be great! (Recommended by a friend who had stayed here a couple of years ago &amp; liked reviews I read on Trip Advisor.) Subway is 2 minutes away - easy to get anywhere you want! We were on the 3rd floor, so waiting for the elevator wasn't an issue for us as we mostly used the stairs. (I would definitely stay here again, but would request the 3rd floor!) We had a Queen - room was on the small side, but plenty of room for us! (We didn't come to NYC to spend time in the hotel!) Comfortable bed, desk &amp; chair, 2 night stands with bedside lamps, separate ceiling light fixture that was very bright - really nice to have good lighting when we wanted it! Also liked that the window could be opened, as weather was nice (no view, but we weren't expecting one). Modern bathroom - good shower/tub combo, nice deep window ledge to set toiletries, etc. Room also had a refrigerator which was nice for beverages/snacks. Large closet with shelves &amp; plenty of room to store suitcases. Two internet-access computer stations on 2nd floor for free use by guests. Basic continental breakfast included (bagels, pastries, coffee &amp; juice) - nothing fancy, but very handy to get your day started. This isn't a &quot;luxury&quot; hotel, but it was clean, had everything we needed, reasonable price for the location, pleasant staff &amp; we felt very safe.	
Sep 14 2009 	hotel is good and nice	Great location - neare subway, Penn Ststion, Empire State Building, Times Squuare, 5 -th Ave. Also out of noise, quiet. Very nice and helpfull staff. Clean room, rather small but its enought when you want only sleepover. Breakfest rathesr french - sweets and coffe, not much room for all gests . Only one elevator for 12 floors! But it;s not so bad! Good hotel for good price.	
Sep 3 2009 	Great Hotel!	We stayed here for 9 nights in early August and it was a great stay! Friendly staff, nice rooms, small but big enough, and what's especially important: they were clean! The bathroom looked new and was spacious, the safe worked excellent, as well as the fridge.Our only complaint would be about the elevator, which is too slow and sometimes made some dubious choices in going up or down, making it faster too walk some floors.Anyway, the beds are very comfortable and there is hardly any noise from the city (we slept at the rear end of the hotel). I would recommend this hotel to anyone and would definately stay here again, the location is perfect!	
