	Location Location Location	Great location great service the most comfortable bed ever. I stayed at the hotel for 2 nights in August and it is a great hotel. The staff are all very helpful and attentive. I dined in the restaurant for dinner and breakfast and could not fault it on either occasion. I would recommend this hotel to any of my family and friends.	
Nov 13 2009 	just perfect	This hotel was absolutely perfect and I would recommend it to anyone. It was clean, beautiful , room was outstanding and above all stuff was excelent !!!!I t was quiet but in an amazing location. Within hotel here is very cozy South Gate restaurant with very pleasant stuff and tasty food!!!!Don't miss their buffet brekfast;we loved it :)Stay at this hotel, you won't be sorry!!!!	
Nov 12 2009 	a great hotel	This hotel is across from Central Park, great location, lots of amenities, wonderful staff	
Nov 8 2009 	1st Class Hotel!	I was worried about this hotel, thining it might not be perfgect...well I worried not! This hotel was absolutely perfect and I would recommend it to anyone. It was clean, beautiful and the room was outstanding! We were upgraded to a king room (1633) just because they liked us, and it was a beautiful room, not a great view but hey we were not there to look at the view.It was quiet, but in an amazing location and everything was just where we wanted it.The staff werre amazing, Kevin at concierge was just so helpful as were everyone else.Stay at this hotel!!!! You will not be disappointed :-)	
Oct 27 2009 	Great Location not worth full price	First, I would like to say that I did not pay full price for this hotel stay. I booked a package through Luxury Link, an auction site. The room (central park view, king sized bed), afternoon high tea, and 2 breakfasts were included. The total cost of the package equalled the rack rate of the room for one night. If I had paid full price, I would have seen the whole experience differently!The best part of the hotel for us was it's location. We loved looking out our window and seeing the park. We loved how convenient the hotel was to so many attractions and the subway. We've stayed in the Times Square area before and we liked this much better.The room was very spacious for NYC. The bed was very comfortable. People have complained in other reviews about figuring out the light switches, but we thought they were well designed. The motion sensor night light in the bathroom was especially good. There was a comfortable couch to sit or lie on. The room was full of places to store things - His/Her closets, plenty of drawers, a bench that had storage inside of it, etc. The bathroom wasn't huge, but it was comfortable. The shower was good, but the tub had a huge step down to get into it. It may be hard for an older person to get in. The sink was modern, but we would have preferred to have dual sinks. The room was always cleaned promptly and the cleaning people did a great job maintaining it. After dinnertime, a turndown service was provided which inluded having your ice bucket filled.The service was friendly and they always were helpful, but there was something less than genuine about it. We had several inquiries at the front desk and an answer was always given, but the answer didn't adequately explain everything. It took several questions to get the whole answer. I also found it weird that in a hotel in this price range had no one to greet us when we arrived. The cab dropped us off and no one was around. I'm not sure if the perfunctory service was part of the hotel being owned by someone not American or what.We did enjoy our breakfasts included in the room rate. Our package said it included a &quot;full American breakfast.&quot; What that meant was that you got a buffet breakfast. The buffet was very nice. Plenty of fresh fruit, delicious pastries, smoked salmon with bagels, and some warm breakfast items (eggs, bacon, etc.) The service was excellent at the buffet. The waiters were sad to see us go on our last morning.Overall, for the price we paid, the hotel met and exceeded our expectations. If I had to pay the rack rate (or anywhere close to it), it would have sorely lacked in my opinion. Paying close to $1000 a night should grant you a flawless experience. If you can find a bargain (like we did), I think this hotel would be a great place for you to stay.	
Oct 12 2009 	Absolutely perfect superb location and wonderful room with 2 beds!	I was visting NYC with my 76 year old father who rarely travels. Problem was 2 beds in one room. Essex house room was super, quiet, beds were super comfortable, staff very nice, no traffic noise whatsoever, very restful. After all my research, it was a home run. I wanted to add this review after relying on TripAdvisor reviews to guide me. Just a great place.	
Oct 9 2009 	Great Place to Stay on Business Near Central Park	This was my first time at Essex House, and it was a winner. I liked being near the Park for running in the morning, and I liked the bar in the hotel for meeting up with colleagues (I was in NY for a media tour). Mid-town is also nice for running around to meetings, centrally located. There's a Pain Quotidien around the corner for casual breakfast, and a pub on the next block for a pint. My room was clean and well-appointed, with a comfortable workspace, good bed and bedding, and nice shower pressure. The lighting system is a little odd, and takes some getting used to, but other than that it was all good. I liked the ability to plug iPod into TV speakers. No complaints at all. I would stay here again.	
Oct 9 2009 	First and Last Stay	Aside from the proximity to Central Park, there is no reason I could recommend this property. We reported two maintenance problems with our room (called twice), yet received no reply or repairs. Even gave management a chance to make it right at check-out, in hopes they'd redeem themselves. They didn't. Instead, we received a stock e-mail inviting us back with an &quot;upgrade&quot;. With so many incredible choices just around the block, we'd never return.	
Oct 9 2009 	Great location very nice staff	The location of this hotel is perfect in that it is facing central park; The staff were very helpful before we ever got there - booking restaraunts etc; Our bedroom was one of the nicest I have ever stayed in on a NY visit. very large, new and bathroom very spacious.The bar in the hotel can be very lively and interesting. Some negatives: there was a delay at check in which did bother me after a long flight; breakfast were expensive. Outside that - a very pleasant experience.	
Oct 8 2009 	Very nice and accomodating	The only bad thing to say was that when we went the building next to us was doing construction. The construction woke us up the very first morning at 5am. For a relaxing weekend away, that was not how we wanted to start our day. However, when we informed the front desk of our problems, it was clear that they were concerned with our happiness. They provided us a new room and because we were on our way out to avoid the noise, they offered to set our things up in our new room so they would be ready when we returned. It was a nice gesture and helped make up for a problem that wasn't their fault to begin with.	
Oct 3 2009 	Only location saves this place	Where to begin? Room was not clean, lighting on/ off system is maddeningly complex. All lights in room are on motion detectors. Almost feels as if the writers from Monty Python designed the lighting system. Found matted pubic hair around the toilet. Room service was passable but so expensive it was astonishing! I expect to pay $75 for a simple bacon and eggs breakfast at the NY Four Seasons but this place has no business charging that kind of $.Traveled with a group. Most all agreed with assessment. We were in NY during Fashion Week and US Open, had no choice but to stay here. As soon as a room opened up at the Four Seasons I moved.Not sure the people managing this place could ever get a handle on things.....	
