	An ideal spot for visiting Manhattan	As many previous reviewers have chronicled, the staff, the breakfast, the afternoon wine and cheese all make The Library Hotel a special place and worth the bit extra it will cost over a big-box location. We also appreciated the central location *and* the fact that, in a business district, there is not so much traffic on the streets at night. It was possible to open the window and still sleep. The rooftop bar is lovely, if busy during happy hour. Grand Central is just around the corner; you can go uptown, downtown, or crosstown with ease. We will definitely return for our next nyc visit.	
Nov 24 2009 	My new NY favorite!	I truly recommend The Library Hotel to anyone looking for a perfect place to stay when visiting NY. Finding a hotel in NY that includes WiFi, breakfast (a very generous continental breakfast) as well as cheese and wine each evening is hard to find in Manhattan. Ad extremely friendly and service minded staff, a great Mid Town location and comfortable and well designed rooms makes it even better. I've stayed in the smallest (Single Petite Room) as well as the largest (Junior Suite) rooms on offer; yes, the petite room is very small and not a place for someone with a lot of luggage or a big suitcase but it's certainly cozy and high quality with the same design and amenities as the largest room. The Junior King has a generious size and is the place to book for those with more luggage or who are staying for more than one night. Will recommend this hotel to everyone I know.	
Nov 23 2009 	Solid Hotel	Spent two nights last week at teh Library Hotel. In NYC for a mix of business/leisure. Picked Library based upon research/reviews on Trip Advisor. Hotel is in a good location at corner of 41st/Madison. Room was very small....but this is NYC! We stayed in a Junior Suite with a King Bed but it would have passed for a standard room (by size) in any other U.S. City (...other than New York that is). It was decorated nicely. Lobby is small/cozy but the staff behind the desk were very friendly and accomodating. Big plus! We had a drink late one evening in the rooftop bar. It was cozy and nice. Again, staff was great. I would consider staying again based on staff, location, etc. One negative, an open bar of soap was left in shower from previous occupant. Ironic as same thing occurred last spring at Tribeca Grand Hotel in NYC! Must be part of a &quot;Green&quot; program on the part of NYC hotels.	
Nov 23 2009 	Definitely not your "conference hotel" made our trip extra special	My husband and I recently traveled to NYC for my 40th birthday, staying 4 nights. The Library Hotel was fantastic! The first bonus was that the staff was so helpful prior to our trip with directions and assistance for the best way to get from JFK to The LIbrary Hotel. They suggested the most economical/convenient way, was the Airport Express Bus, and they were absolutely right, for $27. round trip, the bus was right outside our baggage claim and 2 blocks away from the hotel. Very convenient and easy. Anyway, once we arrived at the hotel, it was very tastefully decorated in the lobby, the staff had fun with us as we discussed our &quot;themed&quot; room based on the dewey decimal/literature theme. The bell hop was very helpful in getting us situated. Since this was a special occasion for my birthday, they greeted us with a bottle of champagne and a nice personalized card wishing me a happy birthday. The daily continental breakfast and nightly wine and cheese was a nice welcomed respite from our hustle and bustle of explorting NYC. It was in a great location, not on Time Square, but a close distance from all the major NYC sites. I would highly recommend this quaint little hotel it really made our trip extra special!	
Nov 17 2009 	Lovely little hotel	The staff was exceptional.They were profession but very friendly as well as extremely helpful.The room was small but we expected that. It was well appointed and pleasant. The location was great. The roof top bar was a pleasant surprise. Deserves it's excellent rating.	
Nov 16 2009 	Wonderful!	For a beautiful stay in new york I think this is the best place	
Nov 15 2009 	Oasis of Calm in a Bustling City	My first time at the Libary Hotel - stayed for 7 nights on business. Was upgraded to a Queen sized room at check-in which was a very nice touch - boosted my floor area by 20% which makes a difference if you're staying a week. Read all the good reviews on Tripadvisor before making a booking and I'm happy to say that it was a very good experience for me. On this particular trip to NYC, my stay at the Library Hotel was immediateIy followed by another 5 night stay at the Hilton Millenium in the downtown area due to work demands. This provided a useful real time comparison of the boutique hotel versus the premimum chain experience. Hopefully my review will prove useful to those trying to decide between the two, given the broadly similar price points. Straight to the point - the Library Hotel beats the Millenium Hilton hands down on multiple counts - price, location, amenities, service, ambience. I don't want this review to turn into a complaint about the Hilton, so let me put it this way: Do not take free breakfast, free wireless access (or indeed, wireless), bedroom slippers, bottled water and unobstrusive doormen for granted - the Hilton wants to charge you a pretty penny for each one of these. The Library gives you all these freely and leaves the business/ leisure traveller free to concentrate on whatever he/ she wants to do in NYC. Buying bottles of water from CVS and Duane Read should not be on the agenda in a good hotel. My room rate at the Hilton was a good three figure sum higher than the Library Hotel rate - let me be fair and say that for the price, I managed to get a larger room but it seemed to be accidental as I was mysteriously allocated one with handicap-access. There is also a healthclub within the premises at the Hilton, but the NY Sports club is way better as a gym and is only a 5 minute walk away from the Library Hotel. If your meetings are all in Wall Street and travelling time is a principal concern, the Hilton is better since everything is a short walk away. Having said that, the Library Hotel is only a 20 minute door to door subway ride away from the Fulton stop near Wall Street which is decent, and at least you have a much better location for what comes after work. I personally liked the Library Hotel breakfast despite the lack of hot cooked food as some reviewers have pointed out - I don't find the full American breakfast to be particularly viable when you have a full workday ahead of you. And its the sheer charm and good service provided by the small staff at the Libary Hotel that will make me return when I'm next in NYC - hopefully soon.	
Nov 15 2009 	Great location and wonderful staff	I stayed for two evenings in this great midtown hotel. Located near Grand Central made it easy to get anywhere in NY. Stayed in the Almanacs-themed room; great bathroom, very quiet. Nice breakfast, and tea and coffee were available 24 hours in reading room on the 2nd floor. Wireless internet worked in the room with no problems. Staff was very helpful with questions. They let us store our luggage in the hotel after we checked out. I would stay again.	
Nov 14 2009 	Exemplary - What a boutique hotel should be...	This was our eighth trip to NYC, but our first time staying at Library Hotel. The location is so convenient - literally 1 block away from Grand Central Terminal and the NY Central Public Library . Immediately upon entering the lobby, one begins appreciating the elegant decor. The service: No attitude, and very gracious. We got a room on the 7th floor - very large (by NYC standards). The room was clean, and turndown service was prompt - No housekeeping issues. The 2nd floor public area is a welcoming space (again, decorated like a library) where continental breakfast is also served daily. It is also open 24hrs/day. The rooftop bar and lounge are great places to congregate, with views of the local Manhattan skyscrapers. Free Wi-Fi throughout the property also! Free passes for the NY Sports Club were offered to us, since the hotel doesn't have its own fitness facility - a nice touch. We were sad to leave this boutique hotel.Upsides: Service beyond the call of duty, great location, large rooms by NYC standards, great rooftop bar &amp; lounge, overall excellent value.Downsides (very minimal): Street noise permeated the walls on the lower level rooms (but not significantly). The water pressure in the shower was a bit low. Also, the hotel entrance was a tad tough to find when first arriving, and the front desk didn't have a USB wire for our laptop (but that was our fault for forgetting to bring one).	
Nov 13 2009 	Oasis in the City Jungle	The staff were extremely helpful and freindly. We upgraded to a Junior Suite King and seeing the size of the other rooms this was a very good idea, by prepaying the cost increase was only minimal above the Deluxe Room Queen. I recommend you do this as the extra pace in the room makes it so much more comfortable. The level 2 reading room is fantastic being able to get a coffee whenever you feel like it make the hotel feel more homely. If you are a light sleeper maybe ask for a room away from the main road.We cannot recommend this Hotel enough it deserves it high ranking	
Nov 10 2009 	Underwhelming but still good	Stayed here for 5 nights. Great location, esp as it was our first visit to NYC. We chose this hotel mainly because of the reviews we read on Trip Adviser. I guess the standard of hotels must be pretty low for this to be in the top 5 ranked! It is perfectly fine but for the cost and the expectation we were let down.Positives - helpful staff, small hotel so not feel part of a big process, decent room size (I assume NYC always have small hotel rooms), help yourself to Tea, Coffee, biscuits and fruit all the time! Cheese, wine etc good quality and generous - help yourself. Good cleaning service and nicely decorated rooms. Newspapers and lots of books!!!!Negatives - breakfast whilst good quality, nothing was cooked. So same old each day. Was I wrong to expect a better breakfast option? The reading room was a major selling point but it has an awful claustrophobic feel to it. No one whilst I was there seemed to enjoy it, the carpet makes any conversation stand out, there were not enough seats for everyone when busy at Breakfast, the lighting is too bright. I know it seems like I am moaning but this was the hotels USP but they aren't maximising it. They should use the ground floor restaurant for Breakfast. That would have really improved our opinion.I suppose I don't believe what they offered is value for money but it is still a good hotel and I have nothing to compare against in NYC. So it may be very good compared to the competition. I wouldn't stay here again as I would probably stay in Tribeca area instead.	
