	Would not recommend this hotel	We stayed with Loews hotel in November 2009 and booked a non-smoking twin room. On arrival we were given a smoking double room. When we pointed out the error we were told that the room type was not guaranteed and were given very little by way of apology. We were met with a similar response when the issue was raised again on check out. In addition to the poor service, the hotel looked very tired and was in need of refurbishment. The location is good but there are much better hotels in the area for a similar price.	
Nov 15 2009 	Nice but needs a refurb	I stayed here twice this fall due to Loews First Benefits. Both times I stayed in a Suite. The suite was roomy with a queen size bed and little master bath and a sitting room with couch and powder room.The check in area is fancy enough. The staff was adequate (other than housekeeping issues which seems to be a product of recession and I'm find at other four and five star hotels..I guess this is where they cut back)Anyway, the rooms are old looking and need to be gutted. Bathroom shower clogged. Bathroom toilet running. Stains on carpets and couches. Not totally gross and it was clean but not worth the $500 plus rates this place gets. I've stayed at worse in NYC but I've also stayed in better, nicer looking rooms for less in NYC lately. A lot of the boutique hotels and many of the chains such as the New York Hilton and the Crown Plaza times square might not be as fancy but the rooms are cleaner and newer.Service was adequate. Love the heaters over the bell area outside so you don't freeze when waiting for a cab. Also, another note, I stay in hotels all of the time but the room service here may be the most expensive that I 've ever seen. Bring in food or walk around the corner to Lexington for a bite or you'll pay big.I'd stay here again as the location on the upper east side is great. The hotel was quiet and the bed comfy so sleeping was great. I'd only stay though if I could get a great rate as this fading property is no 4 or 5 star as it would like to be.	
Nov 9 2009 	Shabby not up to either star rating or price point	The Loews Regency is an old school sort of property with a pleasant and cozy lobby and nicely preserved historical touches in the public spaces. I was there for a meeting and the AV services and banquet-style food service was good but not stellar: hot water for tea served in a coffee-contaminated urn, for instance, a rookie mistake that a hotel of this quality shouldn't make. My room was large (and even included a small kitchenette space that I didn't need) and the furnishings were reasonably nice. Bed comfortable although linens could be nicer. Comfy robe provided. Cleanliness okay but not stellar. Bathroom downright depressing and poorly maintained. Very loud ventilation system in the room (fortunately I sleep with ear plugs) and TV has relatively few channels. All in all just not good enough considering the star rating and price point.	
Oct 29 2009 	Top notch business hotel in excellent location	I have stayed several times at the Regency and am consistently impressed. The location is excellent at the borders of midtown and Upper East Side. The relatively small size of the hotel means it has a more convivial feel than larger and more impersonal luxury hotels. The breakfast room is excellent, populated mostly by local power-brokers. The fitness centre is definitely superior to most other hotel fitness centres, and again is used mostly by locals (with a personal trainer).Rooms could be larger, but that is a common complaint in NYC.	
Oct 14 2009 	Smooth and well-appointed hotel on the Upper East Side	Hotel is in the UES, so unless you're into upscale condos, doctors or the a couple of the Museums there's not a lot going on up here. The subway is not as prevalent around here as it is in midtown and downtown or the UWS, so you may be cabbing it more than you planned. I suggest you tip the doormen graciously as they're a font of good info and you'll never wait more than a few seconds for a cab or car.Service is top-notch, as with all Loews Hotels. The lobby is surprisingly small, but rooms are decently-sized for NYC and dead-quiet. Try to get a room facing Park Ave. instead of the school or church on either side. The restaurant downstairs lays claim to the original &quot;Power Breakfast&quot; and it's not uncommon to see movers and shakers there. But it is pricey, and there are some great, cheap diners within a couple blocks walk. The adjacent nightclub is nice if you want a mellow evening of jazz crooners/piano bar with your drink.Traveling here with your pet is not only easy, it's encouraged. The pet-menu is creative and funny.	
Oct 14 2009 	fantastic hotel and location	we had a fabulous stay at this hotel staff were exceptionally friendly and helpful. We have to mention Abraham our concierge whom made the trip for us always attentive to our needs, always smiling and genuinely interested in our day. Abraham also recommended to us a great restaurante one of 'David Burke's fine restaurante's - specialising in contemporary american food. We would also recommend 'Nougatine Jean Georges for great french food.Overall we will definately be going back to New York an amazing City and we would be definately staying in the same hotel .	
Oct 11 2009 	AWFUL - NOT recommended	Completely overpriced ! Hotel was overbooked when we arrived ! Receptionist was extremly unfriendly and no one apologised for the mistake. We got given a Smoking room whereas we specially requested a non smoking. The smell in the room was horrible !!! Room was dark and not that spacious ! Nothing like this would be expected for a $500/night hotel.	
Oct 9 2009 	Regency mistreats pet dog 	looking to spend a few days in the city, with my 3 children and small dog- we searched the internet for the 4 star hotels that were pet friendly on the upper east side. According to their website and reservationist , the two bedroom suite i reserved would be waiting for the arrival of my little Maltese with a dog bed and bowls and all sorts of pet ammenities. They also took the names of my children because supposedly , upon arrival they would receive a personal welcome in the room. when we arrived there was nothing there but the room itself which was tired -with drabby furniture and no site of dog items or any kid sized robes or amenities. We spent the day walking all over the city with our dog and when we came back to the room - the beds were not turned down for the night. When we pulled down the bedspread in the master bedroom i was nauseated to see dried blood stains on the sheets! we also couldn't open 3 lamps in the living room because the lightbulbs were missing! I immediately called housekeeping to report the issue. 20 minutes later a man knocked on the door and handed meet 2 sheets- he didnt even make the bed! we were so exhausted that we all piled into the kids bedroom and decided to deal with the whole mess in the morning with the front desk. After 3 housekeeping managers all came to inspect the problems they all declared that it was an oversite on someone elses shift. How in the world do they not change the sheets and inspect a room when a new person checks in!!! Then all i kept thinking about was that they only offered me two clean sheets for the bed and not even fresh pillow cases and blankets! Who wants to sleep on the same bedding as the previous guests!!Two days later still no dog bed- we kind of gave up hope, but were not going to let the Hotel ruin our vacation. Wed. night we had tickets to a broadway show that was suppose to be the highlight of the trip. After spending the day with the dog and taking him for his last walk - we left him on his blanket with his toys, put the do not disturb sign and left to the theatre. (Just to note: we travel all over the world with our dog to the best hotels and this is a routine he is very use to and has never ever been a problem.) From 7:00- 7:30 i recieved atleast 6 phone calls on my cell, from a hotel manager named ROSA. She kept telling me that someone was complaining that my dog was barking and every time the manger went to the door he kept barking. I told her the only reason he would ever be barking is if someone was knocking or making noise at the door- and that if she would stop bothering him he would stop. I explained to her that the show was about to start and that if it would make things easier I would pay someone to pet sit my dog in the room and scratch his belly until i got back. She proceeded to tell me that oh no we don't have any one that would do that! imagine this is a hotel that advertises their pet friendliness!!! 30 minutes into the show ROSA leaves a message on my cell that she entered my room and &quot;captured&quot; my 9lb maltese and that he is in the office downstairs! Needless to say i was hysterical!!! we had to run out of the show which broke my children's hearts! when i ran back to the lobby of the hotel I ran to the front desk begging to see where my pet was abducted to? my dog must have recognized my voice as I heard his crying yelps -we ran behind the mangers desk and found my dog tied in KNOTTED BED SHEETS- tied to the foot of desk!!!( the dog friendly hotel didnt use his leash or even have one of their own!) He was panic stricken - in a state i have never seen in my life!!! My dog and children were petrified and aghast at how we were treated in a supposed dog and child friendly Hotel. we immediately packed our bags and moved into the Ritz carlton - a true dog friendly establishment!!!	
Oct 7 2009	Fab stay at Loews New york is a must. I can't wait to return i'm busy saving	Hi I stayed at the Loews Regency for four nights with my daughter. It was a great stay, lovely comfortable bed in a fab room, With everything and more expected. We were made very welcome and felt totaly safe. Good location for most of the sights. Could not ask for more. We did get a good deal through Thomas Cook and would probaly not been able to afford it other wise. Now I am hooked and want to return a.s.a.p.On our return we relised my daughter had left her watch in the room. This was reported by e-mail to the hotel as soon as we got back to the U.K and we were contacted by the security member of the hotel who imeadiatley returned in by post. A big thanks to The Loews Staff for that. Susan and Rachel	
Oct 2 2009 	Fantastic comfortable stay however check your bill on checkout!	My wife and I stayed in the Loews Regency for 5 nights for our anniversary. We went to New York and to do the usual sight seeing.I have seen some bad reviews for this hotel, and believe from my experience that they are completely unwarranted. I agree it was expensive (£920 for 5 nights) but all hotels in NYC are, so decided I would push the boat out a bit for a nicer stay, and that is exactly what we got. Bear in mind that my wife and I are not rich, travel the world staying in 5 star hotels, or very fussy... but happy with a clean comfortable room.Check in was extremely quick and smooth, and staff were extremely helpful when we asked for directions, taxis or anything else that we requested. We stayed in the superior double room (cheapest on offer), and we thought the room was huge and very clean. The king size was bed was massive, and more comfortable than most beds that I have slept on in any hotel.The decor isn't new or contemporary but the room was clean, as was the spacious bathroom. All bathroom accessories were provided for such as shampoo, soap, body wash, and conditioner. A little dissappointing was the lack of free wifi in the room, but then I'm not on holiday to use the internet. Beside there is a very fast FREE wifi connection in the lobby. As a bit of a fitness freak, I was more than happy with the fitness facilities in the gym, which included a good selection of cardio equipment, as well as weights and gym mats.The walls in hotel are slightly too thin as you can hear noise from the corridors, but it isn't that bad. I thought the locaion was excellent, a couple of blocks from Central Park, a block away from the closest subway which goes straight to Times Square, Spring Street, Brooklyn Bridge. But to be honest you can pretty much walk everywhere from the hotel... approx 15mins to Times Sq. There are also loads of Cafes and restaurants in the area for good breakfasts or dinner.As for the bill... make sure you check it and get a copy when you leave. We never use the minibar at any hotel due to the extortionate prices. On checkout they tried to charge us for minibar usage, but could not tell us what it was we had drunk. When we said we did not use they minibar they assured us that the bill would be corrected. However on our return to England I found a charge of $7.04 on my card from the hotel, for drinking a can of coke from the minibar. It took four emails to the hotel to get the money back. As for NYC... it's a fantastic city for sightseeing, eating and shoppping. Subway is cheap and quick if you don't want to walk, but I wouldn't advise using it after 10pm. Have breakfast at Balthazar, and eat dinner at Public. Also if you want to get a good view... Rockerfeller is much better than the Empire State Building.	
Oct 1 2009 	Service Professionalism Amenities Lacking @ Loews Regency	Service -Stayed for an extended weekend under two different reservations (booked the first two nights with a consolidator and the last night directly with Loews). Was told by reservation desk staff upon check-in that my party (my friend, his wife, and his young child plus my wife) would be &quot;automatically&quot; moved from the two rooms reserved with the consolidator to the two rooms reserved directly with Loews since the rooms reserved are of different classes. Check with the reservation desk on Monday @ 3PM and find-out that the new rooms are not ready yet. Go up to the old rooms and find that we have been locked-out. Go back to the reservation desk to get the key cards re-enabled. Go on a shopping trip and come back to the hotel at 5PM -- rooms still not ready. Ask to speak to the manager -- clerk goes to a room behind the reservation desk and comes back a few minutes later -- told person who has one of the new rooms has not checked-out yet -- after much back and forth &quot;reassigned&quot; a single room with two bedrooms.Professionalism – A member of staff mistook my friend’s wife as part of the hotel’s housekeeping staff and admonished her for drinking the coffee that is made available in each guest’s room.Amenities – Furniture and baseboards shopworn; stain in one of the bedspreads; window left open and hard to close because of a bent metal frame plus many years of oxidation.	
Aug 26 2009 	"Luxury deals are available"	Contrary to some recent reports, I have little but praise for the Loews Regency Hotel NYC.I booked a 2 bedroom suite in January via Magellan Vacations, at a cost of USD 640.00 per night. The room was circa 1300 square feet, and included a guest washroom/WC, kitchen area, sitting room/dining room c/w 50&quot; Plasma, two large bedrooms c/w 32&quot; LCD's and an entrance lobby. The room allocated (728) was a corner location, with views down Park Av and 61st St.We arranged for airport transfer via Capricorn Limousines (aligned to the hotel) and the whole transfer experience was seamless. Check In was fast and professional, as was the delivery of our luggage. The location of the hotel, 2/3 blocks from Bloomingdales, Central park and 5th Avenue is perfect for those with only a few days to explore the city.In line with many NYC hotels, it is important to impose yourself at the offset. Generous tipping upon arrival invariably ensures a 'smoother' experience, and though not obligatory, is nevertheless expected in an establishment of this calibre. I have previously stayed at the Waldorf Towers and Parker Meridian, and both provide the same outcome.Our rooms were spotless, and the lemonade in the lobby a welcome relief in the heat of the day.A special thanks to Lisa for her kindness in making an unforgettable stay for the girls.	
Aug 13 2009 	Elegant with some inconveniences	The lobby is bustling with ladies wearing hats, business men and a few tourists. The lobby bathroom has complimentary amenities and is gorgeous. Rooms are spacious, comfortable. Very pet-friendly. Do beware, however. Internet is $16 for 24 hours, and they have an awkward policy that charges from noon to noon. This means that if you purchase internet at 11am you will have an hour and need to pay another $16. Very illogical. We found the front desk staff to be somewhat rude and unhelpful at times. The hotel is very elegant, but I would expect higher service for the price. Do check out The Library, the hotel´s restaurant, which is nice and has good food.	
Aug 11 2009 	Loews Regency: Getting Tired and Sad	I've been to the Loews Regency many times over the past decade and I'm sorry to report that it's not really the same hotel anymore. The feel of the hotel has changed: from a high-end hotel that catered to a well-traveled and probably demanding clientele (film people, business people, upper tier travelers, diplomats) to, well, a pricier tourist hotel that seems to be overrun with European and Australian tourists. And while you can put up with a snooty attitude when the rest of the hotel balances it out, when that balance doesn't exist, snooty pretty quickly turns into sneery, which leads to annoyance. Whereas the rooms used to be spotless, ours had a fairly large black stain on the floor. The beds were comfortable enough, but they're also starting to show their age--especially when you compare them to Westin's comfy beds, or the pillowtops that a lot of higher-end hotels have now. Other small things. The &quot;do not disturb&quot; sign was missing, as was the tag to hang on your door if you wanted breakfast. And what happened to my free shoe shine? Unfortunately, this seems to be business as usual for Loews. I used to stay at the Loews Santa Monica fairly often, until it too began to get run down and your fellow travelers were all excited about &quot;seein' the movie and tee vee stars.&quot; Blech.Sorry Loews Regency. Give me a call when you renovate.	
Jul 25 2009	Wasn't very keen on this hotel at all.	I've stayed at 5 different hotels in New York City in my various visits there. This hotel ranks as my least favourite of the lot and it had the biggest star rating (4.5*).Right from the time I arrived I felt less than welcome. The room was not ready when we arrived, even though it was after 3pm. When we finally did check in, the last occupant's used old shampoo bottles and soap had not been removed upon our arrival. Yuck!The room itself was nothing spectacular, in fact, the bathroom was in rough shape, very dated and not particularly clean.The charges for room service and courtesy bar items were completely outrageous.I would not stay here again.	
