	perfectly acceptable	We stayed here on our return from Canada and Boston, having spent a week at the Hotel 17 a few weeks before. This hotel has a more modern decor and was quite adequate. It was in a good location for us; we could walk down to the shows we wanted to see, but we missed the area around Union Square - we preferred the vibe there.Our room became stifliingly hot every night. We had a thermometer with us and it was 35 degrees celsius at 3am the first night. We tried to open a window, but the window fell out of its tracks and took a lot of effort to replace. We commented to the desk staff who said it was because the air conditioning was linked to outside temps. Every night it became unbearably hot and we were sweating - confusing given it was 5 degrees outside. Apart from that the service was friendly, and they kept our bags both before and after we checked out for a few hours. It was ok and if this is the area you are looking to stay in, you could do worse.	
Nov 18 2009 	Excellent Guest Service Commitment	We booked an extended stay at the Moderne despite apprehensions due to some reviews read on TripAdvisor. The general manager went out of his way to work with us to ensure we would have a good stay and even pulled together information for us on tickets, tours, and places that serve Thanksgiving dinner. Our plans changed such that we had to cancel our reservation and voila-we received a personal note from the general manager wishing us well and inviting us to stop by to get the information he had gathered even though we would not be guests at his hotel this time around. In this day and age of folks moving too quickly and pushing past each other without a sideways glance, the value of good customer service and absolute professional courtesy is especially notable. The Moderne may or may not have some issues to resolve as far as the physical structure but sets a standard as far as guest relations and customer service. We will plan to stay at the Moderne for our next visit to NYC, as we know that even if something isn't quite right, management will make a sincere effort to make sure that it is.	
Nov 11 2009 	Great Yankee moment	Me and my wife recently stayed at the Moderne Hotel and we were highly pleased with the location and the hotel itself. We happened to be in town for the Yankee parade and we were pleased with the assistance we got from the staff on what places to go and see in New York City	
Nov 9 2009 	Unkempt Unclean Unfriendly	In the last 4 months, I have traveled to NYC weekly on business, staying in hotels all over Manhattan. This is my FIRST NEGATIVE review. The front desk staff was lazy, lifeless, and unhelpful. The manager was rude, disagreeable, and even less helpful. And the room - the room was unkempt, unclean, and well-worn. Would NEVER recommend this hotel to anyone.	
Nov 6 2009 	Cracking wee Hotel location second to none	Having read a few negative reviews of the Moderne, I have to say I was slightly apprehensive as my stay there was to celebrate my honeymoon with my new wife.I needn't have worried. This is an excellent small hotel. Its position is probably is best point, strolling distance from Central Park, Broadway &amp; Times Square.As some previous reviews have mentioned the rooms aren't huge, however, as we were in NYC and, therefore, hardly in our rooms it wasn't really an issue. That said, the room was spotless and we liked the funky decor. One thing I would add is that if you're looking for a Hotel with a view this probably isn't the best choice, but again, who comes to NYC to peer out a Hotel Room window?I found the staff very friendly and helpful and wouldn't hesitate to return here in the future.	
Oct 20 2009 	Small Efficient Hotel - Great Location - Met all our Needs	The Moderne is in a great location - just off Broadway at 55th - in between Times Square and Central Park and close to the River as well. We were there over the 4th of July weekend and had an amazing time. We had a nice room, small, but nicely decorated with Andy Warhol theme, Marilyn Monroe picture, silver leather headboard. Front desk staff were competent, although they could lighten up a bit and have some more enthusiasm - but they met our needs and arranged for a car for us back to the airport and even had someone take our luggage to our room for us. It's not poshy and doesn't have a lot of amenities (there is a library and internet cafe, and coffee bar), but it's in a great spot along a road that has a &quot;no honking&quot; by-law - which was excellent.	
Oct 15 2009 	Great location	I stayed here with my husband and 3 teenage children. We had some problems with our rooms when checking in as they had put my 3 children in a room with only one Queen size bed, but we sorted it out and the rest of the stay went well. Location superb, room size very good for being in a city. We've had smaller rooms in a 4 star hotel in Paris. Staff were helpful and friendly. For value for money I don't know how you could beat this. Just don't expect a view (unless you like brick walls)	
Oct 10 2009 	Great location - good value	Great location - close to Times Square - but far away not to be too noisy. Staff was courteous and rooms were simple and clean. Close to subway stops. Not spectacular, but a solid place to stay for the money.	
Oct 8 2009 	Loved this little retro hotel!!!!	We loved the Moderne! It was in the perfect location for our 1st trip to NYC! We could walk to Times Square, Central Park, and the subway was very close and right next to a Starbucks, which I always enjoy! The style of the Moderne is definitely retro, and it's not brand new, but it is cute and clean and the staff would help with whatever you need! The only bad thing was that the rooms were small, but for two people it wasn't bad and there was a closet we could put our bags into to help with the whole roominess situation! The price was great compared to other hotels in the same area! We were going to get a private room at a hostel, but this was cheaper! I would definitely recommend the Moderne!	
Oct 2 2009 	A bedroom is just a room to sleep in...	I recently stayed at the Moderne for what was supposed to be 5nights with my boyfriend. Upon arrival at the hotel we were told a pipe had burst in the room we were booked into and they had booked us into their sister hotel &quot;the Bentley&quot; for the night. We were less than impressed to say the least as we had booked this hotel for location alone and the sister hotel was waay across town. After spending an hour in a cab getting to the Bentley (all covered by the Moderne Hotel), I must say this hotel is gorgeous but nowhere near the location of the Moderne. One good thing to come of it all though, was that we were upgraded to a Junior Suite.Had this been the only problem with the hotel, I wouldve been extremely impressed with it, however there was something every day, the toilet blocked, (however maintanence did fix the problem within 10mins), our room was not serviced two days in a row, despite the &quot;please make up room sign&quot; being taken off our door and put back in the room, we tried, this could not have just been pushed under the door, someone had to physically open the door, which didnt lock on occasions.After receiving free wireless for 2days we all of a sudden had to pay for it. Couldve lived with this, however when it didnt work we contacted the front desk only to be given a number to call to fix. Poor customer service in my opinion.However despite all this, I would stay there again and I would recommend it based on location alone. Just off broadway and a short walk to the heart of time square, you could not fault it for this.	
Sep 21 2009 	You get what you pay for	I recently stayed at the Hotel Moderne and the old saying is true - you get what you pay for. The front door handle fell off while I was there, wifi was non-existent (contrary to what was promised) wake up calls were missed, doors squeeked like a haunted house and housekeeping put a plastic lid back on a used water glass with water still in it - yuck - made you wonder about the overall hygiene of the place. The rooms are like a cave with no natural light. The hotel is centrally located which is the only positive thing I can say about it.	
