	good for leisure great location at a reasonable price	Room was clean and pretty big for NYC standards, TV, hair dryer, additional blankets and all first necessities were available. Only negative note: we saw several reception staff, friendly and not, but generally not prepared to give information of any sort. Overall if your purpose is tourism and your main need is a reasonable but confy room, then you're in the right place.	
Nov 19 2009 	Great place but no internet	I got a room from hotwire and got a great deal. It's very convenient with a very large room. The only complaint I have is that the room has no internet connection which is inconvenient, and it is still a three star hotel! I think it would not be a good place to stay if you are there on business. In fact my husband had to go to the lobby to get wireless connection since he had to work.	
Nov 17 2009 	Great Location huge rooms great value!	This is one of the best hotels I have ever stayed in! The room was huge, with two queen size beds (although we paid for two twin beds), a big couch, two tables, full kitchen, and big bathroom. This room was bigger than my apartment in my hometown. Great value for the money. Very clean, quiet, and it had even free internet and tens of utensils in there.	
Nov 10 2009 	Convenient location	The hotel is at a convenient location from Grand Central and 42st Street. The rooms are big and we had a view on the EMpire State. Most of the staff is friendly. On the bad sides: poor phonic insulation (and yes drivers use their horn a lot in NY) and on the last day I found a bottle cap which was not ours under the bed so I wonder about the overall cleaning effort there.	
Oct 17 2009 	No Heat	My wife and I have stayed here many times, and mostly love it. But they dropped the ball big time this week. There was no heat in the entire hotel for the three nights we were there, and the temperatures outside reached the 30's. We froze. Another guest told me that the lock on his door was broken and the hotel did not fix it until the next morning; they had all there their in the room, but they had to stay in another room. Inexcusable. Great place, if there are no problems.	
Oct 12 2009 	Great location terrific value kitchens real bonus.	Three blocks from Grand Central Station, less than 10 minute walk to Times Square, made the location very central. The suites were very clean and spacious. The kitchens were great, we saved some money from dining out. Would definetly recommend.	
Oct 8 2009 	Clean hotel in great area.	We just spent 4 nights in Murray Hill East Hotel. Loved the location: close to lots of restaurants, transportation, shopping. Hotel is clean. Nice furnishings. Staff is friendly and helpful. On the downside: the bed was uncomfortable, the bathroom door would not stay closed, lots of street noise at night, wireless internet only in the lobby,	
Oct 8 2009 	Great  spacious and reasonable price	Not the most savvy Hotel in NY but you cant beat price and location. Its in a neoighborhood like setting and quiet. Our room had a kitchenette which is perfect for small children that constantly want something to snack on. I would recommend this hotel!	
Oct 6 2009 	Great Hotel	This was a really nice hotel, large room with kitchenette liked the coffee maker, close to everything in Manhattan. Great Restruants on 3rd Ave. Would stay here again. The staff was great.	
Oct 1 2009 	Great location Great price!	For the amount that we paid for this hotel, I was actually shocked to see what we got.We had our own kitchen, with a fridge, stove, microwave and a dishwasher (I don't even have a dishwasher at home!). We had a king size bed, as well as a pull out couch. The couch wasn't that comfortable, but what can you expect from a pull out couch.The staff was very friendly and helpful when we needed directions to places.Grand Central Station was right around the corner. The Empire State Building was about a 15-20 minute walk from the hotel. Times Square was about the same distance.The only thing I would change is offering WIFI in the whole hotel, rather than just the front lobby.I would defiantly stay here again when I get the chance to go back to NYC.	
Sep 29 2009 	Great hotel close to all NY attractions	This hote is fabulous. I stayed here 7 nights in late September 09. The kitchen was great, and featured a small fridge, oven and cook top, as well as utensils. The room was massive, and had a lounge area, separate bedroom and bathroom. The hotel was clean and the service staff were very efficient. There is a laundry room, although I didn't use it. The gym was small but there was only ever 1 other person using it whilst I was there so there were no problems. It had 2 treadmills, a weights machine, bike, stepper and hand weights. Wireless internet is available in the lobby, although quite a few times I had trouble connecting to it. I would absolutely stay at this hotel again and reccommend it to any travellers wanting to visit Manhattan. Only 10 minutes walk to Times Square and 5 minutes to Grand Central Station. Loved it!	
Jul 19 2009 	Great location	My wife and I spent a week here about two years ago. The location of the hotel is really great, and you can easily walk to many Manhattan attractoions from here. It's also close to Grand Central.The hotel itself was a bit worn, but hey, who travels to NY to stay in the hotel room? Not me! The room was big and had a small kitchen, so I have to say I'm very pleased with my stay here.	
Jul 7 2009 	Great location good room only minor problems	I stayed in the murray hill for 5 nights with my boyfriend. For non US citizens the next information is quiet important. When we arrived we had to immediately pay the room. All the debit cards that we had didn’t work although we later used then to pay for things in supermarkets and stores without problems, as long as there was a system were one could introduce the pin of the card. So if you do not have a credit card (which was your case), take the money to pay for the hotel with you. We had to go down the street to withdraw money to pay for the hotel, and if we had known we would have brought it from home (because it is cheaper and there is a limit to the amount of money you can withdraw, at least in Portugal, and we could only pay for the whole thing in money because there were two of us with to different cards to withdraw money).When we got there we were told that our room had been upgrade. We had booked the cheapest room for two people and I’m not really sure what we were given because the bed was only a double bed. The room was huge and with everything one might need. The kitchenette had cutlery, plates, cups, frying pan, a cutting board… basically everything you need to cook. The cleaning of the room in the morning included the washing of the dishes which was very nice. The room was fairly clean without any major thing to report. We stayed in the 8th floor and the room was very quiet and we almost couldn’t hear any outside noise. The air conditioner seemed to work fine but we didn’t turn it on because the room was always cool even thought it was extremely hot outside. For me, the only problem in the room was the mattress. Incredibly soft and bumpy. Not very comfortable.The location of the hotel was great. We were just 5-10 min away from the grand central station and from there we could take the subway to anywhere in the city. Near the hotel there is a supermarket with everything you need as well as some bars. To go out at night it was not the best place, but again the subway is just 10 min away.Overall, we were very happy with the hotel that we chose to stay in New York and I definitely recommend it to anyone who is going to this city on a low budget and that doesn’t want/need a fancy hotel.	
Jun 27 2009 	Cheap and covenient	Got this hotel through Hotwire for $103 a night. Not bad for a 5 night stay. The room was huge compared to rooms I've had before. Stayed at the Renaissance and Hotel Sofitel in New York, where the rooms where have the size and double and triple the prices, respectively. I wanted to go cheap so that I could spend on sight seeing, shopping, and eating. There's a recession this year, and I don't want to further myself into debt!What I didn't like about the rooms were that the carpet, couches, and bedspread were very dated and dark. The darker the better to hide the grime, I suppose. However, with a one year old and returning to the hotel after all the walking, we were too tired to care about the cleanliness factor. The great thing is that there is a kitchen, but no dish detergent. I had brought my own dish scrubbing pads to wash my baby's bottles and spoons, but I was annoyed that there was no Palmolive in sight. There was also no microwave. We never used the stove to cook, but there are pots and pans. I really needed the fridge for the baby's milk. The bathroom was kept clean. However, my husband noticed that when he ripped open a sugar packet, that the maid did not throw it away, but rather put it back with the other sugar packets. So she wasn't that attentive. The locale is great because it is 5 minutes from Grand Central station, where we hopped the Subway. We even walked in the rain from Times Square to the hotel and from the hotel to MoMA, about 20-30 minutes because we were tired of using the Subway. So a few spots are a comfortable distance to the hotel. There was also a CVS that I would send my husband to for Bengay for my aching knees or diapers a couple of blocks away. Great Cuban eatery close by at $20 for 2 people. The best thing about this hotel was the location. It wasn't a romantic or glamorous spot, but good for families with children or singles with friends who need a cheap place in the middle of the city to stay. Very good value for the price.	
Jun 15 2009 	PERFECT LOCATION	First trip with the family (5) to New York City. Stayed at the Murray Hill East Suites Hotel as a recommendation from some good friends. Rooms are large and we had a kitchenette which was helpful for economical morning breakfasts. This was a former apartment building so the rooms are larger than your average hotel. Yes as in previous reports the rooms are dated but they were spotless. Housekeeping brought extra towels without even being asked. Excellent and safe location. Times square and grand central station are easy walking distance. Grocery store D'agostino Supermarkets Inc is about 3 blocks away located on 3rd. Walgreens is close as well. Try Daniel’s Bagels located at 569 3rd Ave (2 blocks away). These Bagels are the real deal! Ray in the Hotel office was great. Extremely patient and helpful with suggestions. No problems with room, check in,rate, billing etc! Would stay again no problem.	
May 12 2009 	Decent hotel good area but management issues	I have stayed at this apartment hotel in NYC for over 20 yrs about 5 wks per year. It is in a good neighborhood with all the conveniences....drycleaners, nail salons, shoe repairs, grocery, restaurants and delis. It is a little worn around the edges so they are finally beginning to rennovate. They have studios, 1 bedrooms and a couple 2 bedrooms. Spacious and good for families. Full kitchens and pretty clean though a little worn. You would walk by it on the street and believe it was just another apartment bldg. However the manager there is the WORST at confirming rates, taking care of problems and communicating in general. You can call 10 times and even though he knows we are valued clients he will not return calls, confirm reservations or rates. In all my years in business I have never seen a hotel behave like this. If I were you I would book over the internet and not go through him or the reservations there as I feel that is dicey. After recently being overcharged by $90 he is refusing to credit me or return my calls. That is just bad behavior and bad business. The ppl at the front desk are friendly but behind them is just bad behavior and management.	
May 7 2009 	Very Nearly Perfect!	The first thing I said when we'd entered our suite and set down our bags was &quot;I could LIVE here!&quot; We got it for a mere $132 a night on Priceline, and we had no idea it was going to be a beautiful L-shaped studio suite with a fully-equipped kitchenette, a living area with a flat screen TV, a dining table, 3 closets, a comfy queen bed, full en suite bath, home-style lighting fixtures and Japanese art that matched the bed spread. We couldn't believe it -- an oven, in our hotel room! We're budget travelers, and we were blown away by how huge and well-appointed it was. Even the door keys were real metal keys. Turning a former apartment building into a hotel was a great idea. It was our home sweet home for two brief nights, and I was sad to leave!The staff was wonderful and very responsive. At one point our toilet got stopped up, and housekeeping responded immediately and fixed the problem. On our first night, some frat boys in a room down the hall sounded like they were getting violent, and all I had to do was talk to the front desk clerk and we never heard a peep from the boys again. Housekeeping also kept our room nice and clean, with plenty of fresh towels. We didn't get to use the free gym or laundry room, but they’re there.The Murray Hill neighborhood is delightful; low-key but cheerfully lively, with restaurants to fit every budget, and lots of fun shops. I saw many people with dogs – this is a true residential neighborhood that probably sees less tourism that more famous New York neighborhoods. Yet it's close to Grand Central, the subway and bus service. We suspected there might be a boarding kennel nearby, having heard a group of dogs barking a few times at reasonable hours. Totally not a problem for us.Only one thing wasn't perfect; the rooms don't have wifi. This wouldn't be a problem for many travelers, but geeks like us need our connectivity, as do most business travelers. Wifi in the lobby wasn't really a solution. We jerry-rigged wired laptop connectivity in our room through my partner's PDA, but not everybody is able to do that. We would have gladly paid by the day for wifi, and I really do hope they’re working on getting it into the rooms. It would make an extraordinary hotel experience perfect.Other than that, we couldn't have asked for a lovelier stay. The only problem now is that we've been spoiled! We can only afford hotels through discounters and bidding sites, so our only hope is that we get lucky and land ourselves at The Murray Hill East through Priceline or Hotwire again. I actually miss it!	
May 5 2009 	Good hotel great location!	My husband and I were up in NYC for the Five Boro Bike tour. Room was big enough for both of our bikes. Had a nice little kitchette. Walls are alittle thin, so we could here our neighbors arguing, but other than that a good hotel. NIce staff, allowed us to keep our luggage checked until we got back from the bike tour. Parking was $25 for 24 hours at a nearby garage. The location is really what makes this hotel great. Two blocks from Grand Central, where you can get a subway to anywhere else in the city. A quieter neighborhood than near Times Square. We would definitely stay here again.	
May 2 2009 	Ok Ok	We booked our 3 nights stay based on the discounted price for Manhattan. Is near to grand central. Room was Ok as per new york's standards but had a full kitchenette. Staff didnt have our room ready for 4 hours even after us calling from the airport and they confirming it was ready. Door man was a real rude fellow probably frustrated by having to work on the 1st of Jan. The housemaid's trolley was parked next to elevator on the narrow passage leading to our room for the entire duration of our 3 night stay. Receptionist wasnt a real help in booking our cab for our return to JFK.	
