	Good hotel but a bit far out for sightseeing with a toddler	My husband and 2 year old son stayed here for three nights over the Thanksgiving weekend. We got an excellent rate through priceline and the front desk staff upgraded us to a superior room on the 33rd floor. We had a big room with fantastic view of the hudson and jersey city. There was a small fridge in the room to put milk and yogurt for my son. The hotel is a standard marriot and the rooms are rather large for a Manhattan hotel.The 85 west restaurant has a decent menu but a bit pricy ($20 for a burger). We had breakfast from starbucks one day and the other mornings went to a diner a block away (Georges) which is excellent. I can't compalin about the hotel except I would not stay downtown again for sightseeing or shopping. Also not that many restaurants around.The hotel is one block from ground zero and in general there is a lot of construction in the area with sidewalks blocked off and traffic diverted. The subway stations are very close for getting into town. It is a 20 minute ride to midtown and 25-30 to uptown/central park. All in all, a great hotel but not the most convenient location for midtown sights, especially with a child and a stroller. We also prefer to come back to the hotel for naps and that was inconvenient from midtown as taxi ride is about $30. On the plus side, the ferry for liberty and ellis islands is 10 minutes walk from the hotel.	
Nov 18 2009 	Small issue spoils a potentially better hotel	Stayed here for a wedding over the weekend so immediate area was pretty quiet and dull. Great location for business travelers though - being only a short stroll to Wall Street and all the subway connections you need. But its the little things that did not do credit to the hotel. I needed to urgently print out a 4 page document on the Sunday I was there. The business center was closed and the front desk staff uncooperative to put it mildly. For a business hotel, this is unacceptable. Only after getting irritated, did the concierge agree to have me email the document to her and then print it for me. You certainly can't rely on the front desk to help with a business request. Otherwise, the rooms were better than average (with great flat screen TV), the lobby pleasant although beware of huge construction next door at the WTC site. Starbucks in the hotel was wonderful and the brunch/breakfast at Roy's restaurant in the hotel was absolutely excellent and recommended. Unfortunately, Internet is not free and this is such a disappointment for a business hotel. For those wanting Wall Street, its pretty good. Just make sure the business center is open otherwise you might find little help from anyone. Pity about that.	
Nov 3 2009 	Great upgrade	Apparently they just recently renovated the hotel and it shows. Staff was friendly and courteous.	
Oct 28 2009 	Great Hotel w/lots of construction in the vicinity	My husband and I stayed at this hotel for one night. The room was very nice but small (as all are in NYC). We were on the 18th floor on the back of the building with no view. But this didn't matter since we got the hotel through Priceline for an excellent deal. There were many subway lines nearby (4/5/1/r/w) that can take you anywhere quicker than a cab. The only thing we didn't like was the amount of construction going on in the area. Of course there is going to be construction around the WTC site, but it seemed liked everything else around the building was scaffolded and the sidewalks were detoured. However, our room was completely quiet! There was a business center on the 2nd floor that let you print out your airline boarding passes for free.	
Oct 26 2009 	Gorgeous hotel wonderful staff good view of the Hudson River	I loved this hotel! The rooms were perfect, modern, clean, roomy and the windows were huge. This hotel had the best hotel gym I've ever seen. The pool was under construction but who wants to swim in this time of year? I also believe it's indoor. The staff was really lovely and helpful when it came to asking what's in the area. Also, the resturant that is in the hotel seems to be very popular because it was really packed throughout the entire day. I'd stay here again because it's near everything if you are interested in staying in Downtown.	
Oct 12 2009 	Breathtaking Location	With a breathtaking location only a block or two away from Ground Zero and the Hudson River in downtown Manhattan, we found the Marriott Downtown clean, the staff helpful and pleasant, and the overall quality of the hotel excellent. For example, on the second day of our stay while running late for the wedding we were in town for, we left our room keys back in the room while frantically trying to take in as many sights as we could. The front desk was friendly and courteous, quickly providing a duplicate with a smile and a, “no problem.” We found the rooms exceptionally clean and provided every possible convenience including a spacious refrigerator, flat screen HD television, iron, and safe. The views from the room are classic New York too. Try taking the elevator to the 33rd floor for a birds-eye view of the construction taking place at Ground Zero. Nestled within the bustling financial district, this is a typical Manhattan building: a narrow high rise. We found the only drawbacks minor. For example, a definite inconvenience to a high rise hotel was the wait for an elevator which could be a little long, especially during peak hours such as checkout, although it normally wasn’t. Don’t expect any extras that you might normally expect at other hotels such as complimentary newspaper, coffee, or a centrally located computer station to check email. Despite these very minor drawbacks, the location and convenience make the Marriott Downtown a gem.	
Oct 9 2009 	Best downtown hotel by far	This is the 4th time at this hotel and wouldnt stay any other place now. The Marriott for me is in the best location you could ask for. It takes 5mins to walk to Ground Zero, Century 21 and Battery Park.The hotel itself has large rooms and excellent views of the Statue of Liberty, staff are very pleasant and helpful. We stayed here for 3 nights, checked in Sep 25th.I love this hotel mainly because its within walking distance to Ground Zero, Century 21 (NYC best kept secret) if you dont know what I'm talking about, its a department store that has every designer item reduced including clothes, perfume, bedding and shoes. The first afternoon we got there I spent 3 hours in it and still didnt get round everything!!You can also walk or get the subway to Canal Street (fake and real designer heaven) just make sure you follow the chinese bag people and dont be afraid to haggle and negotiate prices! Canal Street never disappoints with fake/real (you never know) Tiffany, Coach and Louis Vitton bargains. Some bags still have the original price tickets on them.You can also catch the subway to Times Square and 5th Avenue easily, we buy a daily sub ticket which now costs $8.50 a day but well worth it considering it'll take you all over Manhattan all day. Our favourite deli is also just round the corner from the Marriott. Cordatos's is a working mans deli but to be honest its the best food I've tasted. They make everything fresh and anything you fancy is on the menu. They have 4 tables of 4 that you can sit at and is always busy, they have lunch and dinner specials. Its not the most elegant of places but you wont find a cheaper and best NYC meal anywhere else nearby. Its more than value for money.Downtown NYC has more than came on since the last time I was there 4 years ago. There are lots of new bars and restaurants, new hotels and lots of memorial centre's that you can visit, it's very busy now. You still cant see what's happening with Ground Zero as its still marked off but you can peek through. Still just a gaping whole but construction work is always on-going. It was good to see downtown NYC back on its feet!!Stay at this hotel everytime if you want bargains and the best sightseeing, Times Sq etc is overated, nothing but tac shops and yellow cabs! I say downtown everytime!	
Oct 9 2009 	Great Location Great Service Great Hotel	Stayed here for a long sightseeing weekend, the location is great I would reccomend the downtown area, although its obviously being rebuild still. Ground Zero is just round the corner with the tours and visitors centre. Statue of Liberty and ellis island ferry right on your doorstep. The service is great the hotel has several places to eat although we never used them, plenty of other places near.Check in was quick simple and easy and the staff were welcoming and helpful.The room was large, the beds were very comfy, the bathroom was well layed out.Hotel has e-check for most major airlines so you can do that before leaving for the airport, nice bonus.	
Oct 9 2009 	Not the best accommodations it worked for me	I travelled to downtown NY on a business trip and the Marriot downtown location was perfect. It's right across from where I had to be (world financial center). The only downfall about the location is that around that area tons of construction was going on then. Not just the world trade center site but everywhere. When I first went into my room, it looked clean but after checking the bathroom i had second thoughts. It looks like someone just replaced all the bathroom toiletries and didn't bother cleaning anything up. I called the front desk about getting another room but they had none due to some convention or something. So I had to make due with what I had.I can't say much about the other areas of the hotel as I didn't use the hotel amenities much. But everything seemed to be like a typical Marriott hotel.After I came home from my trip, someone called me about my issue with the hotel room cleanliness after I filled out their review before my checkout . I told her what happened and she awarded me points for the issue and apologized. So I thought that was great service. It made up for the small blemish that they had on the room.It's not the BEST accommodations in the area but it worked for me in terms of location, price, and follow-up service.	
Oct 4 2009 	5 Star hotel at 3 star prices	Visited NYC Four times this is the best Hotel we have stopped in ! Book online to get best price , Rooms are really nice and clean we booked after reading review on Trip Advisor .Down side is your a taxi ride from Time Square Etc.	
Sep 22 2009	Wonderful Wedding Weekend	We booked a block of rooms for our daughter's wedding that was held at Battery Gardens.From the time we checked in, till the end of our stay , the staff at the Marriott treated all of us royally. Our rooms were very spacious, with beautiful views of lower Manhattan. Kerry, from the sales department and her entire staff helped make our Wedding Weekend a memorable occasion.	
