	It's a place to sleep between activities	•Clean•Good Location for parade &amp; museum, local food 24x7•Close enough to Subway lines•Good mattress•Desk helpful and responsive•Toilet so close to walls on both sides, that …&lt;censored&gt;… (couldn’t use)•Wind loudly whistling through the closed/locked window one night•No window screen to allow room to cool down w/o risking bird entry•Bed too short – need queen sizes, but room too small•Nobody at desk for a time one morning	
Nov 26 2009 	Nice quiet and very good located	The Hotel is located in a very nice and also quiet district. By foot you will take like 5 minutes to the Central Park and maybe 10-15 minutes to the Time Square. Of course you also have a Subway Station close to the Hotel. The Hotel was clean and the employees were very friendly and helpful! Our private bathroom was small but clean. The only negativ aspect was in our first night, because we had a hotel room with a &quot;connecting door&quot; and we could hear every singel word from our neighbours which had a baby. But it was no problem to get an other (quiet) room for the rest of our stay!	
Nov 17 2009 	Park 79 is an excellent place to stay in NYC	We go to NYC once a year and after several years have stayed in many hotels, everything from the Paramount to the Waldorf. Park 79 was a great place for us because our room was large (6th floor), quiet, handy to the upper Westside, great service, and an easy hotel to get in and out of. It is all a matter of taste, but I like hotels without small lobbies. Granted it had a small bathroom but the flat dresser and desk spaces made up for that. Best of all, nothing went wrong. No lack of hot water (Waldorf) lack of space (Paramount and Muse) not a chain (Hilton and Doubletree) and no smoke odors (Wellington). It is an old building, formerly a house, so if your style is sleek and modern, you will not like it.Best of all, the price was reasonable, and the neighborhood was great. Transportation is easy.	
Nov 12 2009	Tiny tidy nothing marvellous!	I stayed at the Park 79 as it seemed very nice on the write up and photos. A bit misleading but the staff and the tidiness and wonderful little bathroom made up for it.As a first visit to NYC it was hard to book a hotel so far away on the internet, but all was exactly right when i arrived and check in was a breeze. The rooms were miniature compared to what i've stayed in here in South Africa but as i got to seeing, they're actually not too bad for NYC standard. The only problem was that they're paper thin and if i understood spanish i could have had a great conversation through the wall to the next room. I really enjoyed the location as it was a couple of blocks to the subway and close to Broadway where you can walk for miles with shopping all the way down to the Statue of Liberty...The bathroom was nicely done and always cleaned very well. The bed was comfortable. The internet access brilliant. The check out guy was very helpful and offered to keep our luggage for us until our cab arrived to pick us up, which afforded us a couple more hours to do last minute shopping.Overall pretty good.	
Nov 5 2009 	You get what you pay for...	Good location, if you're an Upper West Side person. (Personally, I prefer Greenwich Village, but the Larchmont was sold out, and the Washington Square has gone up in price.) So...the first room we were put in was not only claustrophobically cramped, it was also dirty. I have stayed all over the world, in some sketchy places, and I'm no princess. I have never before complained about a room's cleanliness, Sorry, but when I touch the floor of the shower and my hand gets dirty, I am not happy.BUT...at least they were accommodating. They immediately moved us to a better room. The beds are comfortable. The woman at the desk in the morning is a doll.The guy at the desk at night is strange.Easy to get to from Subway.Wonderfully close to Central Park and Zabars.From the outside (and from the photos on the website), the place looks a lot more charming than it is. Nevertheless...Would I stay there again, even after all my beeyotching? I would. It's NYC, and it's a good deal. But I'd be sure to request a room on one of the lower floors (the place seems to be less well-cared for on the higher floors), and I will definitely check the room carefully before unpacking my bags!	
Oct 25 2009 	Great neighborhood good value	We stayed a weekend in high season last summer and were very happy. Sure it was a small room, tiny bathroom but it was very clean. The location is ideal, close to Central Park and subway stations. Service was what you would expect from a hotel in this price category.Would recommend it if you're not planning on spending much more than the sleeping hours in the room.	
Oct 25 2009 	very good and very reasonable	i have just come back from NY, this was my first visit, the park 79 is very well priced and in an excellent location, (it is mad busy in the centre of Manhatten) there are lots of good priced eateries walking distance and the park is just two minutes away, as is the subway, which is very cheap. The room although quite small, was spotless and cleaned every day, fresh towels daily and the staff were really helpful.I would stay at this hotel again.	
Sep 25 2009 	Very good hotel for NYC	I only stayed two nights in NYC and this hotel was perfect for me. Most other hotels were priced around $300 and up for the time frame I was there. Park79 was only $129 plus tax for the budget room. The location could not have been better, I went to the Lincoln Center twice, walked both times. Many good places to eat and shop. The room was small (keep in mind, New York City) but it was very clean and quiet. The bed was very comfy and the a/c was great. Being a &quot;budget room&quot; it had a shared bathroom located a few steps away in the hall. (not a big deal to the seasoned traveler) It was only sheared with one other room and this was never a problem. The bath room was a nice size and kept clean. The front desk staff was very helpful and when I asked about cab fare back to EWR they told me to hire a car instead of a cab. A taxi would be around $40 to $60, and the cab has a running meter and a livered car for hire has a set price no matter what. So I got a private town car to the airport for $40 plus tip. I would be happy to stay at Park79 again.	
Sep 22 2009 	Misleading information and Overpriced	I had heard good reviews for this hotel (inexpensive, clean, good location) so I made a reservation for 79 Hotel over the phone. I asked for a standard budget room for two nights. They told me the rate, and I asked if that was the total price, with tax, and the person on the phone said yes. I told them I would give them my email address for confirmation, but the person on the phone said it wasn't necessary as the confirmation number was enough. My boyfriend and I got to the hotel after an 8 hour drive and we were told that the price we had to pay was more than double what I was initially told. The person at the reception desk was very unwilling to help clear up the misunderstanding and told us we could leave if we didn't want to pay. We ended up staying that night in an overpriced tiny room which wasn't even the room I had booked. The location was great, the room was clean, but our weekend in NYC was cut short due to misleading information both on the website and over the phone and unhelpful staff. Next time I book a hotel over the phone I'll be sure to demand email confirmation.	
Sep 21 2009 	Good thing	Better value for money many other hotels. It is newly restaured, modern, clean and there is tea and coffee in the morning in the hall for free. Very friendly and helpfull stuff.	
Aug 26 2009 	Great Stay In NYC!	Park 79 is our go-to hotel in NYC almost every visit! You cannot beat the location on the upper west side, and the price is fantastic. The staff is always willing to hold our bags before check-in and after check-out while we spend more time in NYC. This trip was particularly satisfying as we were upgraded for free from a private room with a shared bathroom to a room with a private bath. After reading some of the reviews here about Park 79, I would say most of the complaints are from people who are unfamiliar with NYC. NYC is a down and dirty kind of city; no fluff, nothing is hidden, which is exactly what draws most people to it. If you're not the kind of person who can deal with a smaller room in a boutique hotel which may require sharing a bathroom with one other guest room, I recommend you prepare to pay for it. In NYC, for this price, you'll be hard-pressed to find better!	
