	Everything was wonderful except the size of the rooms.	If you are by yourself or staying with just one other person, this hotel is a great choice. My husband and I both said that we would absolutely stay here again..... as long as we were by ourselves. We stayed here for 2 nights over Thanksgiving with our 1 year old and 2 year old and the room was WAY too small for the 4 of us. The room we stayed in (611) was not much bigger than the Queen size bed that was in it. However, room size aside, the hotel was great. It is located very close to the Subway on the 6 line. The staff was very friendly and helpful. The lobby was nicely decorated with leather couches and fresh flowers and the attached restaraunt is very nice. They served a great breakfast with croissants, bagels, juice, yogurt, fruit, etc. And for the price, it was FABULOUS! We found a deal on the internet where we only paid $139/night. However, NYC kills you on taxes: $12.34/night State tax with $8.17/night city tax and a $3.50/night Occupancy tax.	
Nov 25 2009	Lovely boutique hotel in great location	We stayed in a room with 2 double beds. The rooms were quite small but there were just 2 of us, so our luggage fit. We had an interior room so our window faced a brick wall but it was very quiet. The beds were pretty comfortable but had great pillows. We were happy with the cleanliness of the room. The outside of the hotel is very cute with twinkle lights &amp; small shrubs around the entrance of the lounge. The staff was very friendly - there was always a doorman to open the door for us. :) The continental breakfast was excellent: pastries, muffins, cheeses &amp; meats, hard boiled eggs, bagels, toast, english muffins, juices, coffee, all served in the spacious Lounge. Our first night we had a drink in the Lounge &amp; while it was pretty expensive, the atmosphere was lovely as we sat on a couch next to the fireplace. The location of the hotel was fabulous! The subway was only a half block away &amp; very safe to walk around in. We would definitely stay here again in the future.	
Nov 18 2009	Park South is fine.	We stayed in Park south for 6 nights from Nov 6 2009. The hotel was absolutely fine for what we wanted. The room and entire hotel was clean and the service was good. In an ideal world, I would have liked the room to have been a bit larger and to have paid a bit less. However, the bottom line is that the Park South delivered.	
Nov 18 2009 	nightmare	This hotel choice was a disaster! I came home covered in bites. Additionally, the front desk staff was rude, abrupt and generally unpleasant. It was also overpriced. A garbage truck was outside the front of the hotel from 3:30 - 5 AM condensing trash and was so loud, I could not sleep. When I contacted the manager of the Hotel about the bed bug issue and my general displeasure, he did not reply what so ever. Stay away.	
Nov 12 2009 	Lovely hotel would stay here again - but only at the right price	I stayed in the Park South Hotel for 3 nights in March 2009. I booked this hotel after searching hours for a hotel room that was reasonably priced and didn't look like a college dorm room - you wouldn't believe how many of those are in New York! I chose the Queen Superior room - the website I booked the hotel on had an offer on this type of room for €380 for 3 nights, in hindsight had it been full whack I may have continued my search.I can't say I was disappointed with the hotel, the room was lovely, very clean with a comfortable double bed and nicely decorated. It's small but I was travelling alone so I had plenty of room, had I been with my partner it may have been a little cramped - and this room was supposed to be bigger than the Standard so God only knows how small those rooms were! The location was absolutely fine - it wasn't too far from Gramercy or Chelsea, and the hotel was right beside a subway which is great when you are lugging back a ton of bags from Macys to your hotel room. The breakfast was lovely, with a selection of eggs, cold meats, toast, cereals, juices and pastries to choose from and 2 free newspapers delivered to my room each morning was a plus. My room did not face out onto the street so I didn't have a problem with the noise, and slept soundly every night. Contrary to other reviews, I felt it was a very quiet hotel! I also found the staff to be really friendly, and helpful with directions too. I did have a couple of minor problems. Upon arrival I discovered that I didn't have a mini bar, just a fridge - after well over an hour in a shuttle bus I was desperate for a bottle of water - and the bar wasn't open until the evening, so I had to go and buy a few bottles in a nearby mart. It wasn't a big deal but it was an grievance at the time as I wasn't feeling well on arrival. The fridge then froze the water in the bottles. Another issue that bothered me with the hotel is that they don't book shuttles for you, they recommend a particular service and supply you with a phone number but as I had been used to this being done for me in other hotels it was slightly annoying. And unless you are flush, don't order room service. A fish cake with a glass of wine set me back $30!But these were only minor complaints, it was a nice hotel and one I would recommend to travellers. if I got the right price again I would return.	
Oct 20 2009 	Okay but I'll try something else next time	Stayed three nights with husband and two teenage daughters. On the plus side: really good proximity to Village, Union Square, lower Fifth Ave shopping, Upper East Side for museums, and great to be half a block from subway station and Duane Reade. The breakfast was just fine. Really liked the Indian restaurant one door east of hotel. Did not eat at Black Duck.On the minus side: room on second floor facing street was large but very noisy from traffic and pedestrians. Buy ear plugs if you get this room! (They helped a lot.) No coffee maker in our room. A bit more dingy overall (hallways and lobby) than I had expected; sheets not too high grade, mattress okay, pillows very good. Not enough washcloths for the four of us in the room! Not sure if I'd stay here again--though if I got a very good rate I would.	
Oct 11 2009 	Great place to stay and explore	Good size room, bigger than average hotel room in NYC but don't expect suburb suite big kind of room. It's adequate for two people to feel comfortable enough with private bathroom and very very clean which is crucial. The most important thing is location, smack right in front of subway, within walking distance to almost anything, plenty of good restaurants if you don't care for the Black Duck next door adjacent to hotel lobby, theater three blocks away(Loew 15 Kips Bay), shopping area is five blocks down on broadway or six blocks west on 34. I like to spend my evening in Madison Square at Shake Shack. If you're not planning to spend your time in NYC sleeping in hotel room, I highly recommend Parksouth.	
Oct 10 2009 	Great Location	Hotel is convenient location, very good restaurant, rooms clean but small.	
Oct 6 2009 	Would definitely recommend!	I stayed with two more friends in a room with two double beds. The room was great. It had enough space for our three suitcases. The bathroom was good and in general the room was well decorated and with an updated, clean look. the beds and pillows were heavenly comfortable, and the breakfast was awesome!It's location is also a very plus point. Very central, a few blocks from Union Square and with a subway stations very near. A lot of places to eat nearby.the only thing that is making me not give a 5 star rating is the AC noise. I wasn't bothered by it and it didn't stop me from sleeping, but we got a room whose view was to the back so the view was not very nice (we didn't mind though) but I can see the noise being a problem for some people. It's really loud.Either than that I really strongly recommend it!	
Oct 6 2009 	Great Location Great Staff	Recently stayed at Park South Sept 14-17, 2009. Checked out hotels on line and found this to be best fit for us. Great location, very accomodating staff. Booked Superior Queen and although smaller room than normally would have on vacation to southern resort on par with NYC rooms. Very clean, very comfortable bed, all amenities you would want in hotel room. Breakfast was much better than a continental breakfast and plenty of options. Ate dinner at Black Duck and was pleasantly surprised with how good the food and service was, wine was a bargain price compared to other NYC restaurants. Front desk staff very helpful. Last day checked out and stored our bags with the concierge came back retrieved and were on our way home. Subway very close by and that is the only way to get in and out of Manhattan, otherwise you pay an arm and a leg to take a taxi and I am sure you are no faster than subway. Would highly recommend this hotel and would absolutely stay there on another trip!	
Oct 4 2009 	Great Hotel at a good price	We just got back from NYC and we stayed at the Park South for 3 nights. The room was very clean, the bedding was comfortable and good quality and you get a free breakfast every morning. The breakfast was good that included pastries, bagels, bread, fresh fruit, cereals, etc. It was always great to start the day with a light breakfast. The check in was good and prompt. I would recommend though to pack some bottled water and soft drinks as when we went to the nearby store (some pharmacy) it was not too cheap. I also went to restaraunt.com and found that you could purchase $25 gift certificates for their restaurant &quot;Black Duck&quot; at a fraction of the price...look for promotions. The black duck was my favorite hangout at the end of each day. They would have their fire place on each night and I would sit in their comfy chair with my feet up on the ottoman drinking a glass of wine. It was superb to be able to prop your tired feet up at the end of the day!! I would recommend this hotel to anyone. This isnt a 5 star hotel, but a quaint small hotel in a good location. It was easy to get to Manhattan as the subway is literally on the street corner.	
Aug 22 2009 	BewareIs this hotel going broke ?	The hotel is well located and comfortable, but thestandard rooms are on the small side.However, I amended my booking to arrive earlier than planned, sent 3 emails well prior to the cancellation period stipulated to confirm that my original booking had been cancelled, phoned to confirm same, and yet then they charged me a no show fee !!!Now they are refusing to refund the no show fee, saying they have no record of a cancellation despite my providing evidence of a reply from them to one of my emails requesting confirmation of the cancellation !!!Dealing with Park South over this matter is akin to dealing with a bureaucracy in 1950's Soviet Russia, they either do not reply tp phone calls/emails or give the most inane reasons for their actions. My experience with entities that are reluctant to refund legitimate monies claimed is that they are probably about to go broke.	
Aug 6 2009 	Great hotel!	We had a Superior Queen room, which was a good size. Free internet. Wonderful breakfast is included and served until 11am. The Black Duck Restaurant is attached to the hotel....great for sitting outside and people-watching. You can catch the subway on the corner.	
Jul 20 2009 	Great price for solid comfortable hotel	I used to live in NYC and have come back and stayed in many hotels. Liked this one a lot more than more expensive ones. We got a good deal via Quikbook.com, and liked this place a lot. It is in Murray Hill which is close to both the subway, and a lot of neighborhoods/attractions within walking distance. It was very clean, friendly, and the room was quiet. The hallways on our floor had lots of windows which was a hotel first for me. The bedding was nice, and the a/c worked very well. The free buffet breakfast was varied and great. We spent $140 for our room and were really happy. We will return. Lots and lots of tourists from all over in the lobby. The bar/restaurant looked nice too. What we noticed about the rooms was that they were not classic hotel tacky (ugly polyester bedspreads, bad art, faux antique fixtures) but rather more simple, and apartment-like.	
Jul 14 2009 	Good location and price/quality ratio + great breakfast.	Nice convenient location for exploration. A N/S bound metro was nearby, and we often walked to an fro. Especially the walk sout through Gramercy to The Village is very nice. It was also very quiet for NYC.Our deluxe room was fairly big for NYC and the bathroom had a lowrise tub. Plenty of space for luggage without making an obstacle course og ones room.It also has a good and plentiful breakfast in the attached restaurant.All in all a great place to retreat end reload.And it actually resembles the photos :)	
Jun 21 2009 	Good location happy with this find	OK, so they are not joking when they saw rooms are small dont take to much luggage with you, it may not all fit, but the location was great, close to Empire State Building. Room and bathroom was clean and breakfast was great, very abundant and open till 11am so if you happen to sleep in there you may still get some. Internet was free, and quite fast. We got a great deal on expedia and was not expecting anything flash, but we were more than happy especially since most of the time your out exploring the City.I would definately return.	
Jun 12 2009 	Fine for My Needs	I have stayed at the Park South a couple times now for business and all and all I like it. The location, for my needs, is perfect. I also like the fact that it's a smaller boutique hotel, the WiFi always works and the staff is really friendly. They have a great bar/bistro with a good wine selection and some some comfy chairs and tables that are open air to the street, weather permitting. In the morning a European breakfast buffet (included) is set up in the bar/bistro area and this is another thing I like. After traveling, the last thing I want to do is stop at another place - even for a coffee. I can just go downstairs, have an enjoyable breakfast and read the paper or watch the news before heading off to my meetings.I received a complimentary upgrade this time which was terrific. However, I will say I noticed my room had some wear and tear on it - a chair really needed to be reupholstered and there were some mold spots on the bathroom ceiling. Other than that though, it was very clean and charming and the bed was extremely comfortable. I would definitely stay here again for business.	
