	Great location good restaurant clean rooms.	We enjoyed our stay at the Martinique as first time visitors to New York from New Zealand - it was central to everything we wanted to do and everyone was very helpful. We ate in the restaurant for the three nights we stayed in New York and the meals were great. Especially enjoyed being able to get a meal at 11.30pm after having been to a show on Broadway. Would definitely stay there again.	
Nov 18 2009 	shopping in nyc	HI I have just returned from a four night stay here with friends. the hotel its self was very nice, the staff were helpful and it was very clean. we had an exxperience of a man trying to get into our room at 11pm, this was very distressing for three girls travelling alone. the staff took ages to answer our distress call which was not reassuring. the man in question was later found on cctv however we did not feel satisfied with the responce of the head of security. he assumed we were cabin crew!! and that room hoping was normal!! i would stay here again with my husband but not with the girls.the bar was very pricey but hey ur in manhattan what do u expect, the breakfast menu is vey limited eggs eggs and more eggs.	
Nov 6 2009 	Much better than we imagine	We read the reviews about this hotel, some good, some bad, but it had an average postion at Trip Advisor, then we decided to go.Staff works well, excellent location, rooms clean and comfortable. There is WIFI (free at 56k) but does not work with iPhone. Sometimes hard to find a place at internet room, close to lobby. But they were expanding the area (at least they bought tables...).Curious case: I forgot my cell phone (an iPhone) at internet room and I remembered 2 hours later. Someone found it and gave it back to front desk. We heard about some cases of stolen things in other review, but I have to say the guests and staff were very honest.Really fine, this place was perfect for us.	
Nov 3 2009 	Disappointed	Our research indicated that your hotel provides a good location and 3 star rated accomodations. However, when we checked in, we noticed that the hotel and our room was not very updated. In addition, the bathroom lacked ventilation (no fan), the shower and tub drained water very slowly, the towel hanger was rusted, and the bathroom door was very old and needed repainting.Because of these problems with the bathroom, we believe that insects were breeding in the drain area. Specifically, my daughter was bitten on the cheek by a large mosquito in the room and my husband had to kill the insect by swatting the mosquito on the ceiling. We were very upset to find a mosquito in our hotel room and my daughter has been suffering with a cheek wound that has not fully healed in over 2 weeks.	
Nov 2 2009 	Very good Hotel	We spent 5 nights. Well located, within easy walking distance of time square. The staff were helpfull and offer to us a very good room at 01 pm. The room was serviced daily. it was extremely clean, confy beds, large room with LCD tv, no minibar, very good shower. Has a tube station in front of the hotel. I'll saty again!!!	
Nov 1 2009 	Upgraded for Free but Absolute Chaos	I shouldn't complain too much as I was upgraded to an executive suite, but this place was absolute chaos. I stayed two nights for a business trip.When I arrived to the hotel there were a ton of people hanging around in the tight lobby and the concierges were having trouble managing all the luggage. I was a little early arriving to the hotel and my room wasn't ready so I had to check my luggage, which took forever. Once I returned to check in, there was some confusion about my room and they upgraded me, which I appreciated. My co-workers unfortunately got stuck in smoking rooms so I felt very fortunate.Even though I was in an executive suite, it wasn't perfect. The bathroom had an awful rattling sound which sounded like a loose water pipe banging against the wall. I had to shut the bathroom door to the bedroom to keep it from bothering me. The internet was terrible and I should have complained about paying $13 for the unreliable service. The TV also had a flaky signal and it made watching Sportscenter in the morning pointless. My co-worker also staying at the hotel complained about the flaky signal he was having with his TV.Checking out of the hotel took forever. The lobby was packed with tons of people again and the concierges were overwhelmed with managing all the bags. Give yourself at least 15-20 minutes to check out.The location for the hotel is fantastic, right below the Empire State Building. Overall though, I feel that for the price paid that there would be more organization and a more enjoyable stay.	
Oct 26 2009 	Radisson NY- Comments	This was recommended to me but very bad experience.Good- room clean &amp; tidyBad- too hot &amp; could not control temperature, restaurant food terrible though was informed hotel did not own restaurant. Had to move rooms at 2am as heating (storage heater) broke down &amp; started smelling. Then moved to another room where heating then had to be 'fixed' while we waited at 2am!!!! No apology until we were leaving &amp; to make it up we were offered lunch in restaurant which we did not accept due to above. Room quiet small considered class of hotel. 	
Oct 19 2009 	Fabulous Service	We arrived at 6:00am on a Saturday morning fully expecting to drop our bags and do some sight seeing until check-in. The desk clerk noted that since the reservation was made with AMEX card she could check us in now. WOW!! Got to the room (18th floor) and it was very nice. Room was clean, orderly and well equipped. All service personnel were very kind, helpful and made our stay a great experience.Thanks Radisson....your people ar tops!	
Oct 16 2009 	Very nice hotel in a good location and fantastic breakfast	We went to New York for Easter, I was looking at lots of hotels as I wanted to stay somewhere nice and to have a good time. I came across this hotel, they had a special offer at the time, so we had a Club level room with breakfast included. We stayed there for 4 nights and paid about £500 for the whole stay. i believe it was very good price for New York and for such a spacious room.we liked everything about this hotel except the room was not ready then we arrived at about 11.30 pm, but the receptionist offered us free drinks at the bar while we waited. during weekend room has not been cleaned twice so we had to ask for it which was not really pleasant but i have asked for late check out, so they kindly agreed us stay in the room till 5pm as an opology for the late cleaning.As I mentioned the breakfast was excepcionally good and pancakes just fantastic!we had a dinned twice a pasta dished were just lovely.Overall we had enjoyed the stay there and definitely would go back.	
Oct 15 2009 	Great Location Great Service Great Hotel	We stayed here for a week. it was ideally situated for shoping at Manhatten. within easy walking distance of time square and the empire state building. the hotel staff were extremely helpful and friendly, we were checked in straight away. all our requests were attended to immediately. The room was serviced daily. it was extremely clean and comfortable, very welcoming after a long day of sightseeing. I would definately stay at this hotel again.	
Oct 15 2009 	Radisson Martinique on Broadway	I stayed there already several times because our company has an agreement with them. The hotel is in a very good location when you want to go shopping or sightseeing: Macy's, J.C. Penney, Victoria's Secrets ... and the metro are just around the corner. The lobby is quite small and often very crowded especially when a flight crew arrives or leaves. There is a room next to the lobby with a few computers for internet that one can use for free (limit 15 minutes). The rooms are very tiny but clean. In the rooms I stayed in the beds were always small for American everage (they seem to be smaller than Queen size). Size of bathrooms vary.	
