	Best hotel for value in NYC	My mom and I recently stayed at the Ramada Eastside for Thanksgiving to enjoy the Macy's parade. The hotel is in a good location and we could walk to everything. Continental breakfast is included in room price, which is nice. Our room was compact but very clean. We had a coffee maker (which is rare in NYC), flat screen tv, comfortable queen bed, and for the price and location, we would definitely stay here again. If you want a cozy, nice, quiet, clean, safe, convenient, and reasonably priced hotel in Manhattan, the Ramada Eastside is the best value!	
Nov 24 2009 	Great hotel	my husband and i stayed there for a 2 night stay. Our son is in the hospital and it is a very short walk to the hospital. The hotel was extremely clean and the room, though small, fit our needs. Staff is very pleasant and helpful. Continental breakfast was what you would expect. We are booked to return this weekend and the following and will continue to use this hotel for as long as we need to keep returning to NY.	
Nov 20 2009 	Cheap but not even close to "good enough".	The room is tiny, but clean. The breakfast is crap. Except for the cleaning lady, and the guy at front desk, the staff is a shame.If you are just looking for the best price, in a really nice location, go for it. But don't expect to be treated like a king.	
Nov 14 2009 	the bed felt like home	I sta;yed there two nights just this past week and I have to say that the bed was very comfortable, its a tempurpedic (which is what I have at home) and I slept in so late on the day I was leaving I missed doing more sightseeing. The staff was wonderful, rooms very clean, the breakfast was good and I believe her name is Rita that works in the breakfast room is wonderful. Very good value! If I ever go back to NY I will definately stay there again. Just a note you can buy your tour tickets there also and save yourself a trip downtown. They will also arrange for transportation to and from airport.	
Oct 19 2009 	Inexpensive but unremarkable	The location is good and the price is one of the cheapest in NYC, but the rooms are small and unremarkable, need rennovating and the service is sub-par. I've stayed at this hotel on three different occasions and have generally been disappointed, but for what hotels go for these days in NYC, it's worth the price. Once the heating in my room didn't work in the middle of winter, the other time my room was right next to the ice maker (bad luck I guess), but I keep coming back because where else can you find an affordably priced hotel in NYC, and twice I was generally satisfied by my room. Don't expect a gem (some of these reviews are terribly overrated) but you won't feel totally ripped off either.	
Oct 8 2009 	Best price for a nice hotel in NYC	I was very pleased with the Ramada Eastside in NYC. I was taking a girls weekend trip to get away from the busy DC work life and was very happy to find a moderately priced hotel in NYC. It was exactly what we needed. You just can't find a nice hotel for under $200 in NYC. It's just unheard of, unless you are looking to stay in a hostel which we were not. We were so pleased with the service as well. The concierge was very helpful and even held our bags for us in a secured room before it was time for our check in. We couldn't lug our luggage around NYC so that was very convenient. The only thing I would change would be upgrading the bathrooms. There is just so much space to utilize! I'm sure it's in the works, and they were perfectly functional but it would just make the rooms that much better.All in all this place is definitely a find. I'm almost hesitant on posting it because I don't want the secret out about this place. I'll definitely be staying here again the next time I'm in the city. It's just too perfect budget wise, location wise, and service wise.	
Oct 5 2009 	Fine experience	Room and bathroom were spotlessly clean, evidently newly decorated. Room was small, but it had two chairs, two bedside tables, LED reading lamps (besides the regular bedside lights), a desk, and three drawer bureau, flat screen TV. Staff was helpful. Housekeeping excellent. There is a complimentary breakfast, the usual toast, bagels, cereal...but there was also yogurt and fruit. We would certainly return. Ten minutes walk to 28th St. Lexington Avenue subway stop, which is not at all bad. We did not have a car, but we noticed that they were offering a reduced rate parking fee of about $20 for 24 hours, which is fantastic for midtown Manhattan.	
Oct 4 2009 	If you like curry this is the place for you; if not stay soemwhere else	I did not realize that Murrray Hill was Little India. Everything in this hotel, including the bedclothes, reaks of curry. I am very sensitive to odours and had to check out after 1 night of a 4 day stay. The room, otherwise was 'clean'. There is a window in the bathroom door and a window in the bathroom. This combination, although covered with a thin plastic film, allows too much light into the room, don't expect to sleep past first light of day, but at least you won't need an alarm clock. Great location 2 blocks from subway and walking distance to shopping dsitrict, but you have to be able to tolerate the above. I thought I was getting value for money, but once again, you get what you pay for!	
Sep 26 2009 	Good hotel	We stayed for three nights during September. Room was a nice size (king size bed) and was modern.Large tv ,good quality furniture and good shower. Two lifts for the 12 floors.Complimentary breakfast was excellent,( toast,juice,coffee,boiled eggs,waffles,pancakes,cereal,fruit and more).Secure luggage room if required.Not in an attractive area but most of New York hotels are no different. 10 minute walk to Empire State Building.Times Square about a 30-40 min walk.Large selection of restaurants / shops nearby. Subway station 5 min walk. Safe in room (free).	
Sep 25 2009 	Great location and a very good value	My wife and I stayed at the Ramada Eastside for one night recently and were pleasantly surprised by the cleanliness and recently remodeled rooms available at a moderate price. Be advised that single bed rooms are SMALL but efficient. Double bed rooms are quite a bit larger, even spacious. The free breakfast was great and plentiful, with items constantly being replenished. The front desk help was pleasant and helpful. This hotel is conveniently located near Murray Hill, Herald Square, the Empire State Building etc. AAA discount is available but make sure you bring your card.	
Sep 3 2009 	Best inexpensive hotel in NYC	I stayed at the Ramada Eastside Inn for 2 weekend nights when I was in NYC to visit some friends. For the price, it's hard to find a better place. (I travel to NYC several times a year and have stayed a many different hotels.) I booked through Priceline and paid $125 a night. The hotel is clean, modern and the staff was friendly. Yes, the rooms are small but this is NYC - - space is at a premium. The rooms had flat screen TVs, comfortable beds, private baths, etc. I would definitely recommend this hotel to anyone looking for a nice inexpensive hotel option in NYC.	
Sep 2 2009 	The location is great! Service is good..	We stayed for 3 nights, it was really clean but the room and the bathroom were small. It is really convenient, 10 min. away from Empire State by Walking, and 5-10 min. walk to the subway (to go to Time Square, Central Park, etc.) It was also the cheapest one we have found in downtown. Staff were friendly. But in the end they sold us a shuttle which will take us from the hotel to the LaGuardia Airport, they made us pay 40 bucks, but then we have realized that if we had had the taxi instead, we could have paid only 25 bucks. :/ The breakfast is really basic, but satisfactory. Besides there is a Brazilian Coffee Shop Just adjacent to the hotel.. Awesome! I would recommend this hotel to my friends.	
Aug 21 2009 	Great Hotel in NYC!	My husband, my father-in-law, and a friend of ours stayed at the Ramada Eastside from 8/9-8/13. This is a really good hotel to stay at when in New York, and hopefully my review of the most important things below will help anyone looking for a decently-priced hotel make a good decision. When I was looking at hotels, I really needed the place we stayed to have good amenities, medium-to-large sized rooms, be accessible to the subways, have internet access and have some kind of breakfast. In essence, I was looking for a mid-range hotel with thoughtful amenities. The Apple Core Hotel chain fit the bill for me and my family quite well. PricingThe prices are reasonable, ranging from $109/single person/queen sized bed/night to anywhere around $200. I kept watching their rates online, and was able to get the lowest prices. They offer a 10% AAA discount if you show your card when you check in. In NY, that was a great price, especially for how spacious the rooms are. RoomsWe all had rooms with queen-sized beds. The rooms have been renovated over the last 6 months, and are contemporary in design (sage green, dark brown, oatmeal colors). There is enough room to walk around, and because of the high ceilings, you won't feel boxed in or claustorphobic. You won't have a ton of space, as this is NY, but you won't be cramped either. The beds are Tempur-pedic mattresses (aka memory foam), and comfortable. The linens are nice cotton, and while there aren't luxurious duvet covers, the blankets were warm. The fairly new pillows are standard foam ones. The room had a full bathroom, even though it was small, with a shower, tub, sink, toilet and hair dryer. There is plenty of drawer space, if you need to unpack for a longer trip (2 nightstands and a chest of 4 drawers). The closet was small, but there was an in-room safe, an iron and ironing board and luggage rack, so we had everything we needed. The rooms also had nice new flat screen TVs. The air conditioner worked great...we didn't need the heater as it was hot as hell in NYC...and the large window in the room gave a lot of light. Thankfully, there are blackout curtains! There was a desk and coffee maker in the room, too.AmenitiesWe really liked the free WiFi and business center in the hotel. The Wifi is not super fast, and is shared by all guests in the hotel, so there are times when it will be really slow. Also, there aren't any ethernet ports in the rooms so you won't have the option of plugin in a cable. We were able to get email, but couldn't really watch the news or shows online on Amazon Video-on-Demand because the internet wasn't fast enough. There were plenty of brochures and maps for things to do in NY, if you need them, at the reception. The continental breakfast was basic, but good enough with mostly juices, milk, cereals, bagels, breads, English muffins, coffee, tea and boiled eggs. The breakfast items do run out by the last 1/2 hour of the breakfast time, so make sure to get there with enough time. If you miss it, there is the Brasil Coffee Shop attached to the hotel, where you can get a bigger variety of food. There is a fitness center, which we didn't use, and vending machines on the ground floor, that run out if the hotel is busy. The hotel also has a baggage check, so you can leave your luggage in their storeroom after you check out. StaffThe staff was friendly at the hotel. Our best experiences were with Priya and Harry, but everyone was nice. The housekeeping folks are cool and do a great job. NeighborhoodMurray Hill is a quieter part of NY. We didn't want to stay in the heart of Times Square, so this worked out to be a great location. We didn't hear the sirens or cabbies or crowds at night like you would in other parts of the city. Getting to the 4,5,6 subway lines was easy, as the 28th St &amp; 34th St. stations are equidistance away, about 4 blocks. The neighborhood has some great Italian and Indian restaurants that are open late, and most of them can be found on 3rd Avenue or Lexington. Chinese Mirch, Lannam Vietnamese, and Turkish Kitchen were our favorites!Things to KnowOverall, our stay at the hotel was really good. There are two quirks that I think anyone staying there should know about. One, there are two small elevators for the entire hotel. Guests and maintenance / housekeeping all use the same elevators. It can get pretty crazy around breakfast and check-out time in the morning, so plan for a wait. Also, ice machines are only on the 6th and 9th floors. If you get a room on either of those floors, definitely request ones away from them, as all guests who want ice at the hotel will come up there to get it, and you'll hear the ice machine working all night. Along with these quirks, there is one warning that I would give guests, simply because we experienced this. When you make your reservation, make sure that the credit card you will charge the room to is valid and is not in jeopardy of expiring. Our card expired -- which is obviously not the hotel's fault -- but because they authorize the charge for the first night of your stay to your card even before you arrive, you will need it to be valid. Since our's wasn't, the hotel didn't hold a room for us, and we didn't have a place to stay on 8/8 like we thought we did. We had a room booked for myself and my husband one night before the rest of our family joined us, and we felt like the hotel should have called us, since we'd booked multiple other rooms. We were in a bind since we didn't find out until we got there in the evening, after having flown from Los Angeles. We could have given them another credit card, no problem, but they had given our room away. Priya, who was on duty at the front desk, was helpful in trying to get us another room in the city, and she let us keep our bags in their bag check, but that was a hassle we didn't need that first evening. It could have been avoided very easily by a phone call. Luckily we found a place to stay, and everything worked out, but it was more expensive that we had budgeted for. So...word of warning, just be careful. Again, our stay was extremely comfortable and we would definitely stay again for a short trip.	
Aug 18 2009 	Very satisfied	We were very satisfied with our stay at this hotel. The rooms were updated and very clean. Check in and out effortless. Helpful staff. Free internet and breakfast were a bonus. Location easy to get to all areas of the city.	
