	Good choice for group of 3-5 people	I wish there was a 3.5 option in overall ratings for this hotel. 4 seems too high, but 3 too low.This hotel is very much as OP's have described. I found it to be a very good value. Pros:Very large rooms which are also VERY clean, lots of closet space, light-blocking window shades, good beds with good quality linens, very friendly multi-lingual staff, good location (altho I personally prefer the west side as it is easier to get around), excellent access to computers and printers- I think there may have been 8 stations- WIFI fast and dependable. Cons:We really could have used another bath or half-bath (3 women and 1 man), Breakfast was not much- yogurt, cottage cheese, coffee, juice, some rather dried out pastries..probably one of the worst &quot;continental breakfasts&quot; anywhere.Noise- the street noise did not bother me too much, but both daughters and husband commented on it. Oldest daughter said to me, &quot;mom, this is the noisiest place we've stayed in NY&quot;. Not sure why this is a problem as the street in front is not really a busy street, but there did seem to be a great deal of honking at all hours. If you think this might annoy you, ask for a room that does not face the street.We tried 'Mint&quot;, the eating establishment connected to the hotel- not impressed.My husband, our two 20-something daugthers, and myself were visiting NYC and I was looking for a way to avoid 2 hotel rooms at $275 - $325/night for each room for the weekend after Thanksgiving.The San Carlos had a suite with 2 queens in the bedroom and a pullout sleeper in the LR, along with a small &quot;kitchenette&quot; (microwave, sink, refrigerator and utensils) for $300/night. The reviews here on TA were favorable, so I booked it for 3 nights.Thanks to other members for their helpful reviews of this hotel. Very accurate reviews!Saved us hundreds of dollars over 2 separate rooms without sacrificing too much in the way of comfort and space.	
Nov 22 2009 	Great service nice cosy room	Exceptional friendly service at this midtown hotel.Cosy, quiet clean room with very comfy bed, though tiny bathroom the only downside.	
Nov 19 2009 	A very good choice	I chose the San Carlos because of the location, reviews and value...and was not disappointed. The staff are incredibly personable and friendly, the rooms large, and great location in mid town. I've stayed in many hotels in NYC, and prefer this location to the hustle of Times Square and proximity to many restaurants/markets. The 1 BR suite is enormous, clean and with a small kitchenette for less than $400. The beds are comfortable and the bathroom counter large enough to spread out all my stuff! Will absolutely stay here again.	
Oct 31 2009 	Excellent Stay	The San Carlos proved to be an excellent choice! The rooms are clean, large (two queen beds) and the bathrooms are modern. Our room had a fridge, microwave and utensils. The location is ideal - across the the street from the Benjamin and Waldolf Astoria. I should also add I never heard any street noise. I would be hard pressed to find a reason not to stay at the San Carlos again.Finally, there is a continental breakfast included. We never tried it out but it didn't look very good.	
Oct 22 2009 	Good stay at the San Carlos Hotel	My husband and I usually stay at the Elysee Hotel but the rates were well over $400 per room for this week. Hubby was in NYC for business and I tagged along. Friends on Trip Advisor recommended the San Carlos over the Affinia 50 for a &quot;suites hotel&quot;. We got a nonrefundable rate of $310 per night for an &quot;Executive Suite&quot;.The San Carlos is located in a great neighborhood. It is very quiet and very clean. Our room was very nice and large. King sized bed with a living area and small kitchen. The staff was great. The continental breakfast was minimal. They offer muffins and breads. Not quite sure why they do not offer bagels.We would definitely stay here again.	
Oct 19 2009 	Pleasant stay	This is our third time staying at the San Carlos, and it was pleasant, as always. We had one room, with two nice beds (no view). The room was clean and comfortable, and the staff is just great. Everyone is friendly and helpful. The free breakfast is a nice touch, but the food is very mediocre--various breads that don't seem particularly fresh, yogurt, cottage cheese, coffee, and juice. We ate it two out of three mornings, but couldn't face it the third morning. The other times we have stayed there, they have had the exact same thing every morning. I wish they would throw in some cereal, oatmeal (packets), and waffles (they do have a toaster). These things would improve the breakfast fare tremendously. The &quot;business center&quot; is nice--quite a few free-use computers and couches. We hung out there for several hours after we checked out until it was time to leave for our plane. One more thing--we were never supplied with hair conditioner in our bathroom, and we had not brought any, so our hair was a mess on this trip. If you stay here, better bring at least a little, just in case.	
Oct 8 2009 	San Carlos is OK	I was booked into the Bedford on East 40th, but they over booked &amp; sent us to the San Carlos which is in the same ownership as the Bedford. What a delight. Great beds with either two doubles or queen (i forget) soft pillows, breakfast included. Eating places everywhere (par for N York), pleasant staff including the owner. Recommended. Would like to stay there again.Mike Normanhurst Australia	
Sep 12 2009 	Comfortable Clean Convenient...we'll be back	Stayed for 8 nights recently and was not disappointed. We got a great rate through the hotels website for an executive suite. Ample room for 2 people. Kingsize bed comfortable. The housekeeping service was fantastic, they kept that room spotless everyday. Rooms were quiet, aircon worked beautifully. Wifi bonus.The cable tv was a bit dissappointing, an upgrade to a few more interesting channels would be good. As suggested, breakfast is very basic. We bought tubs of cereal at the convenience store across the road and took them in to eat. Also took our real tea cups down to breakfast. We also had a couple of hot breakfasts across the road at the &quot;new york lucheonette&quot;-good. The japanese restuarant across the rd is great, ate there a couple of nights, and there is a fantastic indian around the corner near the steak place. You can walk to broadway easily from there - we made a five minute dash to catch a show. The subway is on the next corner and once you get to know yourway around is fantastic way to travel. Never wait longer than 3 minutes for a train. The hotel was our oasis to return to after a hard day of pounding the pavement to regroup have a drink then either relax or get out there again. We will be back.	
Sep 9 2009 	Was what we expected - no more no less - good value	Great location close to main sights. Good room including large separate sitting area where the kids slept. Good value without being exciting but also without disappointment. Breakfast included but is basic but really all you need. Feels a bit cheap with plastic plates, cutlery etc. A 3/4* but generally good value.	
Sep 8 2009 	Large rooms and services are included at no extra charge.	I found many things to like at the San Carlos. It is the rare NYC hotel that has &quot;double-bedded&quot; rooms with two QUEEN beds. Most hotels only offer a single king or queen bed and those that have two beds only have the smaller, double-sized beds. Wifi was recently installed in the guest rooms and it worked extremely well. We had three computers going at once with really fast connections. If you drive into the city, the hotel's discounted parking in the garage next door is a big perk. We got great service from every employee we encountered. This is a small hotel so there was very little noise from other guests and the lobby was serene. This probably was an apartment building in a past life and it has been renovated with mixed results. The bedding, bathrobes and soaps are luxurious, but the floor creaks with every footstep. The drab decor could use a decorators touch. Every wall, the floors, window curtains and shower curtain are all very blah beige. There is limited room service provided by the Indian restaurant in the building.	
Aug 23 2009 	My home away from home in NY	Second trip to the San Carlos. This time, we stayed 4 nights in a suite. Not cheap, of course, but we needed two beds and a couch, and having a separate living room is a real plus. The service is, I would guess, as good as you would get spending $900 a night rather than $275 plus tax. The rooms are spacious, the ambience is quiet, and the owner (who is there every morning, I think) is a joy to talk to.The service at the hotel is first-rate. It *can* be a problem getting a cab at a busy time, but they try hard for you, at the door. (In a pinch, you could sneak over to the Waldorf and pretend to be a customer). And if you are going to the airport, they'll have a cab at the door, if you ask. I'll add to the chorus, though: For such a superb hotel, the breakfast really is subpar. I believe they have plans to upgrade it.For many a tourist, the location really can' t be beat. The Waldorf is just out the back door, and it's worth the money to splurge for tea or a cocktail there. St. Patrick's and Rockefeller Center are an easy walk, and on a nice day there is nothing nicer than to take a cab or the subway up to the Metropolitan Museum, and walk back through the Park or down Madison Avenue. And for a Broadway show, if you've got legs, its close enough to walk back from a Broadway play if you can't get a cab.And while we didn't go to a play, we *did*, some of us, stroll down to Grand Central to eat at the Oyster Bar.	
