	I LOVE SOHO GRAND HOTEL!!! ;)	Hello there,I stayed at Soho Grand one time but it was a fantastic experience. The room was very noisy the first day so I asked to change the room and they gave me one at the 15th floor with great views. All staff was very nice and helpful so I left good tips ;) I am going back in January and have booked it again there.Relation quality - price: Excellent.	
Nov 21 2009 	Nice hotel but beware the waitresses with 'attitude'	We stayed at the SoHo Grand for 3 nights. The hotel is well located for both downtown and midtown and various subway lines are close by. Overall the hotel lived up to expectations and we had a good stay. Just a couple of things which caused us some annoyance. Despite booking a deluxe king room which was advertised as being on the 8th floor or above, they tried to give us a room on the 4th floor with no reduction. After an hours wait in the bar they sorted out a room on the 16th floor which was fine. On the Saturday evening we bought a bottle of wine at the bar and then went to sit at a table (unreserved). After a few minutes a waitress came over and demanded to know where we had got the bottle of wine from, even though the bar was only six feet away. She then told us that all tables were reserved 'by the host' and we would have to move. Pointing out that we were in fact residents and had bought the bottle of wine ($58) from the bar made no difference. We stood at the bar and drunk our bottle whilst watching other people being subjected to the same attitude if they dared to sit down.	
Nov 3 2009 	DO NOT STAY HERE	The actual hotel is great, however, we left a phone while we changing rooms due to it being very very noisy outside - the hotel kindly changed us to a room on the other side of the hotel which was a lot quieter. The phone was left charging for 5 minutes and when we called the hotel to get the phone they didn't call us back for a few hours then it was missing. Obviously stolen. The hotel have denied that it was stolen and have only reimbursed us the sum of the phone. This is my partners work phone and he lost a great deal of business from having the phone stolen. This matter was very poorly managed by the hotel and the customer service and chasing up of the matter was not what we expected from a hotel of this calibre.	
Oct 23 2009 	Gone to the Dogs	I have stayed at the Soho Grand for approximately 6-years but after my last visit I won't be going back. Although the lobby bar and restaurant are great, and most of the staff are wonderful, my last experience was so disturbing I can't risk going back! Unfortunately my room, in particular the bed linen, was so dirty that it was a health hazzard.. The duvet was stained, and when I reached for the bed-side phone to call for help, I encountered an incredibly filthy bedside table. All-in-all a very disgusting experience and the hotel is definitely not to be recommended.	
Oct 20 2009 	Nice location -- but...	If you want to enjoy Soho, great location. Rooms are very small. Price is high. And am coming off of two service flubs. First -- while tv is not the main thing, while on business I need to catch up on the news, and the cable wasn't working in my room. Front desk said they would send someone up. After 40 minutes, nobody came, so I gave up and went to bed. Then in the morning, had an early train to catch. Breakfast was supposed to be served at 6 a.m. Went down there at 6:15 a.m. and no waiters on hand. One of the busboys offered to give me some coffee while I waited. It was cold. Had time concerns and finally gave up. When I checked out at 7 -- looked very nice, but by then, I needed to go catch a train.It's sometimes the smaller things that convince a customer not to go back!	
Oct 19 2009 	convenience at the right price	I stay at either the Soho Grand or Tribeca Grand on almost every visit to New York. I must have stayed over 80 nights in the past 2 years. I have read some of the negative reviews. Yes, Its not faultless, but its a great place to stay, the staff are great, the food and bar great and its far less expensive than most of the luxury hotels in NYC.	
Oct 12 2009 	Getting a little rough around the edges	I've stayed in this hotel alot over the years and have mixed service each time. I love the lobby and you can't beat the location, but the rooms have become a little grubby, and the service is often lazy and snooty. I've started to stay at 60 Thompson and Thompson LES instead. These hotels have less character, but the staff are much friendlier.	
Sep 30 2009 	It's my favourite in New York	Just back from a 5 day business trip in New York and London. The Soho Grand is just GRAND on a cool street with SO helpful staff. If you like the Soho, Wall Street and bohemian life in the village it’s the only place to stay - although not cheap worth every dollar As a grand guest you even get a gold fish for company!. The bar buzzes in the evening and the rooms are great. Get one with a city view!	
Sep 17 2009 	Great Location and stylish	My wife and I noticed alot of reviews stating that the staff was rude or complacent. I was expecting a &quot;too cool for you, wannabee uptown attitude&quot;. Everyone I spoke with was very pleasant, helpful and gracious that was working in the hotel. We loved the location and the decor was very nice. Great atmosphere.	
Sep 9 2009 	Great Hotel!!!	Really good hotel, location, staff, food etc.Only concern i have is the ugly carpet on the floors outside hotelroom in doorhall, the rom is not luxury rooms, but they are ok.	
Sep 5 2009 	Great location good hotel	The New York office of my company recently moved to the Soho area, so this was my first time staying in Soho. I chose the Soho Grand because it seemed to be the nicest hotel close to work, but yet most reasonably priced.Upon arrival you must walk up about 6 to 8 stairs to reach the ground floor lobby area. No one was available to help me carry my bag up these stairs. Keep walking straight ahead to the elevators and go up one floor to reach the reception lobby area. Check in was fast and the man who waited on me was very nice. I thought the room size was fine. No, it's not big, but this is New York. The bed and bedding were very comfortable; the towels were nice. The bathroom was fine. All was clean. The Malin + Goetz toiletries were nice. There is a stocked mini-fridge. I didn't hear any room-to-room noise. The neighborhood is great. Tons of restaurants and shopping.My only complaints: you can hear the street and bar noise below but it's generally not too bad. The hairdryer in my room (1233) would only run for less than a minute before shutting off. I had to put it on top of the a/c and then resume drying. The water from the shower came out at a weird angle, hitting me about shoulder level -- and I'm only 5'4&quot;. This shower might be a problem for someone taller.I do plan to stay here whenever I'm in NY for business.	
Sep 3 2009 	Love The Soho Grand	Okay, from the moment you walk in the door you know you have made the right choice.The hotel is ultra hip and the staff was fabulous. We travel a lot and we were not expecting how cool this hotel actually is. We started our night out in the city early and came back after dinner and chilled in the lounge until 2:00am. The music was SO great and we had so much fun in the lounge that we actually left the lounge when it was closed and went dancing until 5:30am! We had a great time at Soho Grand. We will definitely be back!	
Sep 2 2009 	We loved it	Location great - Staff very helpful - Quiet (there was a wedding in the hotel that night) Clean Comfortable Can't wait to go back	
Sep 2 2009 	Stay at the Tribeca Grand instead	This hotel is in a location and is really cool place, however the attitude of some of the staff is a disgrace. The lounge seats are often reserved and so after a busy day, if you want to sit and chill for a bit you often cant, and to make it worse when you ask the staff in the lounge they look at you as though you just spat in their face.I have previously stayed in the Tribeca Grand, their sister hotel, which has been fantastic. It is only a few minutes walk away to the south. Stay there instead.	
Aug 23 2009 	Very nice	Everything you need: comfort, clean, high tech and good location	
Aug 23 2009 	Good location but missing something	Situated basically right in SOHO, you can't go wrong with the location. That being said, the rooms are small, the service isn't fantastic and there just seems to be something missing. I would probably go back if there was nothing else available, but this isn't the kind of place where you say 'we have to go back there'. not sure how else to put it, but it was missing something.	
Aug 21 2009 	What a disappointment	Yes, it's got a hip reputation, but it's glory days are clearly over: 1.Reported light broken upon check in. Five nights later, it still wasn't fixed. 2.Bfast service in restaurant was GLACIAL. Plus they have the nerve to automatically add 20% tip for a single diner. In the restaurant, not room service! 3.Newspaper finally showed up 3 mornings in to my stay. 4.Only one window (of 2) in room would open. 5.picture on TV was awful 6.no a/c in the hallways 7. a/c unit in room sounded ancient--very noisy. 8.single stairmaster in the gym is clunky/has seen better days. I stayed here because it's so close to my office but for these rates there are much better options in the area, including a simple Hamptons Inn and Hilton Garden Inn, both of which are brand new.	
Aug 17 2009 	Love Soho and The Soho Grand	This place is great. Perfect location if you are driving from the south as it is 2 minutes from the Holland tunnell. The whole place has a very casual vibe and the staff is very nice. The bar is also very nice and surprisingly quiet. Every time we stay there we feel like we are the only guests there even when it's full. This is the only place to stay in my opinion. Not super fancy but right on.	
Aug 12 2009 	Can't Beat the Location	We arrived on a redeye at 7 a.m. and were immediately allowed to check in to our room (no waiting 'till 3 pm) - that's service. Doormen were always very friendly. One of the bellguy's gave us some good recommendations about nearby bars to check out. Room, of course, was tiny, but that is a given. The first night the sheets smelled of smoke, but that seemed to go away (maybe we just got used to it). There was a slight musty smell to the room and bathroom, but it didn't bother us too much. Bathroom counter space is non-existent and it is definitely a chore for two people to try to get ready at the same time. Also, ladies, beware: the lighting is horrible for doing makeup. They might consider installing some high quality lighted mirrors. We did not eat at the hotel or visit the bar -- too many other places to see! Can't beat the location - which is really what you are paying for. Wifi is spotty. Check out was a breeze - there was a small phone charge on our bill (which was not ours) and the lady took care of it without the slightest hesitation. Bags were stored for us while we walked around the city for a few more hours. No hassles. Overall, a great trip.	
Jul 28 2009 	friendly hotel	Rooms are fairly small, but the overall ambience is great - nice bar, good business centre, and the staff are all very helpful. Lots of good restaurants around.Wireless internet is a bit slow.	
Jun 15 2009 	Don't Stay Here...	It was over priced for such a small room. The food was ok, but over priced. We had trouble checking in because they couldn't find us in the system. We saved room with credit card, but paid cash, and they still haven't given us our money back on credit card. The air didn't work in the room. The whole place has a funk smell to it. The staff were nice though.	
Jun 1 2009 	Great location - trendy hotel!	My husband and I spent one night at the Soho Grand celebrating our first wedding anniversary. We booked a Romantic Weekend package that included a bottle of champagne, chocolate, strawberries, breakfast in bed and a nice corner suite. The service was great and we got a complimentary drink in the bar as they missed giving us our glass of champagne upon arrival. The only bad thing was the extra charge fof 11 dollars for the wi-fi internet.	
May 28 2009 	Great Location - No Bargain	We stayed at the Grand for a combined 3 night business/leisure trip. The location is perfect for exploring SoHo and the surrounding area. The area is perfect for shopping - there are a ton of boutique shops and trendy stores all around. I've stayed in a lot of NYC hotels rooms and the room at the SoHO Grand was definitely a lot smaller than most. The shower was a bit grungy and not up to par with other hotels in this price range ~ water pressure was almost non existent. The room was clean and the bed was exceptionally comfortable. Our television did not work properly for the first 1.5 days due to private codes on the clicker - the hotel couldn't even figure everything out. The gym was adequate with 3 treadmills, 1 bike, 1 elliptical and some free weights. Overall, this is an &quot;ok&quot; hotel - my guess it that there are better deals out there.	
