	Good stay apart from lacking service hospitality	I and my girlfriend spent one week in New York to celebrate her 30th birthday and we spend four of those nights at Carlton and the remaining three at The Surrey which was a much better choice in every way (see separate review). Given the competition of New York hotels in this price range, I would not recommend nor stay at the Carlton again.Pro's:- Location, close to pretty much everything including two subway lines making transport to e.g. Grand Central or points south (Union Square, Financial District) very easy- Quality of the breakfast at the in-house restaurant Country- Well-priced (by NY standards)Con's:- Small room (we had a Deluxe room)- Quantity of the breakfast (we have breakfast included in our package)- They charged us $50 for a three minute US long distance phone call- Lack of customer service. The front desk and bell boy service was not what you expect from a hotel of this standard (given the price tag). At check out, when I asked for help with our luggage they just pointed to the elevator. The friendliest staff there were the maids and porters who would always say greet you in a kind manner and have a little chat with you.	
Nov 24 2009 	BIG room cheap luxury	We booked a double double bed room, and had heard that rooms in NYC are small, but we were supriced- it was SO big and NICE!! (Even though I think it was a handicap room). We payed about 1800 dollar for a week, for 4 persons, and I dont think that is a bad price at all:)!! It was very close to the subway, and we walked to time square sevral times, without a problem. The lobby is very nice, and the breakfast is GOOD, but SPENDY. I think this is the cheapes luxury hotel you can find in town, I spend days looking- and Im quite pleased with the result:).	
Nov 17 2009 	Would Not Stay Here Again	The Carlton has the potential to be nice, with all of the renovations that were recently made, however I woud defintiely not stay here again or recommend it to a friend. My husband and I often stay over night in the city for a little getaway. We decided to try a different hotel and, after reading reviews, decided on the Carlton. We did not make our reservation until the day of our stay but it was not until after we checked in that we were informed the restaurant and bar in the hotel would not be open to us because of a wedding taking place. One amenity I always look for is a bar/lounge within the hotel so I was very annoyed to find out we couldn't use it. They should have at least told us when I called the hotel directly that morning to make my reservation. We were also told the lobby would be closed to guests for a few hours and we would have to use the side entrance. This did not bother me but when we did use that entrance there wasn't a single door man or security person to be found. The room itself was fine. Small, as expected, but clean and fairly comfortable. We did have a small &quot;problem&quot; during the night, but I do not blame this on the hotel. At 5 am a highly intoxicated man was banging on the door next to ours screaming for the person inside to let him in. He was also yelling something about his kid being in there. Watching through the people I could see him literally throwing himself into the door to try and get it open. I tried to find the number for security, which took a while, but after about ten minutes the commotion finally stopped so I never informed the front desk. I suppose that could happen anywhere though. Overall, we were very unhappy with the hotel.	
Nov 13 2009 	Not exciting but perfectly acceptable	Apparently, everyone needed to be in New York City mid-October, and bargains were few and far between. My daughter and I wound up with a room at the Carlton after a series of miscommunications left us with a pressing need for reservations, and no luck on Priceline. The Carlton is close to two subway lines - a quick walk to either one, and we could get to either Grand Central or points south (Union Square, Financial District) very quickly. Our well-priced (by NY standards) standard room was cozy - okay, it was small - but very clean, comfortable and quiet. The bathroom was almost as large as the room itself; you could do calisthenics in there. Why, then, was the shower essentially a glass tube that forced one to stand perfectly straight and still in one spot? Heaven help you if you wanted to bend down to wash your feet. You'd have had to yell for a maid armed with the jaws of life to extricate you. The hotel staff was competent and pleasant, but...how should I say this...a little distant? It's a good thing that (a) I wasn't feeling lost and in need of friendly conversation and (b) that my suitcase has wheels. It's a long, lonely walk from the front desk to the elevator. Everyone in restaurant/bar on the first floor was very warm and accommodating, though. And no in-room coffee maker.....is that even legal? Yes? Well, it shouldn't be. The internet access was priced on a per-minute basis, and I'd have needed a court reporter to type fast enough to make an email reasonable. We went next door to a convenient little store/deli and paid $1 to check our email and look up some addresses - and drink coffee. It's a pleasant place to stay (the Carlton, I mean, not the deli), but somewhat lacking in the charm that we've grown to love at the Blakely. I would be happy to return to the Carlton, but heck...it's New York City, and I'd be willing to sleep in the ladies' room at Penn Station if that's what I had to do. Unfortunately, we couldn't get bargain rates there in October, either.	
Nov 11 2009 	The best stay I ever had in New York	I came to NYC for a nice weekend celebrating my anniversary. I was greeted by the friendly staff who gave me a complimentary upgrade and a nice bottle of red wine. The room was very nice with a view of the Empire State building. We definatelly had a wonderfull time and we'll surely be back again. Highly recomended imo.	
Nov 9 2009 	We Will Stay Here Again	We visit NYC a few times a year to see our son, and this is the only hotel we've chosen to stay in more than once. It's attractive, with clean, spacious, well-equipped rooms at a price that's reasonable for New York. We particularly appreciate the bathrooms because they have ample counter space to set out toiletries. Our bath this time even had shelves next to the sink . And the hotel is centrally located only a block from the 28th St. 4,5,6 subway stop, so it's easy to get around the city from here.My only criticism on this visit is of the concierge staff. When we first arrived, I asked the man on duty to recommend a restaurant in the immediate neighborhood for a light lunch. He was friendly and tried to be helpful, but he really didn't have a clue. Nor did the woman also on duty at the time. It seems to me well-trained people in this role should have such knowledge at their fingertips. Fortunately, someone standing nearby overheard my request and recommended a liitle cafe only two blocks away--&quot;Naturally Tasty&quot; lived up to its name.	
Nov 3 2009 	Comfortable stay clean and quiet. Lacks customer service though	My husband and I stayed here recently for our honeymoon. On arrival we asked if it was possible to upgrade our room as it was our honeymoon, but due to the response of the front desk, we had to quickly learn we were not going to get any special treatment at this hotel! We let that pass. We found the room very clean, the bed extremely comfortable and quiet. Air conditioning worked well as you can't really have the window open because of the constant noise from outside! Bed sheets were changed daily and bathroom shampoos, shower gels replenished although the maid removed any full bottles before our last day! The room had a big TV and a safe and provides you with wireless internet access. We hoped that we would get on friendly terms with the staff at this hotel but they kept to their selves. One even we asked the concierge if they could book a town car to take us to a Broadway show and they would not. I found this surprising as I thought they would be happy to do that for their guests. The friendliest staff there were the maids and porters who would always say good morning and have a little chat with you.Good location as it is very near the Empire State building and Macy's. We did not eat at the hotel but bought food from the many delis situated in this block. The hotel lobby was stunning, very classy and personally I liked the creepy Ghost-busters looking corridors! I would stay here again :)	
Nov 2 2009 	Just OK	Stayed in a suite on the 3rd floor. Bedroom was nicely furnished. Bed comfortable. The &quot;sitting room&quot; was sparsely furnished with no wall hangings. The bathroom had zero counter space. We moved a table to outside the bathroom to set toiletries. Outside noise was bad. Club across the street would close at 3 and it seemed like out windows were not shut. The bellman and doorman was fantastic. Had breakfast in the restaurant, messed up the order and service was sloooow. Free wi-fi internet was great.	
Nov 1 2009 	Adequate but not spectacular!	My husband and I stayed here for one week. Our room, number 703, was on the seventh floor and had the advantage of having two windows on different walls (although the one was behind the bed and had a type of metal cover which I discovered could be opened to allow more light in to the room). The room itself was not huge but included a queen size, very comfortable bed, desk and chair. The wardrobe had limited hanging space and a couple of drawers along with a laptop sized safe, (which was very useful), iron and small ironing board. Next to the desk was a small fridge which was well stocked with very expensive drinks and no space for anything else. There was also a radio/alarm clock with built in ipod docking station next to the bed.The bathroom was absolutely tiny and was difficult to enter and close the door behind after entering. Indeed the toilet straight ahead just about cleared the door. The shower over the bath was good with a large head and there was always plenty of hot water. There was also a good, powerful hair dryer provided in a small bathroom cupboard along with waffle robes on the back of the bathroom door. Toiletries were Molton Brown and therefore of good quality, but were not replaced daily even when it was obvious that there was not enough for another day's use. However the towels were replaced daily as was the bedding.There was air conditioning in the room however it was extremely noisy. Having said that it help to drown out the traffic noise so it is a matter of 'take your pick'. Also we didn't have a view from our window other than the rooms opposite, but this depends on your room's location. There was also a very large LCD television above the desk.We didn't eat at the hotel so can't comment on that, but we did have a drink at the bar and that was certainly not cheap. There are plenty of places just a few steps from the hotel to eat and drink so there is certainly lots of choice without having to go too far afield.The location of the hotel is very good for shopping or sightseeing be it on foot or using public transport. The subway is just a couple of minutes walk away and the Empire State Building, Maceys and the Flatiron district/Madison Park are within an easy ten minutes walk, or less.Having visited New York a few times before we decided to spend a little time in Brooklyn and quite enjoyed it as it has more of a town feel without all the towering skyscrapers and families seem to spend more time just slowly walking enjoying their free time. It is very easy to get to via the subway very close by. I also visited Grand Central Station again as I love the architecture inside and all the art work on the ceilings. There is also a food hall underneath where you can eat all sorts of food along with fresh juices and smoothies. I like to go to Juniors for their wide selection of cheesecake and have never yet managed to eat the whole of my portion. I also visited the New York State Library which again is very interesting inside with lots of architectural features and paintings particularly in their famed reading room. If you fancy a little fresh air then I suggest a walk or carriage ride around Central Park with its lakes and statues, zoo and carousel. Make sure you have very comfortable shoes as it is huge. Most places are either easy to walk to or a short subway or taxi ride away. Little Italy and China town are also well worth a visit and you could always join in with a game of chess or tai chi which you will see taking place in the China Town park areas.All in all, the Carlton is comfortable and certainly our room was very quiet apart from the traffic noise, but then you have to remember that you are in a very busy city where nothing stops still no matter what time of the day it is. If you are expecting absolute luxury then you will be disappointed and I wouldn't pay any more than you really need to for the hotel as it just of a very standard quality.	
Oct 20 2009 	beautiful hotel rude and lousy service	spend four nights in the hotel with my husband for our anniversary. ordered adeluxe through hotels.com and got a very good price. the hotel was beautiful, the room was nicely decorated and the bed was very comfortable. the thing is that the bathroom was very very small we asked if we cac swich into a room with a larger bathroom add they gave us another room with a larger bathroom and a very small bed. when we told them that we expecte a king bed (after all it is a deluxe room) they told us (not very politely) that if we have any problams we can take them to hotel.com since we booked through the websight. to make a long story short - the hotel is beautiful and very clean but the service as many others pointed before i did, was a absolutely terrible, outrageous and rude.	
Oct 13 2009 	Great hotel - not too big friendly 	I was a little worried about this hotel after reading other peoples reviews before arriving . I had nothing to fear. This was a perfect hotel - not impersonal like some of the big chains in horrible brash Times Square! The staff were lovely &amp; the room great although I did ask to be changed from the first room we were given - small for a deluxe &amp; poor view. My request was handled politely and the 2nd room was just what we wanted. My surprise was the lack of tea/coffee making facilities in the room but I had read about this before I left England &amp; bought a travel kettle with me &amp; mugs etc. Fresh milk was bought daily from the delicous Cafe 28 - amazing breakfasts and 2 mins walk away.	
