	location is everything	i will agree with some of the earlier posts ,The decor does look slightly tired ,It could possibly do with a facelift ,BUT the location is superb ,the view of central park is spectacular,the subway is 2 minutes away ,as are 5th and 6th avenue.times square is 15 minutes walk as are the rockefeller centre and empire state building .A great alternative if you cannot afford the Plaza ,Ritz or Trump ,overall good value for money.	
Nov 22 2009 	Poor versus the competition	New York has so many good hotels - this is not one of them. The basic fabric is tired; the hotel feels like it is ready for a major renovation. On top of this my room was just plan dirty.By far the worst aspect is the staff and the service. Tired, disinterested,poor standards and with all the worst aspects of American service culture. For example - it took me ten calls to get someone to come to collect my shoes and get them clenaed. Passed between operator, concierge and housekeping - zero interest in getting it done. Eventually someone came and when he returned the shoes I gave him $10. He then said 'the hotel carges $10 for this service&quot; but had no bill for me to pay; so he pocketed that too.The food is ok - but breakfast was delivered without items that I had ordered...I didn't bother complaining. The person who delivered it stood, quite intrusively, waiting for a tip and left whining.I had to leave the hotel at 5am to catch an 8 am flight. In the rush I left a white shirt on the floor with cufflinks in. Entirely my fault. Did the hotel call or mail me? No. I have now called twice but still no joy. To me that's theft, and it would never happen at a Four Seasons or Ritz Carlton. Incidently, the Ritz is 20 metres away - so, if you feel you have to stay in this location, go there.As said - extremely poor.	
Nov 20 2009 	Beautiful view of Central park Great Location that's it	Besides the location, nothing much more positive. Very overpriced, rooms are average, everything costs extra, bathrooms need an imploding. Invite me back when the hotel has had a major refurbishing.	
Nov 15 2009 	Lovely hotel in great location opposite Central Park	This is a lovely Hotel opposite Central Park. At first we were put in a room overlooking a grotty alley way (L7 or L9) but after a few words with the manager we were offered a room on L35 with a lovely cityview. It was a smaller bed but the furnishings were much nicer. The lower room had dark furniture that was in a bad state or repair and the view was almost as bad as a Hong Kong room! However the new room was great and very comfy. We stayed 6 nights and the hotel met out expectations. Great location and a nice boutique styled hotel. It was pricey but so are all NY hotels. I am fussy but this was great. I had read about rats and other nasty staff etc in many reviews but this hotel was really a blessing. Thanks.	
Nov 7 2009 	Filthy and dated	The drinking glasses in the bathroom had crust in the corners of them, the grout was dirty, one of my towels had something red and crusty on it and another towel had a six-inch rip down the middle, the underside of the bedspread had a number of stains, the wallpaper was ripped in the bedroom and peeling in the bathroom, and the toilet wouldn't stop running. On top of that, the bed was hard and the decor was from the '80s. Not worth the money!	
Oct 30 2009 	dated accomodations less value for the dollar ?	It is a very privileged location with an amazing view from Central Park South, therefore no doubts about the wonderful landscape and the beautiful people around it, but for the rate, it ranges from the 700's through the 500's a night, you could be better off on the same street strip, at the incomparable Jumeirah Essex, or Trump Int'l., around the corner of Columbus circle.Ok, we know they are under renovation, so they should be offering more attractive rates for guests accepting to live with that &quot;Vintage atmosphere&quot; in the old rooms. They could be adding some more value for your dollar. It is a &quot;must&quot; for NYC 'old timers (like lots of the Brazilian friends we have met there) that loves flashbacks....a &quot;revival&quot; when this was one of the few sophisticated addresses in the City; today the carpets are worn out, some a little dirty, the furniture was great in the 70's and 80's, the headboards are loose, the air conditioning is noisy and some simply do not work, like the one in the room we had slept on the 12th.floor...before moving to our original room reservation. The front desk, door men and bell captains, works fine and corteous. Responsive reception staff and correct service; but you can certainly do more for your dollar in NYC luxury scene.	
Oct 28 2009 	Average Hotel in nice location	Average Hotel in nice location, with view to the Central Park.Easy access to the 5th Avenue	
Oct 27 2009 	Great location room better than expected	My boyfriend’s work booked this hotel and I was a bit worried after reading some of the reviews and looking at some of the photos. The hotel was better than I expected, though it is dated. First of all, the location on Central Park South is excellent. Besides the vicinity to Central Park, there is a subway station (N,R lines) a few feet away. Fifth Avenue is right around the corner.We did not have a park view room, but the view was fine and we weren’t in the room much anyway. From the photos, the park views look to be nice. We had a king bed room and the bed was comfortable. The bed didn’t have a comforter, though, which was odd. There was also no fitted sheet, but had a flat sheet tucked under the bed. From looking at other’s travelers’ photos, I’m actually glad there was no comforter/bed spread. They look pretty old. There was central air which I prefer to box unit air conditioners. There was a flat screen TV on the wall and the room itself was spacious enough for 2 people by NYC standards.The bathroom is a bit dated and needs some work. The tub/shower needs to be regrouted, but appeared to be clean. Our cold water handle was stuck in the shower and I couldn’t move it. Boyfriend was able to turn it, but barely and with a lot of difficulty. The shower also didn’t drain well and you stood in a puddle of water while showering. However, I did let the hotel know about these two issues and they did send someone to fix the shower and those problems were resolved. The fuse also blew on two different occasions while I was blow drying my hair. They fixed this quickly on both occasions. The towels were nice, big and fluffy. There was turn-down service nightly which was nice. There was also a small refrigerator in the bathroom which was nice for keeping waters cold.They were doing some renovation work while there. You could hear the work going on on weekdays starting at 9am. There was a note in the room saying work would be done during work hours. Most tourists are out during those hours anyway I suppose. We did want to sleep in a bit on our last morning, but not a big deal. Would I stay here again? Maybe – only if I got a great rate. If they did some minor re-modeling the hotel could be great, but then again the prices would rise as well.	
Oct 26 2009 	Wonderful Hotel	My husband and I stayed for nights in October. I was a bit skeptical after reading many reviews. We were pleasantly surprised when we checked in. The receptionist couldn't have been nicer and we loved our room (14th floor junior suite with park view). We loved the elegance of this hotel and the staff was very helpful. Wonderful location. Would recommend the Helmsley Park Lane to anyone for its location, amentities and great staff, from the doormen on. Thanks for a great stay.csutton	
Oct 24 2009 	Great location hotel is outdated Conceirge should be fired	This hotel on Central Park South is ideal for walking to major sites in Manhattan. The location cannot be beat! We walked to ABC studios, Columbus Circle, the Frik Museum, 5th Avenue, etc. Whole Foods inthe LL of Columbus Circle is great for picking up groceries.The hotel has outdated furnishings. Beds were the worst! My colleagues all mentioned this at dinner one night, and we were all in agreement. For a business traveler, the desk and chair are not conducive to working for long periods of time. Housekeeping was ok.The front desk staff was very helpful to me. The conceirge on the other hand should be fired. He was not welcoming or helpful at all. Do your own homework, make your own reservations and you'll be better off.If you go out the back door (and turn right), there is a very nice and inexpensive (for NYC standards) spa. Had my nails done before a night out, and it was very clean. Don't remember the name, but go out the back door turn right, and you can't miss it.	
Oct 21 2009 	This Place is Pretty Bad	Ok. I've never done this before. I feel compelled to write about how bad this hotel is because my stay was awful. First, I travel a lot and have stayed at a wide variety of hotels - from rooms going for $1,200 a night to rooms going for $20 a night. I like to think of myself as a good judge of hotels. The Helmsley Park Lane was really really really bad. If it wasn't for the perfect location and a staff that is accommodating - recognizing the Hotel's shortcomings - it would be downright awful.The RoomsVery dated decor if you care about that. Hair all over the bathroom. Half eaten snacks in the minibar area. The beds were hard as rocks with springs popping out of them. It was an unusally hot day in October but the room I was in had no air condition. The room temperature reached 80 degrees. The towels were flithy. I was at the Hotel for three nights. I had dinner with colleagues who stayed at the hotel as well and shared my sentiments and encouraged me to switch rooms. The staff allowed me to do so and was very accommodating but the new room as just as bad. It was dirty and dated and had an awful bed. Oh by the way, my one colleague said she opened her window and there were dirty socks (not her's) on the floor. The rooms reminded me of one of those hotels you would see on Dateline NBC when they're investigating flithy places to stay.The AmenitiesThe rooms had no entertainment system for movies, if you like that. The lobby has no bathrooms. The lobby has no ATM. The gym was a joke. The conference rooms were small and cramped and had problems regulating the temperature (too cold then too hot)The LocationIt's right next to Central Park on the corner of 5th Avenue with beautiful shops nearby. the Ritz is right next door and similarly priced - boy did I wish I knew that in advance. Everytime I walked by I felt like the doormen at the Ritz were laughing at us for staying at this dump while paying the same or more money. Regardless, the location was perfect. But I can park a trash truck on 5th Avenue and that doesn't mean I want to sleep in it.The ServersThe Servers were very nice (some cute too). They realized that the hotel is dated and needs a major major renovation. I needed to extend my late check out because of client commtiment and the front desk took care of it. My room was so bad that I asked to change and the front desk accommodated my request. The people at the door would hail cabs and were friendly (regardless of whether the person tipped (I did)). The Park Lane better be glad it has competent staff that tries desparately to make up for the Hotel's shortcommings. * * *In all, I think people stay at a hotel for comfort, cost and convenience. The Hotel was not comfortable. It cost way too much particularly since the hotel rooms were so bad. But, admittedly, the hotel was conveniently located near a lot of attractions.	
Oct 21 2009 	Fantastic location and beautiful hotel!	Best location in NYC!! Right across the road from Central Park, a short walk away from Times Square, hop and a skip away from very convenient subway stops! Stayed at the Helmsley Park Lane on my first trip to New York in June 08 - sensational hotel with a beautiful lobby and friendly check in. Double room was large and beautifully decorated, it was very palatial and elegant. Room and bathroom were spotless and bed was extremely comfortable! Don't go to NYC without a good map and guidebook! Stay at least a week and make sure to see a play on or off broadway. Really enjoyed our time here - would definitely visit again!	
Oct 17 2009 	Not perfect but very close.	I have traveled to New york for many many years on both pleasure and business staying at a variety of hotels throughout the city icluding the Plaza, Ritz Carlton, Wladorf Toers, etc. A few years ago my wife and I happened to get a good deal and stayed at the Park Lane. We have stayed no where else since. First the hotel is a very manageable size. You don't feel like you're in Grand Central Station. Second, the location is unbeatable. Short walks to the east or west sides and great walks through the park. Third, several good resteraunts wihin a short walking distance for all levels of dining. Fourth service that is personable and WILL respond to special requests such as getting expedited room service if needed. Finally, a staff that is guest centric. We are greeted when we enter and exit the hotel and called by our last name.Last fall I has surgery at Sloan Kettering and chose to stay in the city at the Park Lane for my post op recovery. The Park Lane did everything to make that stay as comfortable as possible.To those who found their stay unpleasant a few suggestiuons1. If you get an unclean room either have housekeping come immediately or ask for a room change. Ask the manager. They will accomodate.2. For a room too close to the street where the noise is problamatec, ask for a higher room The Park Lane is over 40 stories tall. While the city view rooms are not as appealing as the Park view rooms for the view, they are much quiter as 58th street is much less busy that 59th.Finally, if you are uncertain ASK TO SEE THE ROOM BEFORE CHECKING IN!As you can tell, we very much like this hotel. I would and do recommend it to everyone.	
Oct 16 2009 	Filthiest hotel - needs to be renovated	This hotel is undoubtedly the dirtiest hotel I have ever stayed at anywhere in the world and needs a major facelift - if cleanliness matters then DO NOT STAY HERE. I moved from the first room which had broken curtains, a cracked bath and a thick film of dirt over the mini bar (M&amp;M's, water etc on the desk) that was beyond disgusting. The second room was no better, other than the size of it. I don't think the room had been dusted or vacuumed in months. The bare minimum was done making up the room and bathroom.The only thing this hotel has going for it is its location.	
Oct 13 2009 	Extremely dated	Dirty, dated, dreary avoid like the plague.How the hell Virgin can rate this as a 4.5 V hotel is beyond me, clearly they haven't stayed here	
Oct 9 2009 	Unacceptable	Our room looks like it was last decorated over twenty years ago. There are far better and cheaper places to stay in the city. I would never recommend this hotel.	
Oct 8 2009 	Best location a pleasant hotel	For the second time I stay at Park Lane, specially because of the location. Next door is the subway station. Across the street is the Central Park. Next corner is the 5th ave. Few blocks away is the Metropolitan Opera, Times Square, Broadway theater. The view from the room is one of the best I have ever seen (not the best because the window does not open). About the hotel, it is clean, towels are big enough, slippers and bathrobes are soft, beds are very comfortable and tv works fine. Furnitures are as stylish as they look old - rooms are very stylish. Air conditioner does not work as it should - this is my only concern and I hope they fix it. And to complete the stay, concierge Anthony helped us with the reservations. We got the best tables in wonderful restaurants for the same day or next day. If the says a restaurant is worth having dinner, I trust. And he makes the reservation, no matter the difficulty. The breakfast is good - food is not so appealing, there is a very small buffet, but the ambient and the view are great and the staff is incredible friendly.	
Sep 30 2009 	Comfortable Hotel in excellent location for all sights	No difficulty refusing the $15 a day internet charge. We declined the $50 a day upgrade to a park view and had an uninspiring view of the backs of buildings, but we were out most of the day. Room larger that expected and very ornate. Large bath and good shower with very nice bathrobes - we didn't use the bath towels at all during stay. Air conditioning a little noisy. No ice machines but when we enquired, we were sent a bucket of ice without charge. Concierge very helpful. Location is opposite Central Park and just yards from a Subway Station.	
Sep 26 2009 	Good location reasonable prices	Perfect location for a first timer in NYC. Can go many places by foot. Prices are good for that location, cuz it's a hot spot. Compared to the next next door neighbor, the Ritz and its very high prices, the prices are more reasonable and it's comfortable as that one. Hotel's decoration is aged but it's a good hotel anyway. See the location, forget the rest. Have a park view room if you can.	
