	Excellent location everything else was so-so	We stayed there for 7 nights - in 2 different rooms. Both rooms were noisy in the morning and you can hear people talking loudly and slamming doors. The second room we had was just next to the rooms where they were renovating which may explain the noise - not sure about the first room. The staff were mostly ok except for this grumpy lady in her 30s who was awfully unhelpful. They provide lockers at $2 per usage if you need to leave your bags at the hotel after check-out. The first room we had was very small but the second was slightly bigger and newer. The selling point for this hotel is its location at 31st &amp; Broadway which is 2min walk from Macy's and 1min walk from the subway which is just 1 stop from Times Square. Me and my wife were there on Thanksgiving and we could catch the parade literally just around the corner. Yes, if you need a cab, get one off the street for one yourself, as the reception charges a ridiculous price. Room comes with free Wi-Fi internet access and LCD tv with HD channels.	
Nov 20 2009 	Superb location. Great for the price!	I have stayed at this hotel twice.It is absolutely clean. The beds are of high standard.Modern wallmounted LCD tv &amp; nice furniture in rooms.Only thing to be ware of!Dont ask the reception to call a cab for you, if you ei, have an early morning flight!They have an arrangement with some &quot;private&quot; cabdriver, whoom charges overprices. No taximeter or nothing!So. Ask for a YELLOW cab!Have a nice stay :-)Mike :-)	
Nov 12 2009 	our brillant visit to nyc	fantastic location at a very good affordable price. It wasnt the ritz but cleaned room every day on suite heated floors in renovated rooms was brill. Coffee machine in reception only had selected times which was a pain as after a long day you want a hot drink in your room. Empire state building was a stones throw away.. Definatley would stay here again fantastic budget hotel.	
Oct 30 2009 	great little hotel	we arrived to this hotel from 10 days in a 3 bedroom 2 bathroom lovely villa in florida so my children were very disappointed when they saw the room especially when they realized it wasnt the room they had seen on the website! we have been to ny before so knew what to expect. the room was a little oldfasioned,bathroom was tiny,wardrobe was tiny t.v was on top of wardrobe!thats the negatives ,the pluses outweighed them! room was very clean,cleaned and new towels every day.bathroom clean,had no problem with shower. plenty of channels on tv for kids. staff were very very friendly and helpful,receptionist in morning was great,drew us little maps and diagrams each morning. have to give a special mention to AZIZ so helpful! gave the kids sweets,helped with our luggage and when we said we needed a taxi to airport helped us with that-we ended up in a lovely car at a great price! thanks aziz,you are a great asset to this hotel!hotel is close to everthing,especially important to us as we had 2 11 year olds with us. a couple of mornings we got breakfast sandwiches from wendys(on the corner to the left) got our free drinks from downstairs and gave the kids a relaxing breakfast in the room.(great for the budget!). after being ripped off for a couple of meals out we found a great cheap place to eat.when you come out of the hotel turn left,at the wendys turn left onto 5th,then walk up. inbetween the burgerking and starbucks is a little place called miau. they serve mexican,we had starters (nachos,cheese etc.)meal each,beers and soft drinks(free refills) for 4 of us and it was $47. what a bargain,staff were lovely aswell.we have stayed in ny before in budget and expensive hotels and found this hotel was probably the best for location/value. free safe in room was a bonus,as mentioned by others was very safe hotel. would recommend as a budget hotel.did all usual touristy things ,be aware if you want to go up close to statue of liberty or up the crown you need to book online before you go otherwise you can just walk around the gardens.	
Oct 28 2009 	lovely!	as a young traveler i wasn't too picky when i booked my hotels, i just wanted something cheap with no bed bugs, so i was blown away when i got to the herald square. it was so much more than i expected.the lobby was a bit tacky but my room was lovely, and clean! it was a bit small, but that was no issue for me.the bathroom was clean, and new!the location was incredible, i walked most places during my stay but when i needed to catch a train they were practically at my doorstep!the staff were really nice, too! i would really recommend this hotel!	
Oct 22 2009 	great hotel staff very good allways friendly very helpfull	We have stayed in this hotel 3 times central location good value staff very friendlywill stay there again We have told friends about it no frills very clean	
Oct 14 2009 	Clean and Cosy hotel with great location	My husband and I visited NYC in Sept 2009 and we came across this hotel via tripadvisor.com. Our cab driver had a hard time finding the hotel (he's a 3rd generation New yorker) and even joked that it might be a dodgy place. Our initial apprehension was put to rest the minute we stepped into the hotel. The staff was courteous and very friendly, entertaining my husband with chatter when he asked if the water was safe to drink from the tap (they say it is) and we felt very welcomed by them. A lot of emphasis was placed on safety - only 1 keycard was issued (can drop it off at the front desk if we're worried about losing it when we're out and about) and also the front door of the hotel has a security feature where by it locks automatically and would only open when one of the staffs presses a button from the office. The room also has a safe (albeit, kind of old - set the password and try it out first before you use it because it locks without having you set a password first!)The room and toilet was very clean, and had a pleasant smell (NO MOULD!) and the sheets were clean and comfy. The room was small, with just about enough room to move around the queen sized bed but when we chucked our bags on the floor we ran out of walking room. But checking out the website and the fire-escape floor plan, it seems that all the rooms differ in sizes so each room is unique. in short, i didnt get the room as featured in pictures on the website, but we were satisfied with the room nonetheless. Location wise, we were very close to 5th avenue (though 5th avenue is very long so you have to walk a bit along 5th ave to get to the shops) and a street away i think from the empire state building. what my husband and i really loved was that we were so close to the harold square station for the subway, and it was quick and easy for us to get about (less than 5min train ride to the natural history museum!). There were many subway lines going up and down town so it was a real convenience. There's a pharmacy across the street, a restaurant just downstairs and Koreatown just around the corner (The Korean restaurant behind 31st street called Mondoo is a ripoff!). Also, Macy's just about a block away, near the harold square subway entrance. If you intend to ship back your shopping, there's a post office right downstairs too, to the right of the hotel when you exit. It was raining a lot when we were there, so we called in some sandwiches (Speedy's) from brochures placed in the room ($1 per local call out!). Neighborhood wise, it's a street away from the quieter areas so if you're the cautious sort it'll be good for you to pay attention. The street which the hotel is on is safe and busy in the day, and in the evenings you can walk over to the irish pub which is about a 5min walk.The only thing unsatisfactory during the trip was that they were doing carpentry work on a room on my floor - you can hear an electric saw ripping at 6am in the morning. It took me 26hrs to get to New York and I was suffering terrible jetlag so the noise was not appreciated. But overall, aside from that issue, we were very pleased with the hotel and we would most definitely stay there again if for some reason we have to go back to NYC.	
Oct 13 2009 	really good hotel in midtown	Stayed with my husband a week in the Herald square hotel in the beginning of september. At first we were offered a very small room, but when the staff realised we were staying a week they came with a bigger one. All very clean and quiet.positive: near a few metrostations, in a nice and central neighbourhood, quiet street, nice staff.negative: free coffee/ tea is nice, but why on certain times? We were allways to early or too late.To take a shower was really a challenge: it is difficult to get the temperature you like, allways too hot . So like an other reviewer suggested before: I mostly took a bath.But the price in relation to the quality is good, so I would certainly stay here again.	
Oct 13 2009 	VERY happy with this hotel	I've just returned from a nine day stay at the Herald Square Hotel with my two sons aged 16 and 12. I got a good price booking direct through the Hotel. After I had made my booking I was comparing other rooms and got a cheaper price on the same room, duration etc. I called the Hotel to ask about the difference in price and the person I spoke to told me &quot;prices are subject to change, if you see a cheaper price, cancel your original booking and re-book&quot;. I did this and saved AU$1000! On arrival in our room, which was a two double bed room I was thrilled, room was not &quot;tiny&quot; as everyone had assured me nearly all rooms in Manhattan were. We had a wall mounted flat screen tv, very decent sized bathroom with bath and INCREDIBLY comfortable beds. The room was very clean and although the hotel foyer, hallways etc weren't very impressive who cares?? You don't sleep in the hallways! We were on the ninth floor and as you looked out and up from the windows the Empire State Building was right there. Another great thing was the ability to open the windows!! I HATE air conditioning, so nice to sleep with fresh air coming in but when it did get a little warm we switched on our individual air-con. Most of the staff were very friendly and helpful. A couple of days before we were due to check out I suddenly discovered I had no money left on my travel card because the Hotel had double charged me for our stay. I spoke to the Manager who handled the matter swiftly and professionally, calling his bank and mine and getting the money refunded. This was our first trip to the US and I couldn't have been happier with our Hotel, so nice to have somewhere clean and comfortable to go back to after walking the streets of this fantastic city all day! As many other people have said you also can't beat the location, close to all the action, Penn Station, Empire State, Times Square, Macy's etc but very little noise (save for the ever-present car horns!) so sleeping was comfortable.	
Oct 10 2009 	value for your money	I was in the city to spend some time with my daughter who was staying with friends. Transportation is all nearby, the rooms are peaceful; no noise in hallway. You get to really rest at the end of your day. There are restaurants very close by where you can acces meals at any time. If you need to get something washed, you can do it yourself quickly in the well appointed laundry room. To use a common expression &quot;you get the most bang for your bucks&quot; at the Herald Square.	
Oct 9 2009 	The best return visit ever.	This hotel is awesome! Even after our previous stay we are still impressed anew. We have never had a better stay in a New York Hotel. From the magnificent entryway, with that cute cherub over the door, to the art gallery on the walls everything demonstrated a care to detail that can not be beat. And the rooms, absolutely magnificent! The bathrooms are outfitted in period hardware, and they are immaculate. The beds are the most comfortable we have ever found in a hotel anywhere. To top it all off the staff are responsive, cooperative, and helpful. In many instances they anticipated out needs before we even expressed them. And all this for an incredibly reasonable price. We booked directly, found it over the web, read some reviews on the internet relied on the recommendation of friends who were spot on about this place. On top of all that the location is perfect for exploring and finding your way around the city We will definitely stay there again and again when we visit New York.	
