	Kimberly Suite	We had a two bedroom suite with an outside deck with limited but nice views from the 19th floor. Full compact kitchen, two baths, really nice older hotel. Lots of action by the lobby and out on the street.	
Nov 23 2009 	A Little Disappointing	We are a family of 5, two adults and three children between the ages of 7 and 13. Travelling with a family of 5 can be tricky in NYC due to extremely rigid room occupancy regulations. After a lot of research, we decided on the Kimberly based on the size of the room, location and the good Trip Advisor reviews. The Good:1.Our room was HUGE...especially for NYC. We had a three bedroom/two bathroom suite. It was on two floors connected by a 70's style spiral staircase. My kids thought this was the coolest thing ever! 2.The rate for a room of this size was great (not cheap, but great for the size)3.The beds were very clean and extremely comfortable. The linens felt new. 4. There were nice flat panel TV’s in each room. 5.The location was great. We walked everywhere...Rockefeller Center, Broadway, Times Square, Dylan's Candy Bar. The Not As Good:1. The carpets were old and in need of replacing...or at least major cleaning! I would not have walked around bare foot!2. The bathroom definitely needed updating...along with all the major permanent fixtures in the room (closet door, railing of spiral stairs, non-working safe etc.). 3. The mini fridge had soda spilled all over the inside of it...how can they charge for the mini bar if no one looks to see what you ate/drank?? Maybe it had been a few days since this room was occupied because the soda looked sticky rather than runny...although I admit I didn't touch it! Some of the soda had leaked into the cabinet holding the fridge and there were a ton of ants enjoying it...Yuk!! We called the front desk and they were very responsive in coming to clean.4. Well, we tried to call the front desk that is. I had to call from my cell phone because none of the many phones in our room were working. However, once again, they were very quick to send someone up to fix the phones (which are also outdated, btw). 5. The bathrooms, while clean and spacious, are also in need of major updates. Other than the grey and white marble on the floor, everything looked like a perfect 1970's bathroom.6. There was a balcony off of the second floor bedroom that we did not use but which was filthy and looked as if no one had stepped foot on it for many months. I stepped out onto this balcony for a moment and saw that there was another door leading to the hotel which was standing wide open. It looked like it might lead to another room or a service hall way or something and gave me the creeps. I went back into our room, locked the door and didn't venture out there again.One side note...the restaurant next to the hotel...Nikki's...serves a great Sunday buffet brunch. Very reasonable rate for a ton of basic, well prepared, all-you-can-eat brunch food. The hotel's restaurant was under renovation during our stay. Overall, this room more than met our needs...but I am left with a little bit of a “yuck” feeling and am pretty sure that I would not return.	
Nov 16 2009 	Classic New York Hotel	I had the pleasure of visiting the Kimberly the weekend of 11/15. I didn't know what to expect as it looked like it was an older property going through some renovations. We got to the hotel, and it was obvious that it is an older, classic NYC hotel. There was scafolding, and the lobby is a bit old fashioned. Going up to the room, carpets kind of old fashioned, but it is in keeping with the style of the building and the rest of the decor. We were given a room with a balcony on the 17th floor, and we were not dissapointed, in fact, I was quite impressed. The room was like a regal New York City one bedroom apartment that was still classic, but recently updated. The furnishings, although ornate, were magnificant, and clean, clean, clean. The room was fresh and spotless. The bathroom was probably the biggest, most well-appointed bathoom I have ever seen in a hotel. I didn't want to leave the shower! It was huge, and featured a tremendous rain-shower head, and a hand held sprayer. It was great. It cannot go without saying that the place has some value to it as well! I cannot speak about the actual room price as we did not pay for it directly, but what was amazing to me was the overnight parking was only $30 a night! Quite a value for NYC!. In addition, the mini-bar prices were quite reasonable- a rare for NYC hotels, AND, although we didn't take advantage of it, since the restaurant was closed for renovations, the Kimberly was offering 50% off of room service! I couldn't believe it. Quite a lovely offering. This is a great hotel, and I would be happy to stay there again.	
Nov 9 2009 	Best hotel in NYC I've stayed at	The location (mid-town) was convenient. The room was clean, and had all sorts of amenities. There was an iPod dock (and radio alarm clock in one), a coffee-maker (and also tea available), a small refrigerator, a microwave, a bathroom scale, two white terry bathrobes and slippers, two umbrellas, a small safe, and even an electronic shoe-shiner. They had the usual shampoo and lotion (Neutrogena brand), but also had conditioner (which I’ve noticed a lot of hotels don’t have) and mouthwash. So, more than you usually see in a hotel room. By New York City standards, the room was definitely large, and that was a nice surprise. The bathtub was also quite large, great for a bath. The shower pressure was good. They used Neutrogena shampoo, conditioner, and lotion, which I liked—I like nothing too perfumed or fancy. The bed was extremely comfortable for me—not too soft and not too hard. Lots of pillows. There were also two nice chairs and a table, a desk and a chair, and an enormous widescreen TV on the wall. The front desk and lobby people were very helpful and pleasant. I was very happy with the hotel and would definitely come to the Kimberly again.	
Nov 2 2009 	BeautifulQuaint Hotel - Great location and # 1 in Customer Service	I have been to NYC several times for business and leisure. The customer service provided at the Kimberly was the best I have ever experienced. The bellman never failed to open the door or get a taxi immediately. The rooms were cozy, comfortable and immaculately clean. The view from the 27th floor was awesome! Also great little cafe next door!	
Nov 1 2009 	good stay	stayed here for 1/2 term trip recently with friend and 2 teenage girls. Suite format of rooms worked really well and the area seemed safe for girls to walk out on their own even in the evening.Staff responsive and friendly. Many of them had been at the hotel for many years - always a good sign.	
Oct 12 2009 	Wonderful Hotel!	We stayed at The Kimberly Hotel from August 28 until September 1 and thoroughly enjoyed our stay. We saw some comments about it being dated but it was lovely. My husband and I stayed in a one bedroom king suite with our 12 and 9 year old and we were very comfortable during or 4-night stay. The king bed was absolutely wonderful and very comfortable as was the sofa sleeper for the kids. There were two flat screen TVs, on in the living room and one in the bedroom. The living area was very nice and the kitchen was just perfect for our needs. The balcony was small but nice. The bathroom was pretty small but it was newly remodeled and the shower was great with plenty of hot water even after 4 showers. The hotel's location was great! We were close to everything - Times Square, St. Patrick's Cathedral, Rockefeller Center, Broadway, SOMA, etc., etc. I highly recommend this hotel - It's a great price for the area and cheaper than Embassy Suites!!	
Sep 8 2009 	Very good affordable accommodations in Midtown Manhattan	Stayed here as part of a weekend group trip. I was pleasantly surprised by how nice this was for the price and location. My room had a separate bedroom and living area and a small kitchen. It was clean and quiet. The bed was comfortable. I would certainly consider staying here again.	
Aug 29 2009 	Geat Hotel with spacious rooms	I enjoyed my stay in the Kimberly its location is very convenient. I stayed at the One bed room executive suit i was very spacious and comfortable. The staff are amazing specially Mrs. Dusty who was very helpful at the concierge and made alot to make our stay in NewYork a great stay.	
Aug 11 2009 	Spacious room for a good NYC rate	We reserved a room at the Kimberly Hotel on 50th St. between Lexington and 3rd Avenue in Midtown Manhattan. They stowed our luggage since we arrived very early in the morning of the day of our checkin. We had requested a King bed rather than two doubles, but that is not guaranteed and we knew this ahead of time. We were complimentary upgraded to a deluxe King room with a spacious marble bathroom with multiple shower head shower stall and separate jetted tub, seperate water closet and double sinks. Our room had a balcony also. Stepping out onto the balcony we had a view of the East River. Employees were helpful offering assistance without any request on our part necessary. We never saw housekeeping but always returned to a freshened room. It was convenient to the subway system. We had a table and two chairs and a very spacious sleeping area this was not a cramped room and modestly priced for NY.	
Aug 11 2009 	Extremely Efficient Comfortable Convenient Hotel	I attended a regional conference at the Kimberly's new board room and stayed at the property. The one thing that struck me about my first stay here was the extreme efficiency of the staff. As a customer, I was not only recognized but valued. This showed through at the front desk, at the bell stand, by housekeeping and by the meetings staff.The rooms are extremely well appointed, luxurious and comfortable and geared towards both business and leisure guests. The bathroom was extremely impressive (large space) as well as a rain shower, a weighing scale and great soap products.The bed has multiple feather pillows and is extremely comfortable. The closet is a walk-in, fully closable closet with a safe that fits a laptop, which I greatly appreciated.	
