	Great position and excellent rooms with a view	This was my third stay at the London in the past 12 months and it continues to be excellent.Book a &quot;Vista Suite&quot; and you will get a room with a separate, generously proportioned sitting area with a bay window and a big curved sofa where you can sit and read the New York Times over coffee and a spectacular view up Central Park (and both rivers if you are on a high enough floor). I really believe these rooms to be great value considering size/cost options of other mid town hotels of this standard. Located just a couple of blocks from the park, shopping on 5th avenue, Carnegie hall and only half a block from Moma, this is the ideal position for a long weekend in NYC. It feels like your very own private apartment. While some of the newer boutique (hip) hotels may eclipse the London for the &quot;cool factor&quot; , this hotel offers good looking, functional, immaculately clean rooms (that still smell brand new because they have never been smoked in) that are above all, quiet. I am getting too old to want to hear the thumping of a hotel bar at 3:00AM and the London is pleasantly peaceful. The restaurant food is good, especially the breakfast selection. The gym is very well equipped and there is free WiFi. The concierge department are very helpful but the doormen remain just a touch edgy. In all, you cannot go wrong with choosing the London.	
Nov 18 2009 	Best Sized Rooms in New York For the Money	Recently got married in NY and chose The London as our hotel after a recommendation. Lets just say the recommendation lived up to its promise. The rooms were really spacious with a standard room having its own seprate living room. Double head showers, massive beds with a very modern design. On an earlier trip to NY i had eaten at The London at Gordon Ramseys restaurant and that was nothing less than superb also. The bar is a little pricey but hey you get what you pay for, and here you get a lot. Get involved.	
Nov 18 2009 	Reception staff have very bad attitudes very unfriendly unhelpful	The reception staff at the hotel are very unfriendly, unhelpful and are not interested in you just your credit card, all they want to do is stand there looking pretty, and they think there so special and you are just a pain for being at the hotel.The rooms are great, although the mood lighting is just a strip of rope lights, nothing specie. The breakfast was a joke $35 for 1/2 mushroom, 1 strip of bacon, 1 sausage, 1 egg thats it.. not worth it.	
Nov 16 2009 	Very disappointing 2nd visit won't be going again...	We had booked a room for 3 adults sharing and were given a king size bed no rollaway. After discussion the rollaway was provided and the &quot;misunderstanding&quot; attributed to Travelocity inability. The room was smoking and smelt like it! The hotel staff said can't too many times and they didn't try in the way you come to expect from American hospitality. In the restaurant drinks were served in chipped glasses and residents bar closed at midnight - not great when you are in positive jet lag zone! I had been in before in April and recommended it to my friends as a treat and somewhere to meet up. I was disappointed how standards had fallen in such a short time. It is however a fabulous location to walk to all the main sights and attractions.	
Nov 6 2009 	Front desk staff have attitude!	Stayed for 4 nights in half term, staff stand offish , thought the hotel was overated.Great location and large rooms but dark and dingey spring to mind when you enter the hotel. Watch your credit card, they charged another room to our card and a week later we are still emailing to sort out the problem.	
Oct 29 2009 	THE BEST EXPERIENCE EVER....My new favorite hotel	It was love at first sight when I arrived with my best friend Norman, The hotel is exquisite, and surpassed all of my expectations. The suites are spacious and spotless, the service impeccable. The best part of our stay was absolutely the incredible staff at the London, who provided us with the kind of warmth and professionalism that seems to be absent from most other hotels. The concierge desk was our favorite place to be. Two gentlemen in particular, Richard and Tim, helped us with everything under the sun, and were by far the most lovely people to deal with. The London should seriously consider giving Richard an award for employee of the century. We adored the night managers, the hip and friendly doormen, and pretty much every single employee we came in contact with. I was looking for the general manager, to speak to him in person about this, but I will write him an email tomorrow. I got home tonight, and am already planning my next visit. I literally had an out of body ecstatic experience here. If you'd like, compare my recent review of the Cliffhouse Inn in Ventura California. It is a study in contrasts, the agaony versus the ecstacy.	
Oct 27 2009 	Loved it! Perfectly located!	My husband and I did extensive research on where to stay in NYC. This was our first trip since our children were born (5 years) that we were going to take alone. We knew we wanted a hotel near Times Square and one with large rooms. We thought, initially, that we wanted to be IN Times Square. However, after our initial research, we discovered a lot of the rooms closer to Times Square a VERY small (seems almost like an NYC standard). The rooms here are all-suite, large, and nicely decorated. The floors in the living area are parquet, which is nice (though the cooler the weather, the cooler the floor). The bathroom is GORGEOUS (we had a room with a dual-shower) and filled with everything you need: shampoo, conditioner, hairdryer, showercap, etc. The bedroom (we had a room with a king-size bed) was large (though a little dimly lighted) and had one of the most comfortable beds with the best sheets ever! We slept like champs all weekend long.I've read complaints about wardrobe space not being large enough, but we didn't have that problem at all. In fact, the two of us also went on a bit of a 5th-Avenue shopping spree and still had plenty of room to hang things.We ordered room service on our last night and ended up sharing just a sandwich. It was good (the steak sandwich with fries), but not exceptional, as the price would lead you to believe. The fries were just regular, old french fries. I was a little surprised. The service was great and the staff was attentive (we didn't need much assistance from them, thankfully. I don't like staff constantly nearby or in my room or knocking on my door, though. I'm not at the hotel to meet and talk with the staff, I'm there to rest my head. The less they are seen the better, I think).Overall, we had a wonderful stay. The hotel has free wireless Internet service; a minibar that's overpriced but has good stuff in it (aren't they all overpriced?); it was close enough to Times Square that we could walk to the theater yet far away enough that we couldn't hear the noise from it; we even walked back to our room from Central Park and 5th Ave shopping.	
Oct 19 2009 	Midtown Mid-market and Middling	Not a 5 star and unlikely to get there. Nice enough rooms - a little &quot;Wallpaper 2004 vintage stylistically&quot; - intermittent aircon, inadequate wardrobe/closet space for even 3 day trip. Fast elevators - good concierge - service otherwise haughty and for no reason (tip - go stay at the Four Seasons or Carlyle and see how they manage to be helpful and friendly).All in all - an over designed 4 star at junior 5 star prices	
Oct 19 2009 	Great!-Long Term Stay	Was very excited when the cast from Gossip Girl was there eating/at bar!Stayed here on while working for about two months in the city. The concierge was great always sent me o local places. As for people say that they were full of themselves maybe a little but Im from LA so Im use to that. The rooms were good sized, they knew i was satying with them for a while so they gave me a room with a terrace(dont think i was suppose to use it considering i had to climp ove the couch and threw a window but it was well worth it for the extra space. Only issue the room service was a little formal, well it is gordon ramsey and pricey. Other issue no closet just a coat device and two drawers.Normally stay at the regency lowes but i loved the change.Was very excited when the cast from Gossip Girl was there!	
Oct 17 2009 	Still good but no attention to detail.	Second visit to The London NYC* Staff is going through the motion. No smiles and no attention to detail.* Still love the spacious room.* Best location for midtown. Close enough and far enough from broadway* Add a comment to their facebook page and if they don't like it, they will remove it...* Just don't ask for anything and you will be OK.* Great gym.	
Oct 15 2009 	great rooms - fantastic location	Friendly, helpful and professional concierge and lots of them - but only one receptionist meant a queue to check in and a queue to check out, not what I expect of this class of hotel. The room was very large and stylish, room cleaning was excellent. Location is fantastic on 54th St. which is a quiet street next to Broadway which also has a handy Irish pub and a great cafe/diner for breakfast.We dined at Maze but it was a disappointment. I've experienced better menu's, better food and more knowledgeable staff in plenty of other restaurants. My ($50+ a bottle!!) of NZ wine was served too warm and then the waitress was reluctant to put an ice bucket next to our table - never worked out why though.In summary we'll definitely stay at The London again but won't bother with the restaurants.	
