	The Manhattan Club	I found this hotel to have very comfortable accomodations. Travelling with a family or group, it is ideal as a place to sleep and relax. The services were excellent, catering to just about every need and giving excellent suggestions, whether it be for dining or theatre or a museum. The location is perfect. Right between Times Square and Central Park and across the street from Carnegie Hall	
Oct 19 2009 	The Manhattan Club is a fabulous location but not as fancy as I expected.	The room was not as luxurious as I was expecting. We've stayed in many nicer Wyndham resorts. It was nice and the location is fabulous. You can walk to many New York landmarks. There were a couple of minor maintenance issues that needed attention. The front desk employees were more helpful than the concierge. I would stay there again because of the location. There was a breakfast available on site, but it seemed very pricey for what was offered. There were several good restaurants close by that the front desk directed us to.	
Oct 9 2009 	Centrally Located	Our experience staying at the Manhattan Club was pleasureable. We stayed in a one bedroom and it was spacious for New York standards. There was a fitness room on site,but we didn't use the facilities. They served fresh coffee and tea and cookies from 11am - 4pm in their Owner's Lounge. It's centrally located. We were able to walk to Central Park, Times Square, Broadway and subway entrances.	
Oct 7 2009 	A Great Deal If You Can Get It.	My wife and I stayed for a week in September. This was our second stay here. Both times we were in a one bedroom suite. The suite consists of a separate bedroom with a king bed, flat screen TV, closet, plenty of drawers and a bathroom with tub and shower. Then there is a separate living room with a TV, an eating area, a mini kitchen and another bathroom with a shower. There is daily maid service, good towels and bath amenities. We were on the 25th floor with an east view and windows that opened. The decor is functional, mid-level but clean and more than adequate. On our stay the elevators were running and our limited staff encounters wer also fine. We had done the time share tour last visit so they left us alone.I read the mixed reviews. I know they were having elevator problems but they are now ok. Of course, the location is the best. Easy walking distance to MOMA, Lincoln Center, Metropolitan Museum, Central Park, Whole Foods, etc. Plenty of restaurants in walking distance and easy subway and bus access. From our perspective, the best part is that we get in on a timeshare swap thru RCI and the cost is minimal compared to the rack rate. As one of the very few timeshares in NYC its not easy to get into but our timeshare company seems to make a deal to make it available. Don't know if I would pay $500 + a nite but as long as we can do a timeshare swap its a great deal and a great location.	
Aug 26 2009 	Great Hotel with the best possible location	I love the Manhattan Club for its location and the energy of New York city. The hotel is well kept and the room size is large for a typical Manhanttan hotel. I can't wait to get back	
Aug 11 2009 	Excellent location and value for money	A last-minute booking but well worth it! Stayed here from 30 July 2009 for 10nts. Spacious rooms &amp; friendly staff. Bath &amp; Body Works amenities. The beds are quite heavenly. Nothing much to say about the lobby and the elevators though, but it's no biggie. We especially loved the business centre on the 26th floor - 5 computers readily available for guests to use, and you can print, too. Times Square is just a 5minute walk. Close to lots of shopping like GAP, Daffy's, etc. Subway is almost next door (57th Street) - Columbus Circle is less than a 5min walk. Very close to Central Park. We really liked this place.	
Jul 30 2009 	We had a great stay.	We stayed at the Manhatten Club as part of a timeshare sales presentation. This was our second time so all we got was a room at the MC for $150 and free parking. The first time we got 2 show tickets a $25 gift card and a free night at the MC. We payed $200 for a fabulous room at the Millelium Hotel. The presentation was not hard sell and kind of fun. The MC is an old building refurbished nicly, but with not enough elevators, so the wait at 4pm and 10am can be quite long. The room was large, clean, attractive and everything worked. The only negative is that when every anybody took a shower or ran the water you hear it. It was not loud but annoying late at night. The location is the best feature. I would stay there again if the price was right.	
Jul 1 2009	Heads up.	Lets start by saying it's 3:30 in the morning, I'm physically in my room here at the Manhattan club, and I'm so upset I had to write a review. When trying to make reservations one person told us there was nothing available for almost a year. When we tried back again a few days later, a gentleman said &quot; We have anything you want available, just give me the date you want to come and well make your reservation.&quot; and with no problem, we were booked. Strange. We get here and TRY to check in at 4 p.m, which is the check in time. We proceeded to wait 45 minutes because our room was &quot;not ready.&quot; The lobby filled in no time with people who's rooms were &quot;not ready.&quot; The front desk clerk gave us attitude for asking her how much longer it would be. If check out is at 11 and check in is at 4, does it really take 5 hours to clean the room? (word round the building:if you stay past 11 they charge you $50. But no compensation for making us wait in the lobby?) We get to the room and there are paint chips in random places throughout it. Wall paper falling off, numbers on the granite tiles (where the builders were counting pieces or something), there is a huge scaffolding outside our window, the toilet paper roll fell apart because there was no spring in it (tp now sits on the floor), the toilet seat in the other bathroom fell off upon sitting on it,all of the brass fixtures are corroding, the blow dryer burnt out, and the elevators are extremely slow. Ok, not a huge deal. The thing that did it for me was moving from the bedroom to the living/sitting room with the pullout sofa bed. The bed was broken. The entire couch came along with the bed while pulling it out. One side would come out, the other would go in. I finally wrestle it out....3:30 in the morning...to find that when I sit on it, it collapses in on me like a sandwich. I am now forced to sleep horizontally, in the crack/fold of the mattress with my feet on a chair. It makes me think, &quot;someone came in here and made this broken bed up with sheets, a blanket and a pillow. Then put it back into the sofa, and left it for the next customer/guest&quot; I am not pleased. To say the least the location is great and the internet works. The TV's do too, but the remotes are missing battery covers. The concierges were ok, got the task done, even though they bickered back and forth about a location of a certain store. This is not as upscale a place as they sell it to be. Maybe a &quot;Howard Johnson does Manhattan.&quot; Very disappointing for the amount of money they want.	
Jun 28 2009 	Great Stay	I was very worried after reading the awful reviews, but our stay was great. The room was large and clean, with a queen bed and a pull-out couch. The staff was friendly and helpful, and the location was great.	
Jun 25 2009 	Great Location for Central Park 	My wife and I stayed at the Manhattan Club for our annual trip to NYC for a Guggehneim exhibit. We found this place through a Home show in Maryland and knew it was a 'time-share' and we were going to sit through the 'time-share sell'. The hotel is going through renovations but great quality of the rooms. Recommend the 26th floor bar as he pours a mean scotch on the rocks (little ice). Typical elevator problem that every highrise has in Manhattan, slow rise rate so it takes a while but we were going in and out not during 'heavy-rush times'. Would stay there again for the location to Central park, Subway, etc.	
Jun 20 2009 	Buyer Beware...Stay at the Park Central next door	I use to own a timeshare here. The staff for the most part are RUDE. The tv was broken on one occasion and no one ever showed up to check it. I have seen this place go from very nice to pretty bad over the years. Wall paper coming off the walls, cracked tiles in the bathroom, overall maintenace of the place is very poor. The conceirge desk while helpful, wern't there some of the time and some of them act like they're doing you a favor by helping you. Someone needs to tell them, IT IS YOUR JOB TO HELP ME! Another time the all of the elevator's were broken, yes, broken and they had us go through through the back , in a dark hall and use the service elevators. The elevators in general take forever to get too.The front desk are awful people to deal with...I showed up and they told me check in wasn't for another hour. I waited, and waited only to have some guy walk right up and get his key. When I asked why I was still waiting, there was a snappy, answer back...your room is not ready. The key is to ask are there any rooms open? They will call and bug you on the phone to buy the timeshare. DON&quot;T BUY!!!!! PLEASE DON'T BUY. This place started with inflated prices and now, have sky rocketed into more inflated prices. AND YOU WILL NEVER SELL IT AND YOU WILL NEVER GET YOUR MONEY BACK AND THE FEES ARE OUTRAGEOUS AND KEEP GOING UP.When I bought one I spent $20,000 and when I sold it, no one could buy it, because they have a buy back clause that they get first crack at it. You don't know if they will buy it, but no one else can either. Then when they buy it back, which happened to me...I only got $4,000. YES, $4,000. iT IS THE BIGGEST LEAGAL SCAM I HAVE EVER SEEN! STAY CLEAR!	
