	Great comfortable room in a stylish hotel	We booked two deluxe double doubles and the rooms were spacious. The beds were comfortable. The room was very hot despite turning off the heat and turning on the A/C. The second room had some plumbing issues. The staff was really friendly and helpful and displayed none of the superior attitude that you often encounter in upscale hotels.	
Nov 23 2009 	Good hotel in midtown	I have stayed in a number of hotels in mid town as our NY office is located there. Initially I used to stay in the Carlton on Madison but Marcel is a better price / quality deal (and my company is cutting costs). I travel to NY every quarter and stay there for a week. The Marcel is now the preferred choice because the rooms are modern and it has a cosy / artsy feel to it. The rooms are not that big but they are functional and the bed is comfortable. The ac is noisy which can be annoying in summer (my colleagues in different rooms had the same issue) and road noise can be heard somewhat in most rooms (although many hotels there have the same issue). I have also stayed in the Holiday Inn (ok but expect it to be run down quickly), Roger Williams (needs a refurb), Kitano (bit old style, but comfortable and roomy) but the Marcel is better. The separate bar/restaurant next door is a neighbourhood hot spot, lively and a good addition to the hotel. The breakfast is to be laughed at. I am not sure if they still do it but the first time I had my breakfast there I received a plastic plate, bowl, knife and fork! Obviously I did not go back to try that again. All in all a good hotel at a reasonable price that I would recommend to anyone, except the super demanding.	
Nov 23 2009 	Fabulous Hotel!	After reading some of the reviews on here, I was a bit worried about what the hotel would be like. This was my first trip to New York, and on arrival to the hotel the first thing I noticed was the politeness of all the hotel staff and the cleanliness. We had a lovely receptionist who gave us great tips on what to do during our stay. Ok yes, the rooms are on the small side, but big enough for what you need them for!!! Could of done with a big mirror in the room though....! I loved my stay here, the staff were fabulous and so so helpful( they answered all our questions, arranged trips and transport to the airport. Nothing was to much for them), I loved the funky rooms, and the location was perfect. I would definately come back to the Marcel.	
Nov 22 2009 	Good find - space a little limited	We got a fabulous rate on eBookers for just one night here -booked because it is in a different part of town - we have been to NYC about 7 times and always stayed up in the 40/50s region. We dropped off our luggage around 11:30 - the room wasn't ready until 3, and we were offered an upsell for $30 which meant we would have the room immediately. We didn't bother as we had to return the car and do some shopping. We strolled down 3rd from 48th and was amazed at the residential feel and the number of restaurants! It was a very friendly welcome in the hotel and the decor is very funky.OK lets be honest it was the smallest hotel room we have ever had anywhere in the world! But we knew this by reading the reviews -I guess we were not prepared for just how small. It was clean, beautifully decorated and stylish. And small. It was a bit of a logisitical problem of where to put our 3 suitcases. Toiletries in the bathroom were of good quality and the shower - withover head rain - was great. We had an early flight the following day - the hotel kindly ordered us a town car which was only $55 to JFK.I would stay there again but perhaps upgrade the room!	
Nov 18 2009 	Mediocre at best	This hotel was average at best, and once your factor in price its totally not worth it! Overall this is a really small hotel with an extremely awkward layout. Once you get off the elevator you feel like you are walking through a maze to find your room. Like many reviewers have said, the rooms are really small, but I am used to staying in NYC so that didnt bother me so much, what I disliked most about the room was lack of privacy and noise control. I could clearly hear conversations of guests in neigboring rooms spoken at normal volume - which means they could hear everything I said too, and if street noise bothers you, you should know you can hear everything happening outside too. It is in an older building that lacks any insulation/noise control, rather than considering guest comfort and privacy and doing work to fix this, they have tried to make it look like a modern hotel by covering it up with cheesey decor that tries too hard to be swanky and cool . The bathrooms were poorly designed, and in an attempt to be sleek and hip they chose to use an immoble glass plate as a partial screen instead of a shower door or curtain. The bathroom was laid out in a way that it required you to literally climb over the toilet to get around this glass partition and into the shower. Then this partial glass wall didnt even block the water, so when you climbed back out over the toilet you had to be careful not to slip on the now wet tile floor. In a nutshell this hotel seemed to be trying too hard to be hip with its design and lacked real quality. For the price they ask you can do better, not sure how they got a 4 star rating.	
Nov 18 2009 	Great Location	If you are out and about during the day and busy in the evenings, then the Marcel is well located and comfortable for weary sightseers. It is not a hotel where I could fill in an entire day. Rooms are small, but comfortable with a 'boutique' feel. The position of the hotel is excellent. Breakfast at the hotel was pleasant and convenient. Staff were very helpful. My only complaint is that there was often a long wait to use one of the two (only) computers available for internet access.	
Nov 16 2009 	Modern and comfortable boutique hotel	This was my second visit to The Marcel. Many of the rooms are very very small. However, if you are lucky enough to stay in a room on a corner or another larger room - they are GREAT! The staff is great... very kind and accommodating. This is a really nice NY boutique hotel. I would not have any hesitation recommending it. All bathrooms are pretty small, but the beds are comfortable, there are robes, wireless (charge), large flat screen tv's, etc.	
Nov 15 2009 	I'd love to go back	We got a discount, so we definitely got value for money. Large rooms for NYC standard. Nicely decorated hotel.Free use of computer and internet. Staff wasn't too helpful, but they smiled alot. 	
Nov 14 2009 	Marcel is a good NYC Option for liesure travel - Go with an open mind	My mom and I stayed at the Marcel two nights on November 5-6. The first night my mom and I arrived about 10:30p. We were greeted by a pleasant staff at the front desk and given a room with two double beds on the 2nd floor. As we get off the elevator, there is a weird smell. We find our room. The room is a modern decor and plenty of space - this is NY, the rooms are small here - expect it and if you get a big room then you will be all the more pleased. At any rate, as I am walking about the room, I hear a very loud noise coming from outside the window. I open the curtains and see nothing but metal and pipes - apparently it was the heating/air conditioning system consuming the entire view and making very loud noises. As I go to sit down on one of the beds, I am like Mom, does it smell funny in here? Yes, it does and I see an ash tray on the mini bar area. I call down to the front desk and say...is this a smoking room? Smoking is optional on the 2nd floor. Well this explains the awful smell on the 2nd floor. I ask for another room, I can't sleep in that odor. She says so sorry I have nothing else for you. Tomorrow you can move. I am frustrated and state that I can't sleep in this odor. She says the only thing I have is a room with a queen size bed. So my mom and I have no choice but to move to this room if we want to get any sleep (both from the odor and the mechanical noise outside our window). We are moved to the 6th floor. This is a small room with a queen size bed. The room faces the 24th street. Now for the good things... we slept just fine other than being snuggled up in a queen bed for two nights. I have stayed in other NYC hotels around town and found that this one was quite despite what a few others have said. The room was very clean and the location was good. We were able to walk up to Times Square and Chelsea easily and caught the subway to go other places around town without issue. There is a Starbucks a block away as well as drug store, restaurants, bakeries, and bars. Pretty much anything you could need is close by. We booked our room online for 241.00 per night which after much research I think is a very reasonable price for this hotel considering you are in NYC. My only complaint is the fact that they did not accommodate our room choice - two adults (and not a couple) were basically forced to sleep in a queen bed when we had requested two beds.I would stay here again but would stress my concerns about room preferences at time of reservation.	
Nov 9 2009 	Overpriced shoebox	Don't believe the hype - even in Manhattan, there are understandably small rooms in nice, decent hotels and there are tiny, overpriced shoeboxes with poor sound insulation, terrible floorplans and shoddy service/decor - there may only be one of the latter... The Marcel at Gramercy. Stay away! I will never stay here again. Ever.	
Nov 9 2009 	Not great for business	All hotel rooms in New York are small, but the Marcel's seemed smaller than usual. The beds were ok. The hotel would be good for a person on vacation who does not need hotel amenities.Not great if you're going there for business. The internet was not working, but they charged me $30. The movie selection did not and they still tried to charge me. The restaurant right next story is fab! All in all I would not stay again.	
Nov 4 2009 	Clean room but hotel missed the mark	I have to preface this with saying I come to New York twice a month for work. I usually stay in non-chain hotels like the Marcel and all in and around the area of this hotel. I would not choose to stay at thie hotel again. A lot of people complained about the size of the rooms and they are small but that didn't bother me because I am used to small NYC hotels and I am by myself and only use the room to sleep. That being said, I could not sleep at all at this hotel. I expect to hear street noise in NYC bit I also expect a hotel that charges $300+ a night to have double panerd windows that block out the noise. It was so loud that I woke up no less than 10 times the two nights I was there. This is a BIG issue. Also, the second night I came back to my room it was frigid. The AC was on full blast but it was fall time, not summer. I called to ask how to turn the heat on and was told it was regulated by the building and therefore th best they could do was bring me a space heater. I man, what $300 hotel needs to bring in a space heater? The noise was by far the number one issue but the room is also a little odd as it doesn't have a spare electrical outlet for your laptop and phone. You have to unplug something. The room is modern and very clean and the staff is ice but I would not stay here again. There is no fitness center but there is a cool rooftop deck	
Nov 2 2009 	Great location!	The Marcel was conveniently located near the subway, city buses, Starbuck’s, pharmacies, restaurants, etc. The Gramercy/E 24th Street area was clean and safe. The hotel staff was excellent and very helpful – especially the doormen. The rooms and bathrooms are very small, as expected in New York, but tastefully appointed and updated. However, if you are not accustomed to street noise, you might want to request a room away from the street (but you will be sacrificing a view). Also, the Sunflower Diner was excellent and is only a block or two north of the hotel. After numerous tries for a 3 star on Priceline.com, we were able to secure our room for @$220/night by selecting an undisclosed 3.5 star boutique hotel in the area on Hotwire.com.	
Nov 1 2009 	Very pleased with this hotel!	We booked the Marcel on Hotels.com, stayed for 3 nights and felt like we discovered a gem. The hotel was right across the street from our son's NYU dorm and walking distance to lots of restaurants. The staff was very friendly and helpful. Our room was tiny with no view, but very clean and nicely decorated. Basically, we got what we paid for. We bought a bottle of wine before dinner at the wine bar attached to the restaurant, and the bartender was nice enough to &quot;hold&quot; the bottle for us so we could finish it after we had dinner at another place. I would definitely recommend this hotel if you're looking for a nice place to stay for a decent price but don't plan to stay in your room much.	
Oct 28 2009 	Nice and clean	We've stayed at this hotel for 8 nights and we were very nicely surprised. Reading some of the comments here we had some concerns, but in the end the hotel made us a very good impression. The room was clean, relatively large for NYC standards and the staff was very nice. The price was also OK for NYC, as was the hotel's location.	
Oct 24 2009 	Perfect	My husband and I came to town to visit our child at NYU. The location was perfect for getting down to campus or uptown to visit relatives. We arrived early and the room was ready and were we blown away. The staff set up with what we thought had to be one of the best rooms in the house. Higher floor corner unit. We are used to NYC hotel rooms and this one was very generous in size. Sure the bathroom was small but the shower was big enough for two! There was ample closet and drawer space for clothes and floor space for luggage. The bed was enormous (and very comfortable) and when you sit at the extremely long desk you have a great view of 24th &amp; 3rd. As soon as we arrived the front desk called to make sure all was well and pointed out the complimentary wine and water on the desk for us. We did notice smaller rooms on the floor (one looked very tiny) so may be we got a bigger room because we paid more or because we got lucky yor both. The front desk and the doormen were extremely helpful. They stowed our luggage for the day when we checked out and arranged to have a car take us to the airport, which was the same price as a cab and much more comfortable. They told us for our next trip they can arrange the transportation for arrival as well. So next time we will defintiely take them up on the offer. The neighborhood has a ton of fun bars. We found Molly's right down the street which is a great Irish pub with terrific food and a wood burning fireplace. And of course Grammercy Park is just a couple blocks away.The only negatives were:1. We like it cold in the room and I suppose b/c of the season you can only have the heat on. We turned the unit off and opened the window and we were fine.2. Housekeeping for some odd reason did not give us clean glasses the next day but that was not a big deal either. Frankly, I'm sure if we had called for glasses they would have brought them up.3. The coffee on the 10th floor was really bad. Who cared becuase the roof terrace was lovely and there are million delis with delicious coffee. You don't go to New York to drink the hotel coffee.This is going to be our place to stay whenever we visit from now on. Highly recommend.	
Oct 19 2009 	Fun and Funky...	My boyfriend gave me the surprise of an extended weekend in New York for my birthday and booked our stay at the Marcel. Never having been to NYC I was unsure what to expect but found myself excited, thrilled and a little awed as soon as we walked in the door. The décor was a bit minimalist but fun and funky. The fireplace was a welcome “ahhhhh” on a cold and dreary day. The lighting dark but warm and soothing. And I honestly don’t think I’ve ever stayed at a hotel with such friendly staff. It was almost as if the staff couldn’t do enough for us, even down to providing a bucket of ice before I could get back to the room.As for the room… much smaller than anticipated. After noticing the fire escape routes we realized we didn’t have the smallest on the floor, thankfully! The doorway is quite narrow, and if the closet is left ajar you can’t actually open the door. I have a bruise on my knee from hitting the air conditioner so often. But the thing that irritated me the most was a definite lack of storage space. The room was so small we needed to keep our luggage stowed (which is what I prefer) BUT there was nowhere to put our clothes. There was a mini side table placed oddly in the room but that only afforded two small drawers. The bathroom was funny. To get in and shut the door one must stand in front of the toilet to pull the door closed but sitting had to be done sideways as there was negative leg room. The shower was large with two shower heads, one rain head and one hand held. While we preferred the rain head the wall mount for the hand held was dislodged which caused a bit of a mess every time we turned the shower on.With all that said, over all the room was great! I’ve stayed in smaller rooms in Europe (this hotel is very reminiscent of something across the pond). The service was awesome, the room hip and modern. The bed was super comfortable and linens were great. The 9th floor (facing 24th Street) didn’t seem to have a problem with noise. As a matter of fact we’d open the windows in the morning just to hear the hustle and bustle of the city.Would I stay here again? Probably, but maybe in a larger room or one with more storage.And did I have a good time? My boyfriend took me to New York for my birthday… how could I not?!?!	
Oct 16 2009 	Great place to stay	The Marcel was great. Yes- the rooms are small but it's to be expected, it's NY! It was such a cute room with an authentic boutique feel to it. I loved it. The lobby is hip and stylish, it's close to some great restaurants, etc. and the staff was super friendly. I would highly recommend staying here, especially for the great price (my room was $215).	
Oct 15 2009 	If you don't plan to sleep or shower this hotel may be ideal.	This hotel has had a hip renovation of the visible surfaces. But scratch the surface, and it's a dive. - We were on the 5th floor, 24th Street side. Tiny but comfortable room. Tiny bathroom: tall people may have difficulty using the toilet. - Beneath hip new carpet, ancient floors creak. Fortunately, the room above us was empty. - Traffic noise was loud and relentless. Windows are sealed shut, but the noise-sealing job was botched. Attempts at sleep are foiled by roaring diesel truck engines, wailing emergency sirens, and honking horns. There is a quiet period from about 3 AM to about 4:30 AM. Enjoy your blissful hour and a half of sleep. That's all you're going to get. - Early morning hot shower? Leave the water running for at least 30 minutes before hot water finds its way up from the boiler. If you want an early hot shower before departure, you have no choice but to leave the hot water running all night. I gave up waiting, and departed unwashed. - Checkout was a non-event. The clerk on duty couldn't persuade the computer to work. After staring at it in silence for a few minutes, he asked if we'd had any incidentals (&quot;nope&quot;) and told us we could leave. No printout, no bill, nada. - Other details: Delicious bed linens, comfortable pillows. Avante garde decor. Pleasant staff. No closet, iron, or ironing board.	
Oct 8 2009 	Comfortable Stay at the Marcel	I just returned yesterday from a night at The Marcel. I arrived early (around noon) and my room wasn't ready, but they took my cell number, pointed me in the direction of a good place to eat, and stored my luggage for me. I arrived back at the hotel at 3 pm, they hadn't called yet but the room had just been cleared as ready. The room itself was adorable - love the green and zebra print, and I especially loved the large full length mirror. My only complaint was that I was quite hot at night - there was no place that I could control the air conditioning, so I attempted to sleep with the window open because it was cool -- but it was so loud that I woke up at 2 am and closed it. So at 8 am I woke up miserably hot. I only stayed one night, however, so there was no point in asking about it after all was said and done. I did have the breakfast yesterday morning, which is Continental-style. It wasn't nearly worth the $12 bucks, but i did sit out on the roof to enjoy it, which made it worthwhile. Perfect way to start the morning! The staff was friendly and helpful, and this is a nice little hotel tucked away in a quiet part of town. Everything I needed was accessible by Subway or a 5 dollar cab ride. Can't complain!	
Oct 6 2009 	Best hotel - best service	Can't understand all the bad reviews - this would rate up high with all the hotels we have stayed in. Very polite staff, excellent location. We were there for five days. Admittedly the rooms are small but beautiful decor and facilities made up for size.	
Sep 30 2009 	Good but pricey	We stayed here for three nights - big room very clean but no coffee/tea equipment and no free wifi. Reception was excellent - very helpful and courteous. Location was a little noisy, we had a corner room with a great view of 3rd and 24th, but the traffic started early. At close to $300 per night for three nights, it was a lot to pay.	
Sep 29 2009 	Great boutique style hotel in an excellent New York location!	We stayed at The Marcel at Gramercy in March of this year - I felt I had to write a review as there seems to be quite a lot of mixed reviews for the hotel that might have turned me off staying here if I had not had such a great experience myself!Firstly my boyfriend booked the hotel as part of a surprise birthday trip for me to NYC. Having been to New York many times previously I had not stayed in the Gramercy Park area and we loved it from the off! My boyfriend let the hotel know it was a special trip (we got engaged during the break!) and they arranged a fantastic large room with dual aspect views of the Empire State and 3rd Ave. The decor is in keeping with other boutique style hotels and although the amenities are not top range, every area is stylishly designed and the roof top terrace is great. The rooms and common areas were all spotless!The restaurant Inoteca downstairs in the lobby is very good with a great cocktail bar and has a real New York neighbourhood feel. As for the area itself - much less touristy than other areas and you get the feeling of how 'real' Manhattanites live! Pete's Tavern is a great pub very close to the hotel and Mike Du Pizza across the road - great slices!The hotel is perfectly located to cover all areas of the city - downtown/ midtown/uptown are all walkable or less then $10 in a cab. Also its a couple of blocks to the subway 6 line so again easy to navigate the city.Any query, booking or information we required the staff were more than happy to help and advise us! All in all I would not hesitate to stay at the Marcel again in the future, in fact we have friends staying there this week - unless I feel like splashing out for one of the uber cool designer hotels this is the perfect mix of style, location and value in Manhattan!	
Sep 25 2009	Trendy 	Pros: clean, trendy, modern, location, good staff, no harassment by bellboyCons: breakfast not included in price and if you want, absurdly expensive; 2 PC for free internet only (and only to 10:30 PM)	
Sep 24 2009 	Avoid this hotel	Worst hotel I ever stayed in NYC. Tiny rooms. Broken air conditioner. Bad service.	
Sep 22 2009 	great location - small room!	we weren't expecting too much from this booking, as reviews have seemed to be mixed. Pleasantly surprised though, welcoming receptionist &amp; concierge. Room was just about big enough, and not too much street noise. Very clean. Useful to have free access to the computers on 10th floor. Went out to breakfast, as a couple of very good diners nearby. we ate at the attached restaurant, which was pricy and noisy.	
Sep 19 2009 	It's fine - nothing special kind of a dressed up Holiday Inn	This hotel was just OK. For the price in a decent part of Manhattan, I guess that's actually pretty good. The lobby is small but fixed up to try and look modern and expensive. My room was definitely very very small. It was fine for just me, and if I had been with my fiance we would have been OK as long as we weren't planning to hang out in the room a lot.I had a very strangely shaped room. It appears there is one on each floor like this. The window is basically down a short, narrow hall from the rest of the room. (I attached a pic because it's hard to explain.) It was exactly like having no window at all. If I had been there for longer than one night and for fun rather than business, I would have asked to be moved.The minibar items were obviously old and covered with a layer of dust. The one accessible power outlet didn't work correctly. It didn't become a problem but it seemed like the air conditioner was barely putting out cold air, even on high. But, everything seemed clean and the staff were nice. I should have spent more time in the 10th floor &quot;lounge.&quot; It has free coffee, big windows, two computers with a printer, and lots of nice tables and chairs. A better option for getting work done than in your teeny nearly-windowless room.Also, this isn't really their fault but I had terrible cell phone reception in my room. Annoying.	
