	Great deal and great location great comfortable beds and nice lobby	This is my second time staying on the upper west side and my friends first time. They are now convinced that this is the place to be in NYC. It is so convenient to the subway, great cafe's, decent street vendors, fabulous markets and stores and the museum and park. The beds were so comfortable and the warmed cider available in the lobby was great. We had a small suite and the kitchenette was perfect to bring leftovers back. We loved the stay and the location.'Gail in Vermont	
Nov 22 2009 	our second stay here... just right	We just returned from six great nights here, enjoying the neighborhood and the city at large. Our room #305 was a small suite; kitchenette, living room with big TV, closet and dressers; and the bed/bath about the same size, both with actual windows that actually can be opened, if only a few inches. Service is relaxed and attentive. Coin laundry in the basement. The neighborhood is great: restaurants, stores, Zabar's deli, and all-night fantastically well stocked market. Walk several blocks N or S on Broadway to access the subway. Central Park and the Natl History Museum is a few blocks east. If you stroll across the park from here you arrive at the Metropolitan Museum and a raft of other smaller museum gems. Daily maid service, 24 hour front desk, our home when in NYC.	
Nov 20 2009 	For a miserable experience try the Milburn Hotel in NYC	Avoid the Milburn Hotel on New York's upper west side at all costs. It could end up costing you plenty.My reservation at the Milburn was for Friday, Sept. 18. On Monday, the 14th, I phoned the hotel to inquire about the cancellation policy, which would have been unnecessary had I received a copy of the policy by e-mail or snail-mail. The person I spoke with told me it was three days in advance of the reservation. She also used the phrase &quot;72 hours,&quot; which, from my travel experiences, is a synonym for three days. So, because my plans were uncertain at the time, I chose to wait one day based on the conversation, especially since the confused clerk did not tell me that the deadline for canceling was Monday.When I called Tuesday -- three days before I was scheduled to check in -- to cancel because of a family matter, I was informed it was too late. The front-desk clerk I spoke with said to contact the general manager on Wednesday to discuss the situation.I left repeated polite messages with the general manager on Wednesday and Thursday. He refused to return my calls. So I stopped by the hotel Friday morning before leaving town, and the general manager told me the matter had been turned over to accounting and to contact them.For the next eight workdays, I phoned the hotel and asked to be switched to accounting. Each time, I received a recorded voice and was asked to leave a message. Each time, I left a polite recording -- eight of them -- yet never received one return call. It was obvious that the continuous lack of returned calls from the general manager and accounting was an effort by the hotel to ignore me, hoping that I would go away.Finally, I phoned the hotel and requested to be switched to anyone in accounting. I got a live voice who told me a refund or full credit would be considered.My occasional pestering finally got a response after a few weeks. I was informed that no refund or credit would be granted, only that an unspecified &quot;rate&quot; might be considered on my next reservation with the hotel. Are you kidding me?So I'm out $339.13, plus hours of my time dealing with the most customer-unfriendly hotel general manager in a lifetime of travel.There are plenty of good hotels in New York. Most have a one-day cancellation policy. They send you their policy upon making the reservation. Their reservations clerks explain the policy properly. And, if a problem arises, they are courteous and reasonable.The Milburn is none of those. Stay away.	
Nov 19 2009 	decent hotel nice location good price a little outdated	The price is good and the location is too. We got a free upgrade to a bigger room since the hotel was not full, so that was nice. WE got a little kitchenette, sitting area, two tv's, etc. The room was a very nice size for NYC. It definitely needs updating....but overall a good experience. also very quiet.	
Nov 18 2009 	I will be back.	The location is great. It's just off Broadway on the upper west side. A 24 hour grocery store half a block away, a great place to eat breakfast and watch the locals (including some celebrities) is just a block away. I could go on, but I'll just repeat myself and say it's a great location.The hotel staff is nice, but not that kind of glossy rehearsed nice. Just genuine, but helpful. The building is old, but maintained well.I was there in the beginning of November which (as is my usual scenario) happen to coincide with a major sporting event. This one happened to be the New York City Marathon and the finish line is about ten blocks away from the hotel.I was lucky to be in my room and not across town at 1 pm when the phone rang and it was the front desk asking when I would be checking out. I had made an error when reserving had not secured what I thought to be my last night's stay. Luckily, one of the runner's didn't show up and they upgraded me in a junior suite for the same price as my regular room. I highly recommend upgrading. Not that my first room wasn't great; it was. But the junior suite was really nice.Anyway, the value for the buck is fantastic. I paid higher for less the rest of the trip.	
Nov 17 2009 	Great location! Quiet pleasant hotel for independent travelers.	My husband and I stayed at the Milburn for three nights in Nov. 2009 and we were throroughly satisfied with our stay. We booked a suite rather than a regular room after reading the reviews on this site, since only the suites could be guaranteed to be renovated as of the date of our stay. The upcharge was not substantial, and was well worth it. We had no problems at check-in at 6:00 pm on a Friday evening, and the staff was consistently courteous. Our rooms were in the corner on the eighth floor, and it was one of the quietest urban hotel stays I have ever had, despite being in NYC. There was some street noise, but nothing from within the hotel itself. The curtains kept the bedroom very dark, too -- good for late sleepers.Not everything seemed up-to-date -- it is an older hotel -- but for the price we found nothing substantive to complain about. Be advised that our bathroom was very small, with almost no space to set out toiletries, though it was clean and modern. If you have a hanging toiletries bag, or some other method of keeping your things at hand without placing them on a counter or shelf, you might want to bring that along. The kitchenette was also very small, but handy. We both found the king bed as comfortable as at home.Other than price, location was the main reason we chose the Milburn, and it was a good choice. The hotel is located in a pleasant Upper West Side neighborhood, just off Broadway. (But it's still extraordinarily quiet.) Local families were very much in evidence on the streets the weekend we were there. We love to walk, and we walked almost everywhere we wanted to go -- restaurants on two of three nights, the Metropolitan Museum of Art and the Frick Museum (just across Central Park), Lincoln Center for the opera, and Midtown shopping. On our last night we had dinner in Greenwich Village -- an easy, direct subway ride away. When we did need a cab, it was easy to flag one on Broadway a half-block from the hotel.We thought the complimentary breakfast was going to be a real advantage at the Milburn, but, though it was fine (coffee, tea, juice, cereals, baked goods, some fresh fruit), we think we would probably have been happier breakfasting at the Manhattan Diner a block away. Next time we'll plan on that: they serve breakfast all day. If you're an early riser and like to get a cup of coffee and a bagel first thing in the morning, however, you'll appreciate not having to go out for breakfast.We will definitely stay at the Milburn on our next trip to New York, and would recommend it to anyone who is looking for a hotel in this price range.	
Nov 15 2009 	Spacious comfortable rooms in great location at a great price	We have stayed at the Milburn several times. It's not fancy, but it is quite clean and comfortable. It's more like have an apartment than a hotel room. The staff is friendly and helpful. The rooms are enormous by NYC standards. Most hotels charges four times as much for anything resembling this much room. Our bathroom was a little cramped and the refrigerator in the kitchenette worked more like a freezer, but that was a minor incovenience. You get an in-room coffee pot with enough coffee for two small pots, a necessity for me in the morning. I need lots before I get dressed to go down to breakfast. The complimentary breakfast (a recent addition) is rather bland and uninteresting, but the bagels were good. You can get a great hot breakfast from Manhattan Diner just a block away. It's a quick walk or they'll deliver to the hotel. I wish the Milburn was a little closer to Central Park. It's an easy walk, but I got spoiled years ago by the Olcott (now closed) which was less than a block away.	
Oct 24 2009 	Wonderful hotel... great staff	My wife and I spent a week at this wonderful small and quiet hotel on the Upper West Side. It is located close to two subway stops and Central Park. The neighborhood is mostly residential. Lots of great restaurants are with close walking distance.The room was very nice. It was clean and appears to have been modernized. We highly recommend this hotel.	
Oct 21 2009 	Third time at the Milburn. Consistently good and a solid value.	I have been meaning to write this review for months. Our family had our third stay at the Milburn this past summer and can report that it remains one of the great values in NYC.The staff was helpful and friendly (as it has always been), the refurbishing of the lobby is delightful, and the rooms -- while not new -- remain clean and somewhat spacious for a NYC hotel room, especially for the price.For us, staying in NY means not spending much time in our room. Too much to see and do. The Milburn serves as a perfect spot for our family of four to enjoy all that NY has to offer. The neighborhood (upper West Side) is delightful, with loads of interesting shops, markets and delis. And there are subway stations two blocks in either direction. For the price, I think the Milburn is terrific deal. We look forward to returning soon!	
Oct 19 2009 	Disgusting and Rude	The staff was rude, the rooms were disgusting and dingy and while the prices were relatively cheap (in this very expensive city), they were not worth the room. The staff gives New Yorkers a bad reputation. But NY is still a wonderful city, just stay somewhere else!	
Oct 10 2009 	good value in nyc if you want to stay out of busy downtown	The Milburn offers good value for stays in NYC. The building appears to be an old apartment house that has been coverted to a hotel. We had a 2 room suite for less than $300 in NYC. The bederoom and living room are quite large. The bathroom and kitchenette (sink, refrigerator, coffee maker and microwave) are small. Everything was quite clean and well-maintained. There is a continental breakfast included in the rate. The hotel is right off of Broadway and a short walk to the 72nd Street express subway stop to everywhere else. It is a healthy walk to times square. It is a very good location to stay if you are visiting Columbia, Barnard and other UWS colleges. There afe lots of restaurants in easy walking distance. Apparently they have delivery room service arranged wih some. Parking is discounted at a garage about 3 blocks away...if available. If not there are other garages.	
