	Quiet Haven Amidst the Noise	We celebrated our wedding anniversary with a trip into NYC and enjoyed the quiet of the Ritz Carlton. Our room was on 6th Avenue, but we were able to see Central Park. The room was spacious, spotless and serene. The service is impeccable. This hotel is highly recommended!	
Nov 5 2009 	Finest hotel in Manhattan	Yes, the nightly rates are more than many people pay a month for rent- but you get what you pay for. The expedia special rate with the club lounge access was especially appreciated. At many hotels a club lounge means some pretzels and cheap chardonnay. At the Ritz, it entails five different food and drink servings a day, all of which are arguably as good as any restaurant in the city. Every detail is absolutely perfect. How about a hotel that gives you a wood shoe box to leave your shoes outside the room door at the end of the day (in one case for me, at 1 am) and the next morning by 7am your shoes are returned polished and shined, complimentary? That's no exaggeration, and probably the most succinct example of what sets this hotel apart. And how about getting on the elevator to go to your room, and one day standing beside the prime minister of Pakistan; then the next day standing beside a very well known hollywood star? No trips out needed to see the famous folks when you are &quot;in residence&quot; at the Ritz... I will have to save more for all my future NYC trips, because after staying here there is no way to go anywhere else.	
Nov 4 2009 	spot on but punchy!	Stayed 2 nights for business (and had also booked for a client)Very very nice - courteous at check-in, helpful in getting adapters (and toothpaste) up to the room immediately. It happened to be my birthday - when I was IDd the bartender notice, and as I was having a beer she later came out with 5 mini-cakes - really nice touch! Door staff can be a bit off - I was walking in wearing jeans and the guy clearly thought i shouldn't be going in! Ate at the restaurant... delicious. Excellent (US-sized!) portions, $230 for 2 people, 4 courses, no bottles of wine but a couple of glasses... This hotel is pricey, of course it is, but it v v nice and a nice treat. Also a great location, but since it rained non-stop, I didn't make it into the park... this time....	
Oct 27 2009 	Excellent Location!	Fab hotel - fab location... You can't beat the location - accross from Central Park - Awesome staff, etc...	
Oct 5 2009 	Very nice staff	Our stay was enjoyable. We stayed at 21st floor, so it was pretty quiet, especially with windows closed. AC is a bit loud on normal, but quite bearable on &quot;low&quot; setting. All the services and 'honor bar' are a bit too expensive (think $75 for a half-bottle of veuve clicquot, $3.5 for a bottle of ritz-branded water which tasted as tap water, or $7 for small perrier).	
Aug 26 2009 	Faultless and much improved	We stayed here again for 4 nights in a Club level Park View room - we were upgraded from a city view room, which was great. Perhaps it was due to the recession that the hotel was noticeably empty, which worked in our favour and meant that every need was attended to very quickly. The hotel also seemed much less frenetic and friendly. The food in the Club Level is superb and plentiful and it meant that our family ate there for every meal, which actually saves money in the long run. They have made the club lounge concierges redundant which does mean that the club is mostly managed by the on duty waiters which can be a bit annoying but all in all would never stay anywhere else in NY!!	
Aug 17 2009	I Love this place	I stayed here with my sister for her 50th birthday. The staff were wonderful, the room was beautiful, although we had no view, and the location was just perfect. There was no restaurant when we were there, although they did have room service. Everyone from the doorman to the bartender were outstanding, friendly and ridiculously helpful. I would make this my &quot;staying in New York&quot; hotel if it wasn't just quite so expensive.	
Jul 26 2009	One of New York's Finest	I treated my mother to a quick one-night stay at the Ritz Carlton Central Park in April 2009. Having previously stayed at the Ritz Carlton Battery Park, I was confident that the Central Park Ritz property would meet both my high expectations and discriminating taste. I was apprehensive about having to book an interior-view room (this is the only room type that supplies double beds by request), but we spent so little time in the room that the view (or lack thereof) was a nonissue. The hotel embodies a refined, tasteful combination of luxury and unpretentious elegance. It was readily apparent that everything from the silk upholstered walls and lush linens, to the lavish bath and Frédéric Fekkai amenities had been carefully chosen with the comfort and contentment of the guest as the hotel’s utmost priority. Service was also impeccable. My mother and I were greeted courteously (and, of course, by name) by every staff member we encountered throughout our stay and most staff members were kind enough to remember my birthday. In fact, upon returning to our room from the Gershwin Theatre, my mother and I were pleased to find the beds turned down, soft, tasteful music playing in our room, and a lovely plate of chocolate-covered strawberries accompanied by a birthday greeting from the General Manager.We were fortunate to enjoy a nearly flawless stay and are eager to return. A few tips:For breakfast or brunch, venture outside the hotel to Sarabeth’s (two doors down from the hotel). The food is exquisite and the location can’t be beat!Try the Cupcake Tea in the Star Lounge. For a mere $30 per person, you can sample 6 miniature cupcakes and a nice cup of tea. It may sound a bit pricy, but the experience is well worth it.Don’t forget to have at least $100.00 in small bills (fives, tens, and twenties) available for tipping on the first and last day of your stay (for valet, doorman, bellman, concierge, housekeeping, etc) and approximately $50 per day available for tipping throughout the rest of your stay (for concierge, doorman, room service, housekeeping, etc.).	
Jul 11 2009 	Excellent	Excellent location. Excellent staff members who remember your name each time you enter or exit the hotel. The presentation in Club lounge meets and exceeds all other hotels. Cannot say enough good things about this recent stay...That is why the Ritz is the Ritz.. You get what you pay for.....Will return again and again	
Jun 22 2009 	Not really for kids but the Ritz rocked anyway!	I spent a week here with my 5 &amp; 7 year old and had a blast. The hotel was absolutely gorgeous but not exactly the most kid-friendly Ritz we've been to. The lobby is very sophisticated and the crowd is elegantly dressed/power NY. I wasn't very comfortable hanging out there with my kids in the late afternoons between sightseeing and dinner.However, with that said, the hotel really went out of their way to take extra special care of them. When we arrived, the kids received stuffed horses and there were cookies left in our room that evening. Also, after we attended Mary Poppins on Broadway, we returned to our room to find the soundtrack playing for us as a complimentary keepsake. The hotel room was extremely spacious, and absolutely gorgeous. The in-room amenities were top-notch. The service was impeccable. The food was delicious but extremely expensive (but of course, it's the Ritz, Central Park). The doormen were fabulous. We had a blast there.	
Jun 8 2009 	Wow	Amazing Stay and an even amazing service. I went to SFO and on my return, I was supposed to be in NYC only for some time. THey offered me a complimentary usage of Toilet and I refreshed myself, without any charge for the day. Service and Rooms are very good.The proximity to the important locations is also very close and if you go for a morning walks, they take special care for you while you are heading out or coming back - Provide you water, fruit etc.A real home away from home.	
