	A 3 star hotel...	My husband and I stayed there for 3 nights. Location is good. The lobby is probably 20 sqm. Staff are polite but not welcoming.The rooms: really really small. Bathroom: really really small. Bed: really really small and too soft so if there's 2 of you prepare to cudle all night long because you'll sink to the midle. No views.So, try another hotel. With the amount of money Shoreham costs you'll find other hotels, also well located (if not better) where you have a bed where you can actually sleep.It takes more than white walls and funny lamps to be a modern luxury hotel. Would not recommend it.	
Oct 21 2009 	Left early and would never go back.	This hotel is gross. The rooms are miniscule. I switched rooms and upgraded to a suite but then I still felt like I was sleeping in a night club/frat house. It feels used, dirty and cheap. I left immediately the next day and would never go back.	
Oct 16 2009 	Location Location Location	I usually do not step out of my safe zone when traveling. Let me explain, there are chains of hotels that give you a &quot;safe&quot; feeling in strange place. So I actually cancelled my safe hotel for the Shoreham. I was not disappointed. Very convenient to shopping, museums, food and the subway. The Shoreham is an interesting place. Something very different in mostly good ways. Great staff in the lobby. I passed on the complimentary drink at checkin. Elevators are small but the rooms are above average for NYC. Not bad. I have seen smaller. Massage chair was great. Shower temp and pressure were oh so nice. Bed was comfortable.The strange. Sink and toilet are so close together you have to reach under the sink to flush. One of those we installed it and did not think moments. I have been in hotels where the shower nozzle meets your belly button. So this was more of a wtf than a major issue. The convenient. Grocery store right around the corner to avoid mini bar surprises at checkout. Subway on a few blocks away. Beware. My hotel bill had someones food and drink from the bar on my first night. The front promptly took it off. Mistakes happen. I would definitely stay here again. I just wish they were part of a loyalty program.	
Oct 12 2009 	Feel you have been cheated	On our first time in NY on the suggestion of AA vocation agent we booked for 2 nights, hotel is centrally located other than that I did not find anything in this place which could justify the amount of money they charge. Lobby is contemporary one person in the front desk dingy elevator and then there is the room one can hardly turn around without hitting or bumping into something Bathroom is the pit small minuscule steel basin (one you see on TV in the prison) the carpet in the room you don't feel like stepping on, Yes bed and pillows were acceptable, Wifi is horrible I will stay away from this place in future	
Oct 8 2009 	Great location decent service reasonable amenities	This hotel is perfectly located in mid-town; close to Fifth avenue shopping, MOCA and other attractions. Walking in I saw what i thoguht was the mail center then realized that it was the reception. The lobby could use some sprucing up and only one elevator worked. The rooms are smallish but efficient. My center courtyard room looked across into someones apartment, which was a bit odd. The room overall was nicely appointed, even though it could use a bit of paint and some repairs here and there. The restaurant was actually quite good and the staff was very nice. It is a good value for the location. There were a lot of foreign travellers and a more ecclectic crowd than the ususal business hotel.	
Sep 21 2009 	Pretty cool for a few minutes then the past its prime sets in.	Pretty cool, for a few minutes, then the past its prime sets in. If the service was great, it might make up for it, but in 3 nights in the hotel, I was pretty much ignored. At least I didn't pay all that much for the room and the empty bar (again, although modern and swanky) served moderately priced drinks (for NYC).Best part of the room was the massaging chair, Aveda products and a very comfortable bed. Otherwise, the room was pretty small and the bathroom totally sterile. Moverover, the all metal sink and shelf reminded me a bit of prison. While flat screen TVs are now standard in most high end hotel rooms, mine was an older Dell model that took a while to turn on and had poor reception.Note: Free internet access and 24 hr espresso.	
Sep 8 2009 	Excellent spot to get away!	The Shoreham was an excellent pick for me. When I arrived the front desk staff was friendly and offered me a choice of water or champagne (I chose the latter). I stayed in a queen deluxe room with a massage chair. The room was clean and comfortable. I got a reasonable price for this room and airfare as a last minute package. I'm extremely happy that I chose this out of the other options. I would stay here again even though it was difficult for me to find.	
Aug 25 2009 	Making good out of a bad situation	This if my first time making an effort to write a review about a hotel and I could not pick a better one to start with. I decided to surprise my boyfriend with an overnight get-away to New York and found a great deal on a overnight stay at the Shoreham. Unbeknowst to me my boyfrend HATES the city so much that I suggested several times that I would take the &quot;L&quot; on the cost of the hotel and we could head back to Maryland. Well after it was decided that we would proceed with the trip we get to the Hotel where upon check in they offer either bottled water or a glass of Champagne as the hotel representative is checking me in she inquires about what brings me to the city I tell her it was a surprise and the surprise was really on me because he HATES the city she smiles and makes suggestions which I doubt he would enjoy. To make a long story short we go out ot grab a bite to eat and upon our return the hotel rep sent a complimentary bottle of champagne and strawberries to our room. The only regret I have is that I did not get the hotel reps name to thank her again and make sure her name is mentioned in this review.	
Aug 6 2009 	Great location	This is the second time I stayed at the Shoreham. My flight arrived at 6am in the morning and couple days before my arrival, I emailed the hotel and asked if there was any chance of an early check-in. I received a response the same day - there was no promises but the hotel said they would do what they can to accomodate me.Upon arrival, I was greeted by the same person who responded to my email (I think she is the manager). Not only did she gave me a room right away, she upgraded me from a standard room to a suite. I stayed there for 3 days after which I went to Washington, DC. I returned to the Shoreham after that for another 3-night stay and i got upgraded again to a suite.I was very pleased with the hotel. The rooms (all 3 times of my stay) were clean and the expresso machine (at the lobby) really comes in handy.I will definitely stay at the hotel again.PS. There is a supermarket around the corner of 55th Street and Madison, just 1/2 block from the hotel.	
Aug 2 2009 	Nice Hotel	Great location and good price on a nice, modern room. Would definitely stay there again.	
Jul 29 2009 	Fun 	I stayed at the Shoreham for one night with a friend to just have a fun night out in NYC on a Saturday night. The Shoreham is a pretty hip type hotel, and they give some nice extras like they have a Complimentary 24-hour cappuccino &amp; espresso for our guests. We were put in the Penthouse Suite which was a very decent size room with a small balcony. (not overlooking anything worth seeing) The hotel's feel is small, hip and boutique. The hotel is in a good location with the subway about 2 blocks a way. It is in a nice safe area. There is a bar and restaurant though I did not use it. There is also a gym on the premises and I noticed some computers in the lobby that can be used. The hotel is clean, safe, well kept and I would definately recommended it.	
