	Rooms are small but overall it was a great hotel - I'd stay here again!	I would highly recommend this hotel - not only is it in a fantastic spot in Manhattan (walking distance to 5th Ave and the subway etc) but it's neat, tidy and a decent price.Our room had 2 single beds inside, I must admit it was much smaller than I expected, but it didn't bother us one bit - we're in New York, if you're going to spend extended amounts of time in your room, then you're crazy! So the tiny room suited us because all we did in there was sleep. It was clean and comfortable and was within our budget ($1000 for 5 nights - booked on expedia).I highly recommend this hotel and would definitely stay here again.	
Nov 24 2009 	Really nice hotel	Stayed here for 3 nights. Really good hotel within walking range to many of the Manhattan must-see places.	
Nov 24 2009 	At least you won't forget where your staying - 30/30!	Was given an extremely large room (corner room) w/ own sofa &amp; table tv etc..although lighting didn't seem adequate enough for such a size. The decor is neutral and minimal even when you walk to reception and rooms but it was good that 24hr reception was available. The bathroom was probably really nice once renovated but is now in need of a spruce up. Location wise nothing much exciting to look around- lots of factory second outlets and souvenir shops. A good 15-20min walk to times square but subway is just around the corner. Not bad but would probably stay in Soho next time round. :)	
Nov 19 2009 	Excellent Hotel.	I have stayed at this hotel a few times, and both times I had a excellent experience. Great location in the city. Staff and service was great. I loved the new rooms, very sleek, roomy, clean and beds where super comfortable. I highly recommend this very cool hotel to anyone staying in the best city in the world NYC.	
Nov 18 2009 	Nice surprise: clean and comfortable with good service	In early November, my friend and I stayed two nights in Hotel Thirty Thirty, a small boutique hotel, offering sleek accommodations in a quiet location. What a find!  Around the corner from Park Avenue and one block from the subway, we were able to metro to the museum district and Greenwich Village with relative ease. Times Square was nearby too and we felt it was safe to walk back to the hotel after a show and dinner. Hotel staff offered exceptional service. They were courteous, knowledgeable and efficient in helping me with accommodations and in directing me to the subway. The hotel lobby had a hip, minimalist design; the room was well-appointed and clean with comfortable beds with white down comforters and a small green velor couch to relax on after a day of walking and sightseeing. The bathroom was roomy and had wraparound tiling and simple lighting. Concierge service was immediately available on Sunday morning and held my overnight bag for me while I had breakfast in a nearby restaurant. Good value for small hotel.Recommend the hotel place another waste basket in the room near the desk. Also on the green front, recommend offering re-use towel program.	
Nov 18 2009 	Perfect	I stay at this hotel every time I travel to New York. Going elsewhere is not an option for me. The rooms are always clean, and the staff is very friendly and helpful. I have never been disappointed when I stay at the Thirty Thirty. It is also located extremely well, being within walking distance from the Empire State Building, Times Square, 5th Ave, and Penn Station where I enter and depart the city. There is even a bar / restaurant connected to the lobby which is not common in every NYC Hotel, and there is a 24 hour food and convenience store right across the street for anything you might need during the night. I fully recommend this hotel to any NYC visitor, wether it be for business or pleasure.	
Nov 18 2009 	great hotel location staff at the reception	Hotel has very good location!!!!! The room was clean, quiet. Enough space for 2 person. Staff at the front dest very friendly. The resteurat has really good prices!!!	
Nov 18 2009 	3030 is just great for the business traveler!	I chose Thirty Thirty for my business trip to New York City mainly because of its great location and highly reasonable room rates. I was pleasantly surprised by the what the superior rooms had to offer at such a cost. The superior rooms are clean and big and equipped with all the basic amenities you would need, including free hi-speed internet connection on LAN. In sum, Thirty Thirty is sheer value for money and centrally located - near the crossing of Park Avenue and Madison Avenue - and so at a walking distance from the best restaurants and food joints - Italian, Indian, Chinese... not to speak of the attached diner that offers free breakfast to hotel guests and open till 11 pm for dinner. I would rate it higher than other high-end as well as low-end hotels like the Radisson or La Quinta in and around the same area. I stayed here for 10 days or more and would love to go back. I would recommend this to both the cost-conscious business traveler as well as the holiday maker on a tight budget.	
Nov 15 2009 	the room was shockingly small-no closet space no sink in the bathroom no free wireless internet	just horrible. i walked in and when there were steps leading up to the reception area (ie no ramp) and no doorman let alone bell staff, I knew I was in trouble. The lobby and front desk staff were friendly so I thought that maybe my first impression was wrong. However, when I walked into the room and saw that the bed was the room, I was shocked. The sink was not in the bathroom, so when you are done using the toilet, you have to walk out to the room and if you forget to bring a towel with you, you have to walk back to the bathroom. The set up reminded me of a hospital room. Besides that, the housekeeping staff did not clean up the room until 5pm. We left for the day at 11am and thought that when we returned at 5, the room would certainly be ready for us to use. We were greeted by the maid who was embarrased and told us to go downstairs and report our complaint. When we finally got in our room, we wanted to find a restaurant on the net only to find out that we would be charged $14.99 a day to use their cable connection. Next horror occured about 8am when a man entered the room without knocking. Luckily, we heard him and yelled for him to leave. I assume he was a housekeeper. Just an overall, disappointing and horrific experience. I would not recommend this hotel to my worst enemy.	
Nov 15 2009 	perfect for the price	myelf and my husband stayed there november 7th till 12th. After reading the previous reviews i was nervous about what was ahead of me in this hotel. Quite the contrary, the room and bathroom, while very small were clean and suited our needs perfectly. Who goes to NYC to sit in the bedroom!!! If you are realistic and not expecting a 1st clas hotle then this is a perfect location for your trip to the big apple....	
Nov 15 2009 	Look elsewhere	Don't bother with this hotel. We stayed here after a New England cruise and were VERY DISAPPOINTED. My understairs cupboard is bigger!! There was no-where to put your suitcase, no drawers, no chair, not even a plastic glass for water!! The room was depressing as well as being tiny. The desk staff were nothing short of rude in fact the only helpful and pleasant person we dealt with was the bellboy. To add insult to injury it wasn't cheap.	
Nov 14 2009 	exceptional service value for money perfect location	i stayed here 11-15th nov, from the moment i walked in to when i left, the staff was always friendly and polite. reading previous reviews i was reluctant about this hotel. For the price it is well worth it for a similar size room you would pay over $300 per night. I stayed in the superior room, which had a queen bed. When i checked in i requested a room with a bath and the lady at the front went out of her way to find me a room. After an 18hr flight i was so happy i didnt have to fight for it. location is perfect just up the rd from 28th subway, if you wanted you could walk up to times square (approx 15min walk tops). Nice neighbourhood. Only downside I couldnt find a supermarket but there is D&amp;R every second corner which is practically the same. Only downside with room is there is no fridge, so take out it was.	
Nov 13 2009 	A lovely hotel in a great location.	After reading some of the reviews on here I was slightly worried, I needn't have though.The Thirty Thirty is a nice hotel in a good area of Manhattan, close to local shops, bars, restaurants and subways, what more do you need in New york?4 blocks from the Empire State Building, 1 block from the subway, dry cleaners, pub / restaurant and hairdressers across the road.The staff were helpful and friendly and the rooms, which were not massive, were nice, clean and presentable. The bathroom was massive and was clean and modern.I would recommend California Pizza Kitchen on the corner for food, which was superb.All in, we had a great trip to New York and the hotel was everything we needed and would not hesitate to stay here again.	
Nov 12 2009 	Great value perfect location you don't need anything else when in a city!	This is a great find - please ignore the other reviews- they worried me unnecessarily. We had an enjoyable 5 night stay the first week of Nov 2009.&gt; Bedroom: We booked the basic double. Yes it's small (but we're British so used to things being small!), but absolutely fine! Very clean, big bed (must have been at least a king), lovely linen, spacious fitted wardrobe, lovely bathroom with bath and shower. Bigger than our bathroom at home!&gt; Location: perfect. We walked everywhere!!! Even back from the Guggenheim to the hotel (60 blocks away) - the Empire State is virtually at the end of the road so this became much like a homing beacon for us. Having walked most of Manhattan, I wouldn't have stayed anywhere else. The street is amazingly quiet for being in the centre of everything. We slept really well. And we also felt really safe - it's not in a dodgy area or anything.&gt; Concierge: Really helpful - cant fault the service&gt; Breakfast - we ate 3 times in the adjoining restaurant. $13 for a full breakfast with coffee &amp; juice. Lovely, but you are paying hotel prices. We went twice to Jimmys Cafe just 3 mins walk away - on Madison Avenue, around 32nd street. $9 for full breakfast with coffee &amp; juice.I would def stay here again, although New York is probably only a one time visit. If you want to laze around in a luxury hotel with a relaxing lounge/bar/swimming pool etc, then don't stay here. But then who would pay for a hotel like that in New York when you're out all day, seeing...New York! I don't go for budget hotels, so trust me - if you want to see New York, stay here and you'll sleep well after all that sightseeing!	
Nov 9 2009 	not for tall people	the hotel is centrally located so most of the attractions are easily reached by foot.2 minutes from a subway station numerous yellow taxis though if needed.we checked in to the hotel at 11pm at night.found the receptionist pleasent and efficent.found our room and was horrified at how small the room was for 2 people let alone 3 people. the 2 single beds were child like in size.for anyone over 5 foot 10 inches your going to have problems with the bed size.the couch bed that was used by my 12 year old son reasembled a hospital trolley and was very uncomfortable.there was very little light in the room .the room had a good bathroom though with an excellant shower.not much storage space for clothes.it was well decorated.when went to finally settle down on the first night we found one of the beds broken.it was soon fixed though when we reported this.on waking up on the first morning the view was of a brick wall .hardly any natural light could get in and part of one of the windows was held together by gaffer tape.certainly not a family hotel freindly hotel.luckily only spent four nights there .apart from its location 2 minutes from the empire state building this hotel has no other redeeming factors.	
Nov 9 2009 	VERY Average Hotel	The hotel was very average. When I arrived at my non-smoking room, I was overwhelmed by the stench of old cigarette smoke. I confirmed with the desk that it was in fact a non-smoking room. I went to hang my clothes in the closet, only to find the source of the smell--two large bags of garbage. I stopped by the front desk to request that it be removed while I was at dinner. Of course, after returning 3 hours later, it still had not been removed. Also, the shower is old and dirty--bring shower shoes! It seems that they put enough money in the lobby to make it look nice enough--but that is where the upgrades ended.	
