	Cleancomfyperfect location and perfect for my budget!	This is my second stay at the travel inn on 42nd street. Even with knee damage I found the location to the theatre and shops (and times square) within a comfortable walking distance.I booked a single and got a double double, near the lift as requested. I forgot my hair dryer and uk to USA adapters and these were provided for me (hair dryer in room,plugs on request)it was a handy later check out 12pm, so I still got to run a few last min errands on my last day. In easy walk to the subway and port authority. Also across the street is a drug store with food nearby too. A fridge and microwave in the room were a nice touch and it was warm too. I can't fault this place for the price and location. Small and cozy, well looked after and helpful staff.Will return and def. Reccomend to all NYC traveller who want comfort on a budget and location to 'the thick of it' !	
Nov 23 2009 	Great Location Great Price We'll be back	Booked this hotel after reading many favorable reviews (and some not so favorable) Travelled to NYC to see the show at RadioCity and rest of the sights NYC has to offer. GPS brought us directly to hotel which was directly off 9A West Side Highway, and very easy to check in and FREE PARKING. Not to mention we were able to check in 3 HOURS EARLY. The room was large enough for our family of five. Two full size beds for 13 and 12 yr old in one bed and wife and I in the other. Sure the 10yr old son had sleeping bag on the floor but isnt that what 10yr old boys want. The beds were comfy and the bathroom was clean. Linens were all freshly laundred and spotless. I read some reviews complaining about the room being cold. Actually we though it was qiote warm and opened the window. This is NYC you will hear street noise unless you're in a highrise 10+ floors up.. We were on the 6th floor and room faced 42nd street but certainly nothing that kept us up at night. Location on 42nd street was close to everyting we needed. Felt very safe walking through the neighborhood. We were fortunate enough to have great weather. The staff was courteous and pleasant. We will absolutely make a return trip to The Travel Inn.	
Nov 8 2009 	Don't have expectations and don't need hot water you'll be fine.	Had I been left to book my own room for this trip, rather than an office assistant this never would've happened. Lesson learned. Rooms are dated, bathrooms are tight and hot water in this hotel flucuates from cold to tepid. Told front desk about water, very nice man asked &quot;How long did you let it run? / &quot;15 minutes.&quot; / &quot;You need to let it run for twenty... (all with a smile... and he was serious.). Everytime I washed my face I hit my head on the shelf above the extremely small sink. Toilet, small. The room was loud and echoy. You could easily hear people talking in the adjacent rooms. Close to a subway you can hear at odd times. Room is dingy.Front desk guys are really nice... But because you're nice does not mean I sleep better at night. Anyways, I hate complaining. It's a drag, but I don't want you to learn the hard way.	
Nov 5 2009 	Only good location and false advertisement for the rooms	The only good thing about this hotel is the location. Like they were advertising over the internet there was no flat screen tv and no refrigerators. The worst part is the heating....WE WERE TOTALLY FREEZING... The front-desk said that they put the heating only when it goes below 55...the room was so humid that we had to sleep with 2 additional covers and the second night I had to sleep all dressed up with socks and a sweather. Forget about being sexy and wearing a baby doll to impress your partner....not in november anyway!!! On the reservation we asked for a non smoking room and we got a smoking room. A good thing was that there was indoor parking. 3 light bulbs were burned too...!!!	
Oct 29 2009 	This is an excellent base for visitors who want easy access to NY top attractions	This hotel is very good value for money. The rooms were large and clean with very comfortable beds. We had a room opening onto the pool area (this was closed during our visit) and friends had one overlooking the street. Our room was quiet but a little dark, the other one was brighter but slightly noisier. Easy walking distance to Times Square, Theatres, circle cruises, bus station, underground etc. Unlike some reviewers, we found the staff helpful and generally friendly. The Deli next door was a great place for breakfast, late night pharmacy on corner was convenient and NYPD station ensured security!!!! Will certainly use again.	
Oct 19 2009 	Great hotel shame about front desk staff!!!!	Booked this hotel for 3 nights as a 21st anniversary surprise for my hubbie. Arrived after a very early start on the Wednesday morn (14.10.09). Very tiered after travelling so wanted to get to room asap. Kept waiting at reception for 5 mins even though there were 2 on reception. When finally got served took another 5 mins to find our booking only to be told that the room type that we booked wasn't available!!! Given keycard to room but when arrived maid still cleaning and was told by her that she'd be 20 mins or so!! Told reception who then swapped room for us. The 2 reception workers (both men I may add!!) were arrogant and ignorant and couldn't care less!!! However, went to room and unpacked &amp; were pleased with room (apart from no kettle!!! but heated water for a brew in microwave which is in the room!!) Very clean &amp; quiet even though our room was directly opposite the conferance room. Horribleness of staff was more than made up for by our maid who cleaned our rooms on the 6th floor, Mary. She was such a lovely, friendly person, who should be promoted to the front desk in our opinion!!! Location of hotel fantastic, clean, tidy, warm (it was freezing in New York!!!) Only bad thing was reception staff but could live with that. Deli next door ace for brekkie &amp; they reserve seats for you the next morning!!! Brill service from them as well. Would deffo stay there again. 10/10 (no points deducted for rude reception workers!!! )	
Oct 17 2009 	new york fantantastic.TravelInn 42nd street.	stayed at travelinn 42nd street.5mins from times square. grea t location.travelinn very good indeed. clean rooms ample size.me my husband and son were there in september 2009. hotelstaff very friendly and helpful, and again clean hotel great value for money. next door deli was great for breakfast. next time i go again to new york i will certainly stay at the travelinn. 10 out of10	
Oct 11 2009 	Surprising Nice for the Price	We were pleasantly surprised how nice the Travel Inn was. The rooms were a decent size, but clean and modern. We had a room with a view of the pool, away from the street, very quiet for New York City. All employees were very nice. You just can't beat this location, 2 blocks from the Port Authority where we took the shuttle from the airport. Very convenient. Water pressure was great. We would definitely stay here again when in New York for such a great price!	
Oct 2 2009 	Great deal.	Hotels in midtown Manhattan are outrageously expensive. The Travel Inn has one of the best rates in midtown PLUS parking is included. This is incredibly rare in Manhattan and saves you a minimum of $30 per day. It's not a luxury hotel, but during our stay we found it to be very clean and quiet and the staff to be quite efficient and helpful. I'm perplexed by all the people complaining about noise in their reviews. This is Manhattan. I never go there without good ear plugs. It's a big, noisy city. I didn't think the pool would matter much to us, but as it turned out it was quite hot while we were there and a late afternoon dip in the pool after hours of walking around the city was heavenly. I think for price, free parking and location the Travel Inn cannot be beat in midtown.	
Oct 1 2009 	Sleepless in NYC	We stayed at this hotel based on the fairly good ratings for this hotel and the location.We requested a quiet room a couple of months before our stay and on arrival were given a room which had the train line running underneath the room (see picture). Not much sleep that night. The next morning we moved to another room. The walls are paper thin so you get 360 degrees noise all night and in the morning - noise from the cooler in the room, the cooler outside the room, from next door guests, upstairs guests, guests in/out of lifts, cleaner trolleys, no sleep 2nd or 3rd nights. Yes this hotel may be cheaper than others and is in a fairly good location to time square and transport. However it nearly ruined my first time visit to NYC because you get no sleep so you're too tired the next day to do anything!! Also the front reception staff are very very arrogant, unhelpful and go out of their way to be nasty. I understand the hotel is old, not much you can do there, but good customer service goes a long way to making guests stay more comfortable. Travel Inn management should review their staff, their attitude and how they treat guests staying at their hotel. If you can afford it, stay somewhere else, otherwise this hotel is only for people who don't need any sleep at all and don't mind being treated badly.	
Oct 1 2009 	Great location nice rooms good service and free interior parking.	People you are paying for a nice basic hotel to go visit. The price is great. Parking is free in the garage hotel which is closed and has a security guard 24hrs. The check in was blazzingly fast. The rooms are very nice and very clean. You have microwaves and a fridge.The beds are comfortable, but the pillows are horrible. Bring your own, hahaha!Bathrooms are clean. Service was great. The hair dryer died on us, we mentionned it to the maid who was very welcoming and she had it fixed before we came back from breakfast.The location of the hotel is great. You are on the corner of 42nd and 10th and Time Square is 42nd and 7th. Hard to beat. It is also in front of the NYPD Manathan South Task Force which make it very safe.You can order food to your room until 1 am and it's a full menu.Most hotels make you pay around 60$ a night for parking. This hotel is one of the rare ones that offer it free and they had lower prices than lots of others for the rooms.	
