	Great Value for Money	Recently stayed here with my daughter. Really nice hotel in Downtown location. Close to Soho, China Town and Greenwich Village. Subway 5 mins walk to Uptown Manhattan. Staff very friendly and helpful. Would recommend this hotel. Within a 20 min walk to the financial district, World Trade Centre and the Staten Island Ferry. Great Value for money, with a good restaurant. Rooms clean and although not big, they have everything you could want. If you want a drink there is a central tea/coffee making service on each floor.	
Nov 24 2009 	Great getaway cool hotel very friendly fantastic location	Very cool and funky hotel, but with no attitude. Everyone was extremely friendly and helpful - didn't feel at all like a usual hotel experience. Fantastic location right near Soho - great for walking around, shopping, galleries, etc. We had a room on a high floor tucked away in a corner, which was great because most of the rooms are right off the atrium that is open all the way up from the lobby bar, which can be loud (and on Saturday night they had bands starting at 1130). We'd definitely stay there again.	
Nov 12 2009 	Good location; OK hotel	Tried to check in early and was advised nothing was available. Front desk attendant offered to call when room was ready and porter would store luggage. Call never came and upon return to hotel, the apology was less than sincere. After finally getting room key, was told that I would have to wait on bag until porter returned (eventhough there were two people behind the desk and no one else waiting for check in or any other service). Doormen were great; but front desk personnel were uncaring, at best. Room was typical cramped NY hotel room; nothing special. Couldn't find a pen, they use #2 pencils and leave a pencil sharpener in the room. Not really that impressed!	
Nov 11 2009 	Excellent hotel in perfect location for downtown activities	I have stayed here many many times and I really cannot praise it enough. recently I was invited to stay at a newly opened place in meatpacking, and it just reinforced my feelings about this place. OK it`s certainly not as fancy or modern as many others in New York, but the staff always remember you and say hi. Spacious rooms with THE most comfortable, 6 ft wide beds in the city, bar none, which minimises the Jet Lag! Not eaten in the restaurant, but have often ordered room service, especially in the early hours, always excellent. Although not to everyones taste, there is usually a pretty kicking party in the bar at the weekend, and we took full advantage of the one on Halloween. It can be difficult getting access for a late drink in some of the more happening places at the weekend, but as you`re a guest...The Concierge staff are always very helpful at arranging restaurants, clubs etc and seem to be pretty well connected, even got us a table at Per Se!!!Columbine round the corner for soups and sandwiches to go..a must!	
Oct 27 2009 	Outstanding service; beautiful hotel; great experience.	The Tribeca Grand has been a favorite destination when escaping for a night or two to lower Manhattan. A recent trip in October 2009 proved to me that the Tribeca Grand has developed the perfect recipe for the luxury NYC hotel experience - and it all stems from the quality of their people. ALL Tribeca Grand staff (from the valet/bell/door staff to the desk managers, concierge, bartenders and dining staff are pleasant, courteous, helpful, and professional (they actually make eye contact, introduce themselves, smile, and ask if they can help with anything!). The hotel and bar continue to provide a trendy, energetic environment, and the Sunday brunch is amazing. If you enjoy a high-end luxury hotel experience, the Tribeca Grand is for you.	
Oct 16 2009 	Great Hotel - A little loud on a Saturday night	We arrived after a long flight from Melbourne, Australia.It was early evening and the check in was friendly and smooth.The room was available and although small by international standards, was a good size for New York!Toiletaries in the room were excellent.A large shower with different massage settings on the shower head was just what I needed on arrivel.We had a light dinner in the hotel.The food was well priced and good quality.After dinner we moved in to the bar and lounge area for some cocktails.The drinks were perfect and the staff attentive and helpful throughout.We retired to our room at about 11pm and settled in for some sleep.The only downside to this hotel (depends on what you are looking for) was the noise that resonates from the lounge and the back room bar into the early hours of the morning.If you are looking for a good night sleep on Saturday night, this is not the place to be!If you are looking to join in the crowd and settle in for the night and then go upstairs to your room, then this is a great place to be on a Saturday night in NYC.All in all, I highly recommend the hotel and in great location in Manhattan.	
Oct 12 2009 	Worst experience ever	I despise this hotel, but I have to say it is because of one horrible experience and if that hadn't happen, I would probably have not given such a bad review. The hotel itself is large and has a convention center, Las Vegas no soul kind of feel to it.The bad experience - we were celebrating a friend's birthday in the bar with about 8 people. We order a bottle of champagne for around $80. A little later we asked for 2 more bottles. The barman said he was out of that particular champagne and suggested a similar one. What he didn't tell us was that these bottles were $350 each. My husband ended up paying for them as he didn't want to cause a scene for my friend, and the bartender said that he showed us the bottle before pouring so it was our fault. To add salt to the wound, the cheeky bartender went off and told the other bartenders who all had a great laugh. The final insult, gratuity was added to the bill.	
Oct 11 2009 	Friendly Service in a Trendy Environment	This hotel was very convenient to both business and pleasure locations. The staff was very friendly and helpful, and I never once witnessed a rude or uninterested employee. The hotel was clean and comfortable. The decor was a cross between futuristic and factory environments...a very urban feel. I definitely recommend this hotel to family and friends and look forward to staying here again.	
Oct 10 2009 	Aub's 30th	When we went to New York for my 30th birthday I wanted to stay somewhere nice. I got a room at the Tribeca for $230 a night. Which I later found was the best deal I could have ever gotten. The staff there was super nice they had someone open the doors as you enter and exit the place. I hear you could also get a gold fish in your room (at no charge) if you ask for one. We got to the hotel at 6 am and the check in time is usually 3 pm. They let us check in and they even wished me a happy birthday. The Tribeca is only a few blocks away from ground zero and if you walk around further you will hit Wall Street, Battery Park, Little Italy and China town. One night we went out to the little tavern across the street (Tribeca Tavern) the locals were quite impressed that we were staying at the Tribeca. They had really good beers on tab and they even had a decent price on it. If you are looking for a nice place to hang out and play pool this is the place. Anybody looking to stay at a nice place while visiting New York should stay at the Tribeca Grand. The showers were big and the water pressure was perfect. The rooms were big and they even had nice views of the streets below so you can people watch.I forgot to mention that one night I wanted some lemons for my water and they brought it up in no time sliced!! Also, it's only a block away from the fire station from Ghostbusters.Have fun and enjoy the City!!	
Oct 8 2009 	Classy excellent service	I stayed here on business for a week. Impeccably classy and elegant hotel, trendy but not in your face. Subdued lighting and excellent furnishings in the lobby made this a very pleasant place to come back to after a long day of meetings. Would recommend it to anyone looking for a bit of old-school style in New York.	
Oct 5 2009 	Very helpful employees and employees that seem like they actually like their job	I stayed here for a business trip, I was exhausted when I arrived because I had flown overnight. Even though I arrived at the hotel at 11am, they had a room available for me. The doormen were amazing, they helped me find anything I needed (from a bar to coffee). The employees actually seemed like they liked their job, unlike just about everyone else you run into when in NYC. The location was perfect with subway stops just a block away. I will definitely be coming back there. I am happy to have found this hotel in NYC.	
