	Great Hotel	This hotel is a great find considering it is in Manhattan, if you love Broadway and that is part of your reason for coming to NYC, stay here. Its very close to the broadway theatres (Especially the Gershwin, where &quot;Wicked&quot; plays..one block away). The rooms are very small and are great if you are traveling alone or with your spouse. I would NOT recommend this hotel if you have children with you as most of the rooms are single twin beds or double twin beds. Other than that, the rate was great and although the hotel does have a restaurant, I found it too expensive and there are cheaper places to eat, you just need to walk around and explore until you find something that appeals to you.	
Nov 24 2009 	Great location at a reasonable price	When my girlfriend (now fiancée after this trip) and I booked this hotel, we spent countless hours researching hotels in and around the New York area. We were looking to not break the bank for our 1 week stay, but not be too far away from everything either. This hotel met those criteria and more. The rooms are small but adequate and clean. Within a 5-10 min walk to Time Square and about a 15 min walk to the Southern boundry of Central Park. Only a few short blocks from some great food in the H&amp;ll’s Kitchen neighborhood. If walking doesn’t suit your bill, the metro is 1 block from the entrance to the hotel.While in the Big Apple we also took a Mid-Town walking tour with &quot;Food-On-Foot&quot; as part of our NY Pass which was a really great way to see the neighbourhood and sample some little family run food locations.	
Nov 14 2009 	Great location close to great restaurants clean and small.	Picked the hotel on location and price - not cheap, but well priced relative to other New York hotels.Room was very very small, but clean. Hotel was a little poky, but the staff were friendly.Excellent location for access to mid town, Times Square, Central park and the restaurants of 9th Ave.	
Oct 29 2009 	Ancient facility; small rooms; vastly overpriced	Lobby is small and dated; no ambience. One elevator, holds 3 adults; very slow; so we took stairs most of the time. Room is tiny; no clothes dresser; small sofa. Beds here have no box springs. The mattress sits atop a wooden board! Mattress is like sleeping on an army cot. No room ventilation except opening window. They offered to install a window air conditioner if we wanted it. (We declined.) Loud, industrial noises downstairs until 4 a.m.; difficult to sleep. No food service. We stayed the one night of a planned 4-day stay; canceled remaining nights and moved to a true 4-star hotel that actually cost less than the $340 per night at the WJ. Friendly staff; new, large, clean bathroom. Not a good experience.	
Oct 15 2009 	Awesome location	We really enjoyed our stay at Washington Jefferson and would stay there again. The location was the best I have had in New York - only a couple of blocks down from times square, theatres right around the hotel and easy access to the metro. There was also a great bar a couple of doors down, which had good food and a great selection of drinks. The staff, although relaxed in service, were very friendly and gave great recommendations for things to do and where to eat.Yes the rooms are small but all rooms are in New York and in this city - you really only need a room to sleep.	
Oct 14 2009 	clean but very small hotel	The rooms are very small. If you are looking for more room space, this is not good selection. Other than that it is very clean. Recepsionists very friendly and helpful in case you need something....Very close to times square, lot of attractions, restaurants....	
Oct 9 2009 	Good location small but clean and friendly staff.	I found this hotel room through hotels.com and I got a great deal considering it was a last minute booking. I think it was around $125 per night. The room was newly renovated and although it was small, it was clean! It's a no frills place but for NYC, it was all that I needed. Close to the theatre district and lots of shopping. We had a room right on the street side but I don't remember being bothered by the noise at all. I did notice that there was no AC but we didn't need it in Feb. I wouldn't hesitate to go back. And the bellman there is super cute and friendly!	
Sep 30 2009 	AMAZING LOCATION VERY SMALL ROOMS	Good points were the amazing location - take a left from Port Authority and keep going. Rooms were brand new, flatscreen tv, selection of channels, very clean.Bad points was how tiny the rooms are. I mean tiny. You have to move to the side in th ebathroom to be able to close the door! No view either.	
Sep 24 2009 	A Nice Hotel	We stayed at the Washington Jefferson Hotel on a weekend trip to New York. The hotel is in a great location, close to central park and times square. Its also only a block from a subway stop and close to a pharmacy that has almost everything in it. The rooms at the Washington Jefferson are small and simple. For New York city the price is very reasonable but to some extent you get what you pay for, the rooms are small but clean and with everything you need in them. The hotel does not have ice machines on every floor and does not have room service. The front desk staff are very helpful with directions and whatever you need. I would definitely go back and stay there.	
Sep 20 2009 	Fantastic location and friendly and helpful staff	We stayed here for 4 nights for my 30th birthday and it was our first trip to New York. The location of the hotel was perfect. It's really close to Times Square and Radio City and only a short walk to Central Park and the subway is also very close by. The rooms were a little bit small and could have benefited with some drawers and a fridge but apart from that I couldn't fault them. They were very clean and comfortable. The staff on the desk downstairs were helpful and made reservations for us etc. The door staff, especially London, were really good at recommending places to go out and were also really friendly. The only other fault was that we couldn't get our rooms near to each other but apart from that I would definitely stay here again.	
Sep 13 2009 	horrible	Booked room with two twin beds. Expected it to be small with no view, but not the size of my closet. Each bed had only one mattress on a board - no box springs! The beds were about 18 inch apart and jammed against each wall - no room for bedside table - just a pole lamp between the two. There was a small wardrobe and a small desk with a flat screen mounted on the wall. We had to move the chair to in front of the wardrobe, making it unusable, in order to have room for our two suitcases on the floor. One of us literally had to sit on our bed while the other moved around the small cramped room. The lighting was really bad - two small pole lamps for the entire room - we kept bathroom lights on and door open to help us see to read! Very very noisy a/c stuck in window inches away from me. The bathroom was no wider than 3 feet with a sink mounted on the wall - no place to put your stuff except on the floor. They blamed it on Cheaptickets and the difference between their definitions of deluxe. They may be a three-star hotel, but they dump one-star rooms on those using Cheaptickets and Expedia - as guys checking in to another room also found out.	
