	Clean pleasant convenient hotel.	My husband and I stayed here over Thanksgiving (2 nights). We purposely chose a hotel away from the craziness of the parade route, even though we knew we'd be going to watch it. This hotel is located less than one block from the W 4th St. subway entrance (a pleasant surprise), making it easy to come and go as we pleased. We quickly learned when getting off the subway here to follow exit signs for W 8th St. (not W 3rd). That brings you up to the Waverly Place and W 4th intersection, closest to the hotel. The hotel lobby is small, but clean and nicely decorated. There is only one small elevator, which was not a problem until morning hours when we had to wait for it to arrive. Continental breakfast was typical (croissants, muffins, fresh fruit, cereal, etc.) but I noticed people were waiting in line to be seated when we had finished. Glad we got there early. Our room was spacious for New York (if you can walk around the bed, it's spacious), and the bathroom was very clean and nicely appointed. I did not find the mattress that comfortable, but liked the bedding. The room was stuffy so we used the AC and it worked fine. Our windows looked out onto another building, but the view was unimportant to us since our plan was to go out and DO things vs. look out the window. However, it was a bit disconcerting to have no blinds/shade in the bathroom; just the bubbly privacy glass. And there WAS a room across the way where someone could have enjoyed voyeuristic views, I suppose. I just kept the bathroom light off. All in all, a pretty good experience.	
Nov 23 2009 	Clean hotel spacious rooms and fantastic location	We could not have asked for a better location in New York. We loved being just next to Washington Square, a stone throw away from 5th Avenue and Soho and the price is just right for someone who doesnt have money to throw away. The rooms are a generous size, the beds where really comfortable and the shower had plenty of hot running water. I would definitely recommend this hotel and would probably return.Our only complaint is that some of the staff in reception did not really have their heart on their job and came across as unhelpful.	
Nov 15 2009 	Washington Square - standards are slipping....	I returned to this NYC hotel in October 2009 for old-times' sake really. Way back on my first ever trip to NYC I stayed here and enjoyed it, so eight years later it was time to go back.Initial impressions remain positive. Well-positioned near the bohemian Greenwich Village, the hotel's located down a quiet-ish side street (Waverly Place) and is two minutes trek at most from the subway station. The subway station is served by the line directly to the JFK Airport station so that's an added bonus, and there's a great diner across the street.Check-in was friendly and quick. Unfortunately it would seem that not a lot, if any, work has been done to the rooms since 2001, although they remain comfortable and have free, quick internet via a cable supplied by the hotel. My one real gripe was service, and cleanliness. Obviously the room I stayed in was not vacuumed by the maid, and 'evidence' would suggest little other than making the bed was carried out.Surprisingly a bin wasn't provided in the room. That said, one doesn't really expect the previous day's McDonald's wrappers and newspapers to still be present when returning after a day's exploring - so, it would seem, a little/lot of work could be done in that area. For the price - over $200 dollars per night for a single room - it's not really good enough. That said, I'd probably stay there again....	
Nov 12 2009 	Small but very charming	I love the bed. It's a tiny room, but then it's New York. The bed is very comfortable and the linens were absolutely a delight to sleep on. The location is perfect too. It's right at the heart of Greenwich Village, with loads of history surrounding the area. We love the old charm feel of its interiors. We, however, were not very keen about the breakfast, it was quite disappointing actually.But for the price, location and comfort by New York standards, this is not a bad choice.	
Nov 11 2009 	it was okay	I booked the WSH for business and had an okay stay. I requested a deluxe room with street view and was placed in a room at the back of the hotel which looked out on to a wall so I asked to be moved. They did so and I was placed in a room looking over the side street - not quite the view over the park that I hoped for. The room itself was okay but really lacking in facilities - no tea or coffee making facilities, no refrigerator to put a cold drink in and just very basic I guess. The air conditioning unit was very noisy and we had to have this on because the windows did not have screens to keep mosquitoes out. The corridors were really ugly and I wonder if they will ever freshen these up. A paint job and new carpets could really do wonders for this place. The breakfast included in the rate was basic and it would have been really nice to have a toaster so you could heat up those bagels! The breakfast room itself was really cold and lacking in atmosphere and you never really felt like hanging around. Overall, it was okay but I was really hoping it would be much nicer. The location was great and the lobby staff were pleasant and helpful. I probably would not stay here again because it just wasnt that special.	
Nov 9 2009 	Nice hotel in quiet neighborhoud	This was my first visit to the US and NY in particular. Already on arriving we noticed how busy this city is. The hotel was fortunately located in a quiet street next to Washington square park.The hotel looked nice and the rooms were nice and clean, although a bit small.An added plus is the fact that the hotel is located close to a metro station which makes traveling very easy and when you come back late at night (after a visit to a Broadway theater) you can quickly get to the hotel and your room. The beds are very good: big and soft.One thing that wasn't that nice was the breakfast. We had booked the hotel because it served a continental breakfast. This was served in a small diner next to the hotel. But it wasn't really good. So better skip the breakfast there and look for something better.All in all, a good hotel in a very nice neighborhood.	
Oct 31 2009 	Great area super hotel	I stayed at the Washington Square Hotel for five nights in October and was thrilled with the hotel. I was travelling with my mother and our request for a twin room was accomodated. We had paid the extra for a deluxe room and it seemed well worth it as we saw other rooms with windows that appeared to only open out onto brick walls! Our bathroom was a good size and we even got bath robes.The area was quiet but still had a good buzz. There were loads of nearby restaurants of all prices and the hotel staff were always ready to offer advice and recommendations. We got some good tips from them.The complimentary breakfast was a good bonus and, though not amazing, it did the job. As it was included in the cost there wasn't much to complain about.All in all, we had a great stay. I will certainly stay there the next time I travel to NYC.	
Oct 31 2009 	Brilliant location	This is a great hotel located in beautiful Greenwich Village. Right next to Washington Square (buskers/chess players/trees!) and close to all the restaurants in Greenwich Village. About 5 minutes walk from the famous Bleeker Street. Much nicer than staying in Uptown. The walk to Top of the Rock takes about an hour or a taxi is just $10 (cheaper than subway or bus if there are four of you travelling together.We were really pleased we stayed here - the beds (2 large doubles) were really comfortable and the bathrooms (We stayed in a quad room for three nights and twin and double for one as the quad was unavailable for the first night) ranged from sumptuous (Delux double) to just fine (double). The quad room number 120 is at street level and yes you do hear street noise - but this is New York and we were so tired after busy days doing exciting things that we all slept well. The bathrooms all had plenty of towels and free shampoo/conitioner/body lotion/soap. Breakfast was delicious - fruit salad, home baked pastires, good coffee and orange juice, cereal and yogurt..The staff including the freindly doorman were all helpful and booked a taxi to the airport at the end of the stay to Newark for $62. Cheaper than getting a yellow cab and more roomy when you need to take all your baggage.The best attractions we visited were top of the rock and it's worth getting the daytime/sunset deal (we didn't and ended up paying twice) sunset over Manhattan has to be one of the world's most exciting views. The MOMA was one of the best art collections I've ever seen - 5th floor for all the Picassos,and Matisses - wonderful. Staten Island Ferry - free and great for skyline views. Our teenagers loved the Record shops in Thompson Street - nothing like it in the UK any more. Loads of good places to eat near the hotel and a Staples for online checkin just around the corner. I would definately recommend this hotel to anyone and would book again without hestiation. But if you want sterility and double glazing go somewhere else - you can hear street noise and that kind of thing annoys you you might be better off staying Uptown.	
Oct 27 2009 	wonderful stay at this hotel	we arrived on a wednesday evening and received a warm welcome.....we had requested a room on the upper floors with a nice view and the hotel accomodated our request. we absolutely loved this hotel...it is very quaint and the service from the front desk to the bellman to the restaurant servers was fantastic......room is not large but it is very comfortable and clean and the location can't be beat....within walking distance of restaurants, night life, shopping.......a real gem in nyc.	
Oct 8 2009 	Pleasant Stay	We arrived at the hotel to be told our rooms were not ready - we had to for around an hour and a half for both of our two rooms to be ready for us. The staff weren't all that apologetic and didn't seem that bothered about the fact that we had to wait - so not a good start! Once we did get into our rooms however we were happy with the size and comfort - a safe, hairdryer, ice bucket and bathrobes are all provided. There wasn't very much natural light in our room but that has to be expected for new york city as our window was close to another building, but this wasn't too much of a problem.The rooms were cleaned daily and the free breakfast in the mornings was good - the staff in the restaurant are very helpful and polite. you also have the option of ordering a cooked breakfast at reasonable charges if you don't want the free breakfast.The best thing about this hotel is definitely the location - a two minute walk round the corner and you're on fifth avenue! Washington Square is absolutely gorgeous in the morning when it's really quiet. Our body clocks never quite adjusted to the time difference so we were often up and about at 6.30 - 7am and took the opportunity to explore the square and the surrounding areas with the only the local dogwalkers around. We went to a local coffee shop and got a drink and a snack to eat in the park every morning, which was really nice and peaceful - highly recommended!Overall a good place to base yourself while in New York, recommended!	
Sep 30 2009 	Location Location Location	The hotel is well situated with the metro on the next corner with 6th Avenue and the chap in the lobby looking after guests and bags was very friendly and helpful. Our room was compact, but reasonably comfortable and the bathroom was more than adequate in size. If you can avoid taking the complimentary breakfast in the restaurant area, then I would suggest it. We found all the self serve areas got very full.There are plenty of bars, some with live music - (Bleecker Street I think). The metro is puzzling, you get on and off at different blocks, depending on where you are coming from or going to and the only way round this is to make sure you are at the front or the back of the train. I have to mention the Waverly Restaurant/Diner. For USD 43 you get a feast and 2 glasses of zinfandel. We gave up eating up town (twice the price) and came here for dinner and our last breakfast. It is full of regulars and tourists.	
Sep 30 2009 	Excellent location and value	I stayed at WSH for 5 nights with a friend. We found the Village area to be nice and relaxing compared to the constant bustle of Times Square and it's surroundings. The hotel it self was clean, the complimentary breakfast was a good way to start a busy day of sightseeing and shopping and the rooms were small but in NYC not bad. The staff were very nice and professional and we enjoyed our stay!	
Sep 29 2009 	Perfect location attentive staff 	Our family of 4 stayed here for 4 nights last year, and found the rooms to be comfortable -yes - very small, and somewhat dated, but comfortable. And after a very long flight from Australia, the inclusion of a full sized tub in the bathroom was a welcome inclusion. The day concierge was extremely helpful &amp; attentive and the biggest surprise (for me) was the quality of the coffee! Convenient location - we had no problems finding our way around and it really didn't take very long to get to anywhere we wanted to go. I would definitely stay in the Village again - it's a great place to base yourself in NYC.	
Sep 21 2009 	Excellent hotel 	Firstly, this is in a great location. Right in the middle of Greenwich Village within walking distance of lots of good bars and restaurants. Bleeker Street especially. From this hotel, we wetre in easy reach of everything NYC could offer. We even got the metro direct to Coney Island!We had a deluxe room which had plenty of space. Nice view of Washington Square too. Couldn't fault it.Service was always good and breakfast was perfect (we don't eat much in the morning so a couple of bagels was enough).	
Sep 20 2009 	LOVE the WSH!!!!	We stayed here in July as well as August. We love this area. It is close to wonderful restaurants, great shops, and great green spaces. The subway is conveniently near. The complimentary breakfast is a great plus. The rooms aren't huge....but who stays in their room in NYC? The staff is friendly and helpful. We will definitely stay here again and again!	
Sep 11 2009	Perfect choice	Moving my daughter to NYU in late August, this hotel was the perfect choice. We arrived at 2:30 a.m. but just down the block, we found an all-night diner and drugstore. The street is quiet and green but in the heart of the action. Loved the staff and our room was charming. I look forward to staying there again.	
Aug 31 2009 	Pleasant stay at the Washington Square Hotel	We came to New York to visit in June, this being our third visit to the city. We decided we wanted to stay in Greenwich Village and hotel choice in this area was pretty limited so we opted for the Washington Square after reading reviews on tripadvisor.Although the hotel is a bit tired in places, this is a charming little hotel with some lovely art deco touches. Our room was one of the interior rooms as we preferred to have &quot;quiet&quot; over a view. It certainly was quiet as well, we did not hear a peep from outside or from anyone else in the hotel.Our room was very small and I would have liked to have a little more closet space but this was a small price to pay for being located in Greenwich Village. So much to see and do just on the hotels doorstep. The staff were also friendly and welcoming, always a goodbye or hello when leaving or entrering the hotel.With regards food, we only ate breakfast at the hotel, this was plentiful and you could also order cooked extras should you prefer. There are simply hundreds of places to eat nearby - I am a vegetarian and had a fantastic meal at a place called &quot;Gobo&quot;, just around the corner from the hotel. We also went on one of the many food tours of the area - this was a great way to spend the day.Overall, a great stay at the Washington Square hotel - I would certainly stay here again.	
Aug 18 2009 	Great little Hotel in Fab Area	We just returned from our 4th stay at the WSH. I read some of the other reviews, and have to say that we have stayed in both the deluxe and standard rooms and although the rooms are small, we're more than happy with the size. The last room we stayed in had a particularly small closet, but we simply put our luggage under the desk and it was out of the way. We weren't bothered by the thin shower curtain either, although I'd like to see the rod hung a bit lower to keep more water in. We love the WSH - the lobby is spacious, the staff friendly and professional (with the exception of Ronnie, who talks a mile a minute and tries to convince us to eat at restaurants we've no interest in - I think he gets a kick back for recommending certain places), the location is wonderful, and everything is CLEAN. Some reviewers complained about breakfast - I don't know what they're used to eating, but for us, a bowl of muffins/scones/bagels and yogurt, cereal and fresh fruit is plenty. We've also ordered off the regular menu and haven't been disappointed. The orange juice is always freshly-squeezed, and their coffee and tea is freshly brewed.  We've also had some of the bar food - their guacamole is fresh and obviously made in the kitchen. The drinks are reasonably priced and the staff is courteous and professional. The best part about WSH? You can cross the street to Babbo restaurant and if you get there about 4:45 pm and wait at the door, you can be seated at a table near the bar and have the most astoundingly good meal. We do this every time we stay here, and sometimes 2 nights in a row. The food is THAT good.   Cons? Small spaces - if you are an overly large person, you probably won't feel comfortable here. The elevators are small, the rooms are small, the corridors are small. Definitely not made for the plus-sized traveler. I was squashed in the corner of the elevator by a plus-sized couple and it wasn't fun.	
