	Great location great service and comfort at the best quality/price!	This hotel is a gem. If you like smaller hotels with attentive service, this is the place! The whole staff is very nice, polite , smiling at all times, from front desk to housekeepers, breakfst staff etc. Breakfast is included and is very good, including good coffee. Rooms are clean but a bit small.But who cares, we are in NY to visit and shop, not to stay in the room! The location is perfect, litterally 2 blocks from Penn station, Macy's, Empire State building etc. We even walked all the way to Times Square, Broadway and Central park (need time for that however!) I will go back and recommend it anytime! The price makes it even more attractive : app. 250$US for room with 2 double bed) .	
Nov 8 2009 	If sleep isn't important this is the hotel for you.	I generally travel to NY for Broadway and stay within 40th and 50th and near Times Square. I wanted to try something different, so we chose to head a little further south. The location was fine. The hotel was not. After our shows, cocktails and some time in Times Square, we returned to our room at 1:15 AM to a blaring Latin Jazz band directly underneath our window. Apparently they do this every Friday night. We requested a room change, but they wouldn't do it. While in the lobby another man came to complain that he had children trying to sleep. They did nothing. I finally called the front desk and demanded a full refund. I give them credit for honoring that; I stayed for free. I would rather pay and have a good night sleep. I would not recommend this hotel to anyone.	
Nov 6 2009 	Found a gem in New York City!!	Having travelled from South Africa and having had to book on-line (and we all know what's posted on the net is not always the same in reality!!) I need to let any other future travellers to New York know...I found a gem!!! This hotel is just a few blocks from Time Square, really well priced and includes a good complimentary breakfast that gives you a great start to the day. The room is a good size for New York, modern and spotless, with a marble bathroom including a bath and shower. With free internet I could update my Facebook to let all know back home what we were experiencing in NY and overall the hotel has added to the whole fantastic experience of New York.....	
Oct 31 2009 	Noisy Noisy NOISY Noisy hotel	Please DO NOT stay at the Wingate - unfortunately, this is one of my company's preferred hotels and this is my second attempt (my preferred options were all booked out) at staying in this hotel and the last. When booked, I requested a quiet room as my previous experience had taught me not to get a room overlooking the street as the garbage trucks literally roll up and down this street ALL night and the noise is incredible. On arriving I was told I had a room in the front of the hotel - although I was reassured that because it was on the 18th floor - it wouldn't be noisy. My experience from last time told me that this was an incorrect statement. I requested a room at the back and was given a double that looked a bit dusty and unloved. I was informed they were having a halloween party that night and that it could be noisy - now I was prepared for some noise but this is ridiculous - a full on club is now booming in my room. I asked to move - they are now 'full'. I was informed the party would be going on until 4am. I have now been up for 24 hours with no sleep. I am now going to leave.	
Oct 21 2009 	clean	this is a nice hotel. the staff that helped with our check in was very friendly. i guess our room wasn't ready yet so we wait a bit more than 30min but the wait was good coz she end up upgrading us to their clean air room with a refrigerator. no microwave though. we were on the 22 floors and noise was not an issue. we had king bed that were big enough for a family of 5. the room is a little small though not much room for our big luggage. but the place is very close to major attractions. we walk to timesquare, macy's and the empire state building. breakfast was free for us but just continental. internet is free. if u forget the privacy notice on the door they cleaned your room immaculately.	
Oct 21 2009 	Repeat customer	We stayed at this hotel to attend an event in the garment district. The hotel is easy to find from Penn Station. It is elegant yet unpretentious. It not very big. I believe it has 18 floors but only 6 rooms per floor. We stayed again the next time we went to NYC, and will stay here whenever we can. If you're looking for a decent hotel with nice rooms with easy access to Penn Station, this one is great.	
Oct 19 2009 	Great location wonderful staff	We picked this hotel purely for it's location between Times Square and Madison Square Garden. It was easy to walk to the subway and easy to get around. The interior of the hotel is newly renovated and very nice. Everyone that we encountered on the staff where helpful and friendly. I would easily recommend this hotel to anyone and look forward to staying there during my next trip to NYC.	
Oct 9 2009 	I would recommend this hotel	Upon arrival we were greeted politely and since the rooms weren't ready they checked our bags for us so we could go have lunch. The rooms were clean and beds were comfortable. They served a hot breakfast each morning that was good. For the price and location, I would highly recommend this hotel; we will stay there on our next trip to NYC!	
Oct 8 2009	New York City	New York City, April 2009My husband and I finally made it New York City this Spring and had a wonderful trip. We stayed at the Wyndham Midtown which was very clean and convenient to all attractions. It's a rehabbed place so the bedding &amp; carpeting was new. Continental breakfast was included in our stay &amp; they have a little patio in the back. The bathroom was very spacious which is unusual for NYC. We flew into JFK from St. Louis (Lambert) and then took the A-train &amp; subway to Penn Station. We then walked to our hotel. The hop on hop off bus was perfect for our first two days there. The views from the top are amazing. After that we used our Metro Card for the subway which was pretty easy to use. We spent one day at Ellis Island &amp; had purchased our ferry tickets online in advance. We got last minute Letterman tickets, but the highlight of our trip for me was the Broadway show &quot;Blithe Spirit&quot; featuring Angela Lansbury. The food at Dallas Bar-b-que in Times Square was delicious &amp; inexpensive. It's a fun place to visit,, but wear good walking shoes and stop &amp; pick up a map at the Visitor Center when you arrive.	
Oct 8 2009 	Great Value!	Good Location- close to subway, manhattan attractionsMany free extras: WIFI, HOT BreakfastGreat Bar off of Lobby!	
Sep 29 2009 	Great location 	The location of this hotel is really great. It's within a block of Penn Station &amp; Macy's, walking distance to Times Square &amp; the Empire State Building &amp; some decent restaurants too. The hotel was very clean, although the bathroom did have a slight smell of mildew &amp; some minor mold was growing in the shower. I loved having a microwave &amp; refrigerator &amp; the breakfast spread was really good. Eggs &amp; some kind of meat (either sausage or bacon) a variety of pastries &amp; breads (bagels, english muffins &amp; sliced bread) &amp; waffles too, along with cereal &amp; yogurt &amp; fruit. My only complaint is that if you come to breakfast after 9 a.m., you have slim pickings for breads &amp; the waffle mix was usually gone. My sister &amp; I would definitely stay here again! Oh yes, and Sacia at the front desk was very helpful &amp; friendly. I've read complaints that the hotel was noisy, but they do everything they can to make the noise minimal, they offer earplugs &amp; white noise machines in the rooms. We were in 1105 (away from the street) so we didn't hear any street noise at all. The air conditioner was a bit noisy, but that's to be expected.	
Sep 29 2009 	wonderful experience	We stayed at the Wingate last week for 7 days. I traveled with my wife and teenager son. We had a great stay. Our room (two dbl very conf. beds)was at 16th floor quiet and clean.The room, location (very close to 34th str. Subway stations -1,2,3 and A-E lines-, Penn Station or Port Authority and Path Train) and overall service was excellent.Check-in and check out was very easy and fast.Room was very clean, LCD TV, safe that can hold a laptop, free internet, continental breakfast,iron and ironing table,umbrella was very good thinking. Also the bed was big enough for two people, there was a microwave and fridge and daily newspapers (USA Today-in week days)delivered to your room.I will definitely stay here again on my next visit to the city.	
