	Excellent Midtown Location - Great Value	Neighborhood is nothing much, but it's a great location to get to everything, and near Penn Station and Bolt/Megabus stops. Very new and clean. We were there on a Saturday night so noise wasn't a factor, but based on the printed notices in the room, the &quot;white noise&quot; generator in the room, etc. it could be a problem, especially garbage trucks, on a weekday morning - I'd ask for a high floor if you were staying on any night but Saturday. Staff is extremely pleasant and helpful. Rooms of a very decent size for NYC. Restaurant with bar on the premises (for dinner and possibly lunch - no breakfast). Continental breakfast of average quality included in room rate.	
Nov 24 2009 	Wyndham garden timer square south ( BEWARE BED BUGS)	We were there in last august, it was a really nice experience , good location, affordable price, nice views of the city and really close to time square we reallyenjoyed our stay in New york , we only went back to the hotel to sleep, so we cameback home and after a month we started experiencing those red bumps and itchingthat was noticeable after we get up in the morning and during the day, me and my partnerboth were like did we cacht any alergie or something like that , so after that we went to the doctors and he diagnosed a some sort of skind disease and he prescripted ussome lotion and pills to stop the ictchin, to make it short itching and red bumps neverwent away and after doing some research on the net we find out that Ny city hada big problem with BED BUGS. anyways we started to search out matttres and indeedthere were several BED BUGS we cauhght right there at THE WYNDHAM TIMES SQUARE SOUTH HOTEL, i dont know if the whole building its infested or only the room we stayed on floor 23rdbut this is my 2 cent and i hope that people that are or were experincign my problemcontribute to this post, and if you are someone that will return just beware. thank you.	
Nov 24 2009 	Great Hotel in a Great Location	We stayed at this hotel in early October and were impressed from the time of check-in. The staff was so friendly and gave us lots of brochures and maps to help us during our trip. Our room was clean and more than enough space for two people. The hotel is in a great location with a subway on 34th street. It is also a few blocks from Times Square so the walk was not bad at all.When we checked into the hotel, we had used our debit card by mistake as the card used for incidentals. We did not realize this until 2 days into the trip so there was a negative balance in our bank account. We called the front desk and they called the bank for us and removed the hold so that we would not incur bank charges. This extra assistance prooves how well the staff is willing to go to please the guests.As a Wyndham employee who works in a different part of the company, I was thoroughly impressed with this staff. I would definitely recommend this hotel to my fellow employees.	
Nov 23 2009 	Girls Weekend	I loved this hotel. My freind with her 2 girls and I with my 7 year old daughter spent a Friday and Saturday night at this hotel. I can not say enough nice things about our experience. The hotel staff was always helpful, nice and, polite. The rooms were spotless. I have traveled a lot and I would give this hotel an A plus.	
Nov 22 2009 	A Good Deal!	My husband and I decided to go into the city for a day at the last minute, and after reading reviews settled on here because it wasn't really expensive. The staff was nice, and the lobby and hallways were clean. The room was modern, clean, and comfortable- the only complaint would be that it is pretty difficult for two people to walk around the bed with your stuff in the room (most nyc hotels are small though). The bed was comfy, and we had enough linens/towels. The other thing I didn't like was the bathroom counter and sink are TINY, and it made it hard to wash my face without getting water everywhere. The bathroom was super clean, no mold in the shower here. It was pretty quiet in our room/hallway, and we couldn't hear much outside noise. Definitely would come here again!	
Nov 20 2009 	Excellent Service Good Location	I chose this hotel because of its proximity to Penn Station. From the moment I checked in, I was impressed with the service and the overall quality of the hotel. The staff was friendly and engaged and the room was clean and well-appointed. Yes, the room was small, but that's the way it is with NYC. The bed was super-comfortable, the bathroom was clean and the flat-panel television was nice to watch after a very long day on my feet.My only suggestion would be to have small tubes of toothpaste along with the soap. Duane Reade is a short walk away, but it would have been a nice touch.	
Nov 17 2009 	This Hotel was Icing on the Cake	My husband planned a surprise vacation for our anniversary. We stood there for 3days 2nights. I do not know where to begin. First off the bellman that greated us at the door was extremely helpful. BUT the AMAZING CUSTOMER SERVICE that we received from Melissa and Channel during our stay was beyond any I had ever experienced. These ladies were top notch when it came to assisting us with information about the city. They directed us to great dinner spots each evening and gave us precise directions on how to get there and back. Channel knows the city like the back of her hand!!!! We looked forward to talking to them and seeing their beautiful smiles behind the counter. We didnt get to say goodbye to them when we checked out on Monday...so please give them a Special THANKS from the Soto Family!!!! Aside from the exceptional customer service the hotel was immaculate. We have stayed in other hotels in NY but not one compares to this one. The rooms are a bit small but thats to be expected in NYC. The beds were beyond comfortable!!! The location could not have been better. Two blocks from Penn Station and in walking distance to Times Square. We will definatley be back. Please tell Melissa and Channel we cant wait to talk to them again. THEY were GREAT!!!	
Nov 17 2009 	Great Location	Just back from a 4 night stay in New York. This hotel was the perfect location for any visitor. The rooms are on the small side, but aren't all rooms in its price range small. You really shouldn't be spending too much time in your room when you're in NY anyway. The hotel is really modern compared to some I've stayed at in New York, really clean too with very helpful staff. The walk in showers are great. Drinks at the bar are a little pricey, but there are plenty of others to choose from in the area.	
Nov 11 2009 	Great help in finding lost cell phone	Special thanks to Ahcene, Wyndham hotel in NYC, who was so gracious and helpful. We lost the cell phone and although already checked out, he went back with us to the room, and found the cell phone under the bed. We appreciate this so much.	
Nov 10 2009 	friendly helpful staff. Rooms clean good location	Rooms were clean, well appointed but bedroom a tad small, but this is NY. Staff very friendly and helpful. Breakfast choices were excellent and convenient. Location convenient to Penn Station, Madison Square Garden. Penn Station great to get to JFK Airport, Long Island RR to Airtrain to JFK. Close to Time Square without being in the commotion.	
Nov 6 2009 	The best New York hotel we've ever experienced!	We were travelling to NYC in October for a business trip plus sightseeing holiday. The hotel was perfectly situated for the Jacob Javits centre, but also quite a short(ish) walk from Times Square and Macy's of course.The hotel was excellent value (we booked through hotels.com) and the room was the most spacious, well equipped room we've ever experienced in about 7 or 8 visits to New York. Just enough space on my side of the bed to put up the case, a desk, a decent view of neighbouring buildings and a glimpse of the Hudson River, a spacious bathroom with a lovely shower and nice-smelling toiletries. Bed was very comfy and room was extremely quiet.Food in the hotel was great - we had free breakfast vouchers - with a lovely spread for breakfast (cooked bacon, eggs, etc cost extra) - fresh fruit, yoghurts, pastries, bagels, waffles and maple syrup. Yum!We also ate here one evening, and although the catfish sandwich was pretty awful, all the rest of our food was superb, including the bar snacks. Cocktails were fab as well.Service was absolutely BRILLIANT. Every experience with hotel staff, from checking in to room service ladies, from the regular cleaning of the lift, to our very helpful guy who helped us carry everything to the taxi on checkout, was impeccable. Everyone was so polite and helpful (even when we'd lost our room key for the 2nd time!), and made our stay even more special.We would definitely stay here again and I've already recommended it to plenty of friends and work colleagues. Thanks so much for a great time!	
Nov 5 2009 	Nice clean reasonable hotel	My husband and I stayed here for the first time from October 28 to Nov. 1. Our room was newly remodeled and the bathroom was great. Good water pressure, clean, good amenities. The bed was very comfortable and the room was pretty quiet. It was a bit cramped but the newness and the cleanliness made up for that. The hotel staff was very friendly and accomodating. The continental breakfast was a definite plus and the staff that served us at the coffee bar was helpful and very congenial. Overall, I liked the hotel. The neighborhood is a bit gritty. It's really the garment district. The subway is close by and you don't really spend time in that neighborhood anyway, so it was fine. If you're looking for a fun neighborhood atmosphere, this is not the place. If you want a nice, newly remodeled clean, reasonably priced hotel as a base for your adventures, this is a great place to stay.	
Nov 3 2009 	Definitely recommend this hotel	My wife and I went to NYC to celebrate my 65th birthday. Loved New York and were very pleased with this hotel during our 5 day visit. While the room, food and services were very good, what made our stay really enjoyable was the staff (couldn't have been nicer or more helpful). The location was good for us as we used the subway extensively during the day. We also wanted to be close to Times Square. We used taxis in the evening and were surprised it was only $6.00 plus tip to go to our two Broadway shows. We did walk the 6-8 blocks back to the hotel after the shows as the weather was pleasant during our stay. While not an issue for us, I can understand some people feeling uncomfortable walking on 36th street after dark as it is pretty deserted. If you are looking for a good steak, I recommend Frankie &amp; Johnnie's Steakhouse on 37th Street. A nice surprise was the complimentary stretch limousine back to the hotel. We agree that the two elevators can be very slow on the weekend. This is not an issue during the week. Being on the 4th floor, we just used the stairs. My only recommendation to the hotel is to give, loan or sell compasses to the &quot;directionally challenged&quot; out of town visitors.	
Nov 3 2009 	Outstanding Customer Service	My husband, I and 2 friends stayed at the Wyndham Garden Hotel - Times Square South from Oct. 26-30, 2009. The customer service was outstanding ! Melissa at the front desk was the best we have ever experienced; and we have traveled extensively throughout the US and abroad (we're senior citizens). The concierge and bellmen could not have been more helpful. We will never stay in another hotel when we visit NY. Rooms were meticulously clean; small, but that's typical for NY hotels. Breakfast was awesome - as were the wait staff.We'll be back, Melissa !	
Nov 1 2009 	Who could ask for anything more!	This is the second time that I’ve stayed at a Wyndham property, and this is the second time that I have not been disappointed. This hotel was immaculate. The staff there could not have been any more helpful or pleasant. I was about two blocks away from a subway station. There were also a number of small places to eat conveniently located near the hotel. Who could ask for anything more?	
Nov 1 2009 	Good Location @ Manhanttan	We stayed for 6 days 5 nights at the hotel. Is great hotel with good lcoation and service. Comfortable and Clean Room.Most of the places within walking distance of 10~15 minutes like Madison Square Garden, Fifth Avenue, Penn Station etc....Or optionally you could take Bus M34 and M16 will be able to help you to explore for the city of Manhanttan. FYI, i was able to get the better offer from travelzoo.com during my booking. So check it out ya!	
Oct 31 2009 	So much nicer than I'd expected in our price range in NYC	I know there are awesome accommodations in NYC. but we don't have a bottomless bank account to access, so I was very much afraid of what our price range would bring. Having read glowing references to the Wyndham Garden Hotel in several web sites, and then finding a great deal on Travelzoo, we decided to take a chance, hoping that we weren't being enticed by bogus reviews. We found the Wyndham to be every bit as spotlessly clean and comfortable as the reviews indicated, if not more so. Our Travelzoo &quot;deal&quot; included a continental breakfast. The daily sameness became a little boring by the fifth morning, and it appeared that everyone staying there must have had some sort of similar deal with their room, so it tended to be a little crowded around the buffet table, but it was still tasty and convenient, so I guess I can't really complain. Having a waiter bring our juice and coffee was also a nice touch, and the garden room was lovely and clean.Since our daughter lives in NYC but can't room two parents in her small apartment, I'm sure we will be returning, and we will certainly look first at the Wyndham for our accommodations. I just hope they continue to offer deals!	
Oct 31 2009 	STAY HERE!	Nice, clean, new hotel. Requested an early check-in and got it. Welcoming, polite and professional staff. Comfy beds, flat screen, refrig. Room was small, but not an issue for solo traveler. Also, very quiet considering NY. Great location--4 blocks to Penn station/subways, and 6 blocks to the theatre. Free access to Internet and printer. Got a great price on Travelzoo with complimentary cocktail (1 buy get 1 free) each night and complimentary breakfast. Couldn't beat the deal. Hotel restaurant also had great food (try organic chicken with artichokes, carrots and potatoe). I would recommend this hotel in a (NY) heartbeat!	
Oct 31 2009 	Enjoyable stay!	This was my first time to New York, and after hours and hours of research, I picked this hotel and was very happy. We got a good deal, and the rate we got even included a continental breakfast which was a great way to start each morning. Also, we got a little welcome snack and drinks being a member of their rewards program. It was a good location and seemed to be close enough to where we needed to get too. The rooms were all nicely renovated, with a big shower, and Bath and Body Works products in the bathroom, they also had free internet access in the lobby which was handy! My only complaint is the room could have been a bit cleaner; they forgot to empy the garbage one day, and there was a big brown stain on the throw blanket on the end of the bed. They state they are all &quot;green&quot; and such, and they only changed the towels if you put them on the floor, which I REALLY like, because I don't need all new towels every day... except if they are so &quot;green&quot;, I wondered why there was no recycle bin in the room? I would definately stay there again if I went back to New York!	
Oct 30 2009 	Irish will love this for a great location.	A fantastic location in the heart of New York. About 45 mins in Taxi from JFK. Close to Fifth Ave., Times Square, Tir Na nOg pub, Shops, Bus and Train stations. Good rate. Clean &amp; crisp. Excellent staff &amp; facilities. Rooms &amp; ensuite a bit on the small side but contain everything you require.	
Oct 27 2009 	Great hotel in a great location	We just came back from 4 nights at this hotel and have nothing but great things to say about it. Location is perfect and it is close to shops, subway and train station (Penn) with connection to JFK. The comments in other reviews about it being shady street etc. are meaningless. Rooms are clean and of an OK size and the bathroom was great. We will definately book this hotel on our next trip, provided the prices are decent of course...	
Oct 26 2009 	Quality in a Cozy Setting	The Wyndham Garden creates the feeling of a small, concierge hotel of high quality at a reasonable price. My room was very small, but was spotlessly clean and well appointed had everything I needed. The bathroom was new with a large tile shower, nice soap and thick towels. The bedroom is well organized with a large wardrobe, a desk and computer chair and flat screen TV. The bed was very comfortable with lots of fluffy pillows. I asked for a room on an upper floor so as not to hear street traffic. I got a room on teh 10th floor and was pleasantly surprised that my room had a door to a small terrace so I could let in fresh air. The room was quiet, particularly for NYC.It's location between Times Square and Penn Station worked for me since I came in by train and it is a short 3 block walk to the hotel. The hotel is in the old garment district, so there are not a lot of places to eat on the block, but there are plently within a few blocks. I didn't take advantage of what the hotel had to offer but it had a Starbucks, breakfast choices and a small bar/restaraunt with a TV and a full menu.I was greeted cordially at check in and found the staff to be helpful. I thought it was good value for dollar given the cost of mid-town hotels and their drawbacks and/or sterility. I would definitely stay again.	
Oct 25 2009 	The best overall hotel experience I have ever had.	My wife and I stayed here for 3 nights October 13th to the 16th . The best part of our stay was the staff. I travel for business somewhat frequently and have stayed in quite a few hotels but I have never experienced such nice hotel staff. I arrived very early on my first day and the front desk graciously got me in my room at 10 AM. From the concierge to the guy taking the garbage out, all of the staff were extremely personable. The hotel is very close to Penn Station, the subway, and 5 or 6 blocks from Times Square. The only negative comments I have are the street noise was somewhat bothersome the first night, drinks are very expensive at the hotel bar, and the rooms are small but these attributes come from being in NYC. I would highly recommend this hotel to visitors of NYC. We got a great price of 179 a night with free continental breakfast and a coupon for a few half priced drinks at the hotel through travelzoo.com.	
Oct 23 2009 	Fine hotel great staff	Stayed nights. Good rate through priceline. All staff from check-in to check-out were great. Bed one of the best I've had in New York. Rooms not huge, but definitely comfortable. Impressed by little touches like white-out and stapler on the desk. Good free internet service throughout the hotel. Actually writing the review while sitting in the lobby waiting for my car. The atitude and helpfulness of all the staff I encountered definitely made the stay pleasant. Even though my room was at the rear of the hotel, there was a little street noise, but the rooms were very well insulated from each other, and there was no noise from other rooms or the hall.	
Oct 21 2009 	Great place to stay for the price	Everything about this hotel was terrific--the friendly staff, the location, the continental breakfast in the beautiful dining area, the price, the location to the theatres and to Times Square. Our room was quiet, clean, and small, but small is our experience in NYC. The concierge recommended we walk up to &quot;Hell's Kitchen&quot; to eat dinner so we did and had two fabulous meals--one at Zuni's and one at Marseille.	
Oct 19 2009 	S.C. Nurses in New York City	Four labor and delivery nurses off to experience new york city. The hotel is clean, close to attractions and the staff were always polite and so very helpful. Would stay again and would recommend to everyone. thanks	
Oct 19 2009 	Good value and location	I agree with the previous reviews. Centrally located, especially convenient for Penn Station. Rooms are small with very little room between the bed and the wall. I banged by leg on the sharp corner of the bed frame at least once a night. The bed, however, was comfortable. We had very nice natural light in our 18th floor room with a decent view. Two small elevators seem barely adequate for the number of guests, but not a real problem.  We had a great rate through a TravelZoo promotion that included a continental breakfast. This consisted of a great bagel, yougurt, and juice. A great way to start a full today.	
Oct 19 2009 	Another great review!	This was our first time to NYC to celebrate our anniversary and New York City did not disappoint. We stayed at the Wyndham Garden for four nights. The hotel was exactly what you read here, no wonder it gets such excellent reviews. We lucked out with an exceptionally good rate via Priceline. They chose this hotel for us, and we’re glad they did. There’s not much else on the street around it but it’s a short walk to Penn Station for the subway and an easy 10 min. walk to Times Square. On our last night we treated ourselves to a yellow cab from the theatre on 44th Street (just for the experience of it!) and I think the fare was only around $6.We were on the 12th floor overlooking the street and with the exception of the odd rumbling of a train or something, we were not bothered with noise. The room was small but extremely clean. There was a small fridge behind a bureau door which we didn't even notice until our last day. For a small room, there is still adequate storage and closet space. A bathtub would have been nice but the shower was excellent. There were large windows for bright light with great curtains for privacy. We were very happy with our room. Except for one quick coffee and muffin at the Starbucks breakfast counter, we did not eat or drink at the hotel, so can’t comment on that. The terrace was closed for the season on our arrival.As everyone has said, the staff were wonderful. One morning, at our request, the concierge pointed us in the direction of a nearby city diner for breakfast that was exactly what we were looking for. I highly recommend this hotel. We would not hesitate to stay here again. We loved New York City and will return!	
Oct 18 2009 	Great Price Great Value	I travel for business and am in NY every 4-6 weeks. You are a 5 minute walk from Amtrack. There are are some real dives in this area. The Wyndham opened this year (2009) which is a plus. It is well designed and very clean. I used to stay at the Washington Jefferson which is closer to Times Square. The Wyndham is very close to Penn Station and our office. The property is clean the staff is very attentive and for a business traveler it is a great place to stay.They know me and I like the food at the bar and they do room service. The outside terrace is great for a drink when the weather is nice. I would stay on lower floors as in the morning the elevator is busy and you may opt for the stairs. NY hotels are expensive and many in this part of the city are either overpriced or horrible to stay in. The Wyndham is a winner.	
Oct 17 2009 	Great Value	We stayed at the Wyndham for a total of 3 nights and loved it. It was a great value - the hotel was perfectly located, the rooms while on the smaller size, were very warm and inviting having one of the most comfortable beds I have ever slept in. There was a flat screen TV and the bathroom was very modern and bright. The staff were great, from the service at the bar, the reception, the concierge to the housekeeping services. The only drawback which is minor is the elevator service. It can get quite busy in the morning if you are trying to take the elevator to the main floor. Luckily, were were staying on the 6th floor so we walked down but it could be tricky for older people, if you are carrying luggage and combined with being on a higher floor. However, this minor irritant would not dissuade me from returning. Our best stay yet in New York City.lolaottawa	
Oct 17 2009 	Great place for the money	This hotel was within walking distance to Empire State Building, Macy's and a little further to the theater and central park. We were on the 4th Floor outside the street below was very noisy. If you are a light sleeper, you better get a room away from the front or up higher. The room is small but very clean. The bathroom was extra big and nice. The staff was very helpful. The breakfast was very good. I would stay there again.	
Oct 16 2009 	Great hotel and location	This hotel is great. Very clean. Nice staff. 9 min walk to Times Square. The lobby is nice, modern and clean. We stayed here 2 nites and then another hotel for 2 nites (to check it out). Bad move. We should have stayed here for all 4 nites that we were in NYC. - Fernando, Toronto	
Oct 15 2009 	Fantastic or too noisy depending on where your room is...	They say New York is a city that never sleeps, and neither will you if you have a room on a low floor and on 36th street facing the road. My first room 205 was the noisiest I have ever tried to sleep in. I just didn’t get any sleep at all with the constant noise of lorries clattering down the road and garbage collection. Despite having had a couple of beers and wrecked from travelling all day then meeting friends for dinner I couldn’t manage to drop off. I went down to reception at 6.30am to ask to be moved and good on them they let me move a few hours later to 1405 for the remaining six nights. I gave the hotel four stars based on my second room which was high up at the back and had virtually no noise at all. The bed was massively comfortable and the wall mounted flat screen HD television with many HD channels was fantastic, the bathroom was large and ocnfortable. The location of the hotel is great for midtown theatres and near enough to subways to make getting around a breeze. The staff at the hotel were very warm and friendly, if something was wrong they corrected it quickly. I am not a fussy traveller and only mention this event to show how good the response was. I did lose my temper a bit one day when waiting to be served they started seating bigger groups arriving later than me, before me, why ?? Then when I did get a table I went to get buffet and on returning other people were sat in my place, my stuff had been moved to another table without telling me. I complained at the service and the reception gave me some free upgrades to the full American breakfast and $20 food voucher for the hotel. Read past my gripes, I would very happily stay here again, the staff were the nicest of any hotel I have stayed at in New York and the room and location excellent. I can see why it is so high on the list of recommended hotels. I was lucky enough to get a rate of $179 plus tax form a website that often features this hotel as a special. Considering you can EASILY pay $300 a night for a horrible hotel in New York these days this was a bargain, especially since the continental breakfast was included.	
